,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,9983.000,35672.000,37878.000,28727.000,26392.000,15403.000,25258.000,33566.000,23603.000,18727.000,15294.000,35472.000,34501.000,29085.000,28251.000,36249.000,46360.000,60733.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3499180.000,3517283.000,3535386.000,3553489.000,3571592.000,3589695.000,3607798.000,3625901.000,3644004.000,3662107.000,3680210.000,3698313.000,3716416.000,3734519.000,3752622.000,3770725.000,3788828.000,3806931.000
Assets,5279590.000,5264271.000,4531154.000,4517726.000,4523020.000,4511419.000,4506312.000,4460822.000,4468779.000,4464080.000,4450751.000,4435510.000,4435937.000,4412747.000,4394769.000,4374727.000,4394807.000,4385716.000
AssetsCurrent,528242.000,1076090.000,361076.000,365751.000,389148.000,395650.000,408646.000,381259.000,407319.000,420723.000,425497.000,428359.000,446889.000,441802.000,441927.000,439988.000,478171.000,487183.000
AssetsHeldForSaleCurrent,,545064.000,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000,2534393.000
CashAndCashEquivalentsAtCarryingValue,299649.000,313520.000,277636.000,278573.000,302729.000,311479.000,326328.000,292052.000,319674.000,333356.000,335901.000,332834.000,355604.000,348433.000,346478.000,339004.000,380858.000,388495.000
DepositsAssetsCurrent,,,1654.000,,,,1654.000,,,,1824.000,,,,2065.000,,,
DueFromRelatedPartiesCurrent,85897.000,75024.000,81786.000,84791.000,84277.000,82272.000,80664.000,87553.000,85482.000,85374.000,87772.000,93871.000,89630.000,91714.000,93384.000,99001.000,95413.000,96870.000
DueToRelatedPartiesCurrent,66885.000,68378.000,69529.000,61671.000,74220.000,74623.000,75944.000,79685.000,82180.000,85382.000,88950.000,91026.000,92590.000,94690.000,93425.000,99249.000,95329.000,102101.000
DueToRelatedPartiesNoncurrent,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000,577510.000
GeneralPartnersCapitalAccount,-49161.000,-49586.000,-44634.000,-44598.000,-44647.000,-44658.000,-44820.000,-45395.000,-45241.000,-45271.000,-45406.000,-45781.000,-45783.000,-45981.000,-46140.000,-46479.000,-46340.000,-46642.000
InsuranceSettlementsReceivableCurrent,140683.000,140683.000,,,,,,,,,,,,,,,,
Land,3829693.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000,3284629.000
LandImprovements,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000,494254.000
LiabilitiesAndStockholdersEquity,5279590.000,5264271.000,4531154.000,4517726.000,4523020.000,4511419.000,4506312.000,4460822.000,4468779.000,4464080.000,4450751.000,4435510.000,4435937.000,4412747.000,4394769.000,4374727.000,4394807.000,4385716.000
LiabilitiesCurrent,76868.000,104050.000,107407.000,90398.000,100612.000,90026.000,101202.000,113251.000,105783.000,104109.000,104244.000,126498.000,127091.000,123775.000,121676.000,135498.000,141689.000,162834.000
LimitedPartnersCapitalAccount,4674373.000,4632297.000,3890871.000,3894416.000,3889545.000,3888541.000,3872420.000,3815456.000,3830727.000,3827732.000,3814403.000,3777283.000,3777119.000,3757443.000,3741723.000,3708198.000,3721948.000,3692014.000
LimitedPartnersCapitalAccountUnitsOutstanding,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000,47261.000
MachineryAndEquipmentGross,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000,1306171.000
OtherAssetsCurrent,2013.000,1799.000,,2387.000,2142.000,1899.000,,1654.000,2163.000,1993.000,,1654.000,1655.000,1655.000,,1983.000,1900.000,1818.000
OtherPartnersCapital,,,,,,,84.000,,,,84.000,,,,84.000,,,
PartnersCapital,4625212.000,4582711.000,3846237.000,3849818.000,3844898.000,3843883.000,3827600.000,3770061.000,3785486.000,3782461.000,3768997.000,3731502.000,3731336.000,3711462.000,3695583.000,3661719.000,3675608.000,3645372.000
PropertyPlantAndEquipmentGross,8164511.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000,7619447.000
