,2011-07-30,2011-10-29,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31
IncreaseDecreaseInOtherOperatingAssets,,,-32000.000,,,-6000.000,,,,339000.000,,,,0.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,879000.000,,,,143000.000,,
IncreaseDecreaseInRetailRelatedInventories,,,1216000.000,,,-1115000.000,,,,-6249000.000,,,,8379000.000,,
InterestExpense,356000.000,367000.000,438000.000,452000.000,439000.000,500000.000,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,-464000.000,-430000.000,-620000.000,-565000.000,-556000.000,-569000.000,-478000.000,-591000.000,-547000.000,-626000.000,-680000.000
InterestPaid,,,418000.000,,,426000.000,,,,420000.000,,,,435000.000,,
LineOfCreditFacilityAverageOutstandingAmount,,,,,,40200000.000,,,,40400000.000,,,,29000000.000,,
LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,,,,,,53000000.000,,,,46500000.000,,,,40000000.000,,
NetCashProvidedByUsedInDiscontinuedOperations,,,,,,-16000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,38507000.000,,,51537000.000,,,,23803000.000,,,,21952000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,38507000.000,,,51537000.000,,,,23803000.000,,,,21952000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-7174000.000,,,-7608000.000,,,,-4778000.000,,,,-3547000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-7174000.000,,,-7608000.000,,,,-4778000.000,,,,-3547000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-36458000.000,,,-39870000.000,,,,-23015000.000,,,,-17102000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-36458000.000,,,-39870000.000,,,,-23015000.000,,,,-17102000.000,,
NetIncomeLoss,-2898000.000,-3957000.000,-1942000.000,-881000.000,-2775000.000,-3704000.000,-9110000.000,-6940000.000,12170000.000,-5578000.000,-3016000.000,-6891000.000,19023000.000,-5283000.000,-5809000.000,-7117000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,-21000.000,-197000.000,,-424000.000,50000.000,-164000.000,-92000.000,28000.000,88000.000,-58000.000
OperatingExpenses,29275000.000,28272000.000,28932000.000,30587000.000,27838000.000,29133000.000,29270000.000,28686000.000,31820000.000,29477000.000,29087000.000,29577000.000,30799000.000,29583000.000,31177000.000,30623000.000
OperatingIncomeLoss,-3170000.000,-8130000.000,-2246000.000,-1071000.000,-4463000.000,-5106000.000,-2653000.000,-7204000.000,13484000.000,-5543000.000,-2433000.000,-7063000.000,19658000.000,-5017000.000,-4960000.000,-6570000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,52000.000,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,2000.000,-40000.000,81000.000,61000.000,52000.000,-2000.000,-112000.000,-124000.000,29000.000,46000.000,-25000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,2000.000,-40000.000,81000.000,61000.000,52000.000,-2000.000,-112000.000,-124000.000,29000.000,46000.000,-25000.000
OtherSalesRevenueNet,,,,,,,432000.000,478000.000,,640000.000,750000.000,812000.000,911000.000,1106000.000,1160000.000,1090000.000
PaymentsForRepurchaseOfCommonStock,,,,,,712000.000,,,,0.000,,,,,,
PaymentsOfDebtIssuanceCosts,,,,,,,,,,,,,,56000.000,,
PaymentsOfDividends,,,,,,,,,,,,,,16000.000,,
PaymentsToAcquireEquityMethodInvestments,,,,,,,,,,0.000,,,,88000.000,,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,,,,,,1797000.000,,,,,,,,,,
PaymentsToAcquireProductiveAssets,,,7174000.000,,,5950000.000,,,,5271000.000,,,,4490000.000,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,88000.000,,,62000.000,,,,55000.000,,,,53000.000,,
ProceedsFromLinesOfCredit,,,76070000.000,,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,139000.000,,,,493000.000,,,,1031000.000,,
ProceedsFromShortTermDebt,,,,,,99695000.000,,,,70217000.000,,,,71468000.000,,
ProfitLoss,,,,,,,-9131000.000,-7137000.000,,-6002000.000,-2966000.000,-7055000.000,18931000.000,-5255000.000,-5721000.000,-7175000.000
ProvisionForDoubtfulAccounts,,,66000.000,,,,,,,22000.000,,,,-31000.000,,
RepaymentsOfLinesOfCredit,,,37610000.000,,,,,,,,,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,,,,61000.000,,,,119000.000,,,,132000.000,,
RepaymentsOfLongTermDebt,,,,,,,,,,148000.000,,,,147000.000,,
