,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,10200000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,22700000.000,,,,19400000.000,,,,14600000.000,,,,17100000.000,,,,22300000.000,,,,37700000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,15900000.000,,,,14000000.000,,,,26800000.000,,,,32800000.000,,,,32000000.000,,,,48000000.000,,,,30200000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,,,,,8500000.000,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,1900000.000,,,,-1700000.000,,,,1400000.000,,,,1000000.000,,,,1400000.000,,,,1400000.000,,,,1400000.000,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,,,,,,,,,,,,,7100000.000,7900000.000,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,0.000,0.000,,70400000.000,0.000,,,36200000.000,0.000,17300000.000,,6800000.000,0.000,0.000,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,,,41300000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,,,,,,,,,,,,,,,,,,,,,0.000,,,,,
CashAcquiredFromAcquisition,,,,,,,,,-4100000.000,,,,10200000.000,,,,,,,,3300000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-835500000.000,,,,-729600000.000,,,,-929100000.000,,,,-865800000.000,,,,-926300000.000,,,,-829500000.000,,,,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,0.000,,,-1800000.000,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.075,0.075,0.075,0.075,0.095,0.095,0.095,0.095,0.120,0.120,0.120,0.120,0.150,0.150,0.150,0.150,0.180,0.180
ComprehensiveIncomeNetOfTax,,131800000.000,76000000.000,,900000.000,115400000.000,82300000.000,185800000.000,-93700000.000,12800000.000,74400000.000,151200000.000,-20600000.000,127200000.000,-22400000.000,167400000.000,-129800000.000,150100000.000,-15500000.000,240900000.000,63500000.000,147100000.000,63100000.000,217900000.000,74600000.000,129900000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,4500000.000,4400000.000,,-2200000.000,2000000.000,-3300000.000,20300000.000,-3400000.000,1500000.000,700000.000,18300000.000,-2100000.000,4000000.000,3400000.000,20400000.000,-3200000.000,2700000.000,800000.000,21400000.000,-2200000.000,2700000.000,5400000.000,17000000.000,-2900000.000,100000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-7800000.000,136300000.000,80400000.000,233400000.000,-1300000.000,117400000.000,79000000.000,206100000.000,-97100000.000,14300000.000,75100000.000,169500000.000,-22700000.000,131200000.000,-19000000.000,187800000.000,-133000000.000,152800000.000,-14700000.000,262300000.000,61300000.000,149800000.000,68500000.000,234900000.000,71700000.000,130000000.000
CostsAndExpenses,1520100000.000,1566700000.000,1553300000.000,1687300000.000,1546200000.000,1539300000.000,1539000000.000,1653400000.000,1585400000.000,1581400000.000,1558900000.000,1798300000.000,1649200000.000,1655600000.000,1669800000.000,1774100000.000,1668200000.000,,,,1721100000.000,1693100000.000,1715000000.000,,1724200000.000,1678400000.000
DeferredIncomeTaxExpenseBenefit,-53000000.000,,,,-51500000.000,,,,-49500000.000,,,,-22900000.000,,,,-31800000.000,,,,-28100000.000,,,,-13800000.000,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1,,,,,,,,,,,,,,,,,,,,,,200000.000,100000.000,,,0.000
DepreciationAndAmortization,35600000.000,37700000.000,36200000.000,41400000.000,34600000.000,36800000.000,37400000.000,38900000.000,38200000.000,39200000.000,40500000.000,39500000.000,40500000.000,40200000.000,41000000.000,41300000.000,38700000.000,39500000.000,38100000.000,40700000.000,38000000.000,39800000.000,39700000.000,42700000.000,41000000.000,41300000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,0.000,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,-2800000.000,-15800000.000,-3600000.000,,,,,,,,,,,,,,,,,,,
DilutiveSecurities,,,,,,,,,,,,,,0.000,,,,,,,,,,,,
DividendsCommonStockCash,28500000.000,,,,26200000.000,,,,31000000.000,,,,40200000.000,,,,49300000.000,,,,59900000.000,,,,70900000.000,
DividendsPreferredStockCash,2900000.000,,,,2900000.000,,,,2900000.000,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,,0.210,0.450,,,0.230,0.160,,,0.190,0.110,,,0.240,0.210,,,0.300,0.180,,0.010,0.390,0.320,0.810,0.050,0.240
EarningsPerShareBasicAndDiluted,,,,,-0.100,,,,-0.140,,,,-0.050,,,,0.000,,,,,,,,,
EarningsPerShareDiluted,,0.190,0.400,,,0.220,0.150,,,0.180,0.110,,,0.230,0.210,,,0.290,0.180,,0.010,0.380,0.320,0.780,0.050,0.240
EffectOfExchangeRateOnCashAndCashEquivalents,28400000.000,,,,19200000.000,,,,-10100000.000,,,,-2300000.000,,,,-58300000.000,,,,36700000.000,,,,20000000.000,
EffectiveIncomeTaxRateContinuingOperations,,0.305,0.245,,0.294,0.323,0.390,-0.691,0.175,0.419,0.369,-0.576,0.071,0.387,0.413,-0.571,0.250,0.387,0.440,-0.706,,0.212,0.325,,,0.443
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,3300000.000,,,,8500000.000,,,,0.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,,,,,,,,,,,,,,,7500000.000,,,,,
GainLossOnCashFlowHedgeIneffectivenessNet,,,,,0.000,-100000.000,0.000,,,,,,,,,,,,,,,,,,,
GainLossOnInvestments,,,,,,,,,,,,,,,,,,-100000.000,-37600000.000,,,,,,,
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,-16300000.000,,,,900000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,-45200000.000,,,-10400000.000,0.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,439200000.000,470800000.000,465500000.000,548800000.000,441300000.000,450400000.000,474700000.000,519600000.000,453300000.000,461200000.000,465300000.000,538100000.000,460600000.000,485400000.000,474600000.000,507500000.000,453000000.000,455100000.000,471400000.000,505500000.000,450200000.000,464100000.000,486200000.000,470000000.000,448800000.000,439100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,-64900000.000,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-75000000.000,155900000.000,287100000.000,370400000.000,-65300000.000,155100000.000,108200000.000,476800000.000,-71000000.000,147900000.000,77000000.000,314100000.000,-24000000.000,168600000.000,157500000.000,418600000.000,-5600000.000,201000000.000,139000000.000,427800000.000,-13000000.000,205800000.000,196300000.000,441100000.000,14800000.000,170100000.000
IncomeLossFromEquityMethodInvestments,300000.000,600000.000,800000.000,1600000.000,400000.000,500000.000,1400000.000,800000.000,100000.000,200000.000,600000.000,1200000.000,-100000.000,400000.000,300000.000,600000.000,0.000,500000.000,100000.000,500000.000,100000.000,-1900000.000,200000.000,1900000.000,1200000.000,-100000.000
IncomeTaxExpenseBenefit,-21500000.000,47600000.000,70400000.000,93700000.000,-19200000.000,50100000.000,41900000.000,140500000.000,-12400000.000,62000000.000,28400000.000,103200000.000,-1700000.000,65300000.000,65000000.000,87900000.000,-1400000.000,77700000.000,61100000.000,145400000.000,-15600000.000,43700000.000,63800000.000,106100000.000,-2100000.000,75400000.000
IncreaseDecreaseInAccountsPayable,-429600000.000,,,,-808400000.000,,,,-898200000.000,,,,-905600000.000,,,,-946100000.000,,,,-981100000.000,,,,-702500000.000,
IncreaseDecreaseInAccountsReceivable,-369400000.000,,,,-742300000.000,,,,-567400000.000,,,,-557600000.000,,,,-460500000.000,,,,-686500000.000,,,,-806600000.000,
IncreaseDecreaseInAccruedLiabilities,-523800000.000,,,,-150900000.000,,,,-131800000.000,,,,-173300000.000,,,,-173300000.000,,,,-198800000.000,,,,-264900000.000,
IncreaseDecreaseInInventories,123200000.000,,,,193700000.000,,,,206200000.000,,,,154000000.000,,,,111100000.000,,,,137300000.000,,,,206300000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,22800000.000,,,,23200000.000,,,,3600000.000,,,,21800000.000,,,,30400000.000,,,,41000000.000,,,,21200000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,28600000.000,,,,34100000.000,,,,53200000.000,,,,47700000.000,,,,31000000.000,,,,59200000.000,,,,71600000.000,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,16200000.000,16500000.000,,,16700000.000,0.000,,,17100000.000,,,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,8800000.000,7600000.000,,,6900000.000,8100000.000,,,6100000.000,6400000.000,,6800000.000,,,,6300000.000,,,,8700000.000,9700000.000,10200000.000,-18500000.000,7600000.000,8000000.000
InterestExpense,31900000.000,33100000.000,32900000.000,38900000.000,32600000.000,32700000.000,31600000.000,36600000.000,36800000.000,37500000.000,23700000.000,24700000.000,20200000.000,22600000.000,20700000.000,21400000.000,20900000.000,20300000.000,21300000.000,23300000.000,22600000.000,24500000.000,21700000.000,21800000.000,20900000.000,25700000.000
InterestIncomeDepositsWithFinancialInstitutions,,,,,,,,,,,,,,,,,7200000.000,5000000.000,5600000.000,5000000.000,5800000.000,5600000.000,4700000.000,4000000.000,5200000.000,4700000.000
InvestmentIncomeInterest,8300000.000,9700000.000,9700000.000,10100000.000,8000000.000,6700000.000,6700000.000,8100000.000,6400000.000,5800000.000,5800000.000,6700000.000,6200000.000,6600000.000,-7500000.000,22100000.000,,,,,,,,,,
LaborAndRelatedExpense,1080100000.000,1095700000.000,1088000000.000,1138300000.000,1104900000.000,1088900000.000,1064300000.000,1133800000.000,1132100000.000,1120200000.000,1093600000.000,1199600000.000,1188600000.000,1170200000.000,1195200000.000,1266400000.000,1215200000.000,1205200000.000,1202200000.000,1235100000.000,1270900000.000,1229000000.000,1228800000.000,1309400000.000,1275400000.000,1239300000.000
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,,,,,,,,,,,,250000000.000,,,,250000000.000,,,,,,,,,
MinorityInterestChangeInRedemptionValue,-9400000.000,,,,3300000.000,,,,900000.000,,,,1900000.000,,,,-5800000.000,,,,-3800000.000,,,,-3300000.000,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,3100000.000,,,,1800000.000,,,,1200000.000,,,,5700000.000,,,,1200000.000,,,,4000000.000,,,,6400000.000,
MinorityInterestDecreaseFromRedemptions,,,,,13000000.000,,,,1300000.000,,,,1900000.000,,,,-15700000.000,,,,-9000000.000,,,,12700000.000,
MinorityInterestPeriodIncreaseDecrease,-3300000.000,,,,-800000.000,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-45400000.000,,,,-229000000.000,,,,-104100000.000,,,,-90700000.000,,,,-51100000.000,,,,-157900000.000,,,,64400000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-45400000.000,,,,-229000000.000,,,,-104100000.000,,,,-90700000.000,,,,-51100000.000,,,,-157900000.000,,,,64400000.000,
NetCashProvidedByUsedInInvestingActivities,-16800000.000,,,,-21300000.000,,,,-39800000.000,,,,-47100000.000,,,,-20000000.000,,,,-59200000.000,,,,-33200000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-16800000.000,,,,-21300000.000,,,,-39800000.000,,,,-47100000.000,,,,-20000000.000,,,,-59200000.000,,,,-33200000.000,
NetCashProvidedByUsedInOperatingActivities,-801700000.000,,,,-498500000.000,,,,-775100000.000,,,,-725700000.000,,,,-796900000.000,,,,-649100000.000,,,,-371800000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-801700000.000,,,,-498500000.000,,,,-775100000.000,,,,-725700000.000,,,,-796900000.000,,,,-649100000.000,,,,-371800000.000,
NetIncomeLoss,-45200000.000,104600000.000,211000000.000,261900000.000,-43000000.000,101900000.000,71600000.000,316200000.000,-56300000.000,82800000.000,48300000.000,193100000.000,-20900000.000,99400000.000,89700000.000,308900000.000,-1800000.000,121200000.000,74900000.000,260300000.000,5400000.000,156900000.000,128600000.000,317600000.000,21500000.000,94700000.000
