,2011-09-30,2011-12-31,2012-03-31
AdjustmentForAmortization,71105.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-5650.000,,
ComprehensiveIncomeNetOfTax,-134735.000,16167.000,-7019509.000
CostOfGoodsAndServicesSold,510512.000,144962.000,156701.000
Depreciation,45460.000,,
EarningsPerShareBasicAndDiluted,-0.010,-0.000,-0.350
EffectOfExchangeRateOnCashAndCashEquivalents,53.000,,
GrossProfit,-52083.000,167962.000,398448.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-251573.000,-54018.000,-6936877.000
IncomeTaxExpenseBenefit,,-5190.000,-93099.000
IncreaseDecreaseInAccountsPayable,12786.000,,
IncreaseDecreaseInAccountsReceivable,-270771.000,,
IncreaseDecreaseInDeferredCharges,269912.000,,
IncreaseDecreaseInNotesReceivableCurrent,-26196.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-12140.000,,
IncreaseDecreaseInOtherReceivables,1559.000,,
IncreaseDecreaseInPrepaidExpense,-44245.000,,
InvestmentIncomeInterest,497.000,6.000,84.000
NetCashProvidedByUsedInFinancingActivities,10000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10000.000,,
NetCashProvidedByUsedInOperatingActivities,-15703.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-15703.000,,
NetIncomeLoss,-251573.000,-59208.000,-7029976.000
NonoperatingIncomeExpense,3692.000,1750.000,1982.000
OperatingExpenses,203182.000,223730.000,7337307.000
OperatingIncomeLoss,-255265.000,-55768.000,-6938859.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,116838.000,75375.000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,10467.000
OtherNonoperatingIncomeExpense,3195.000,1744.000,1898.000
ProceedsFromRelatedPartyDebt,10000.000,,
Revenues,458429.000,312924.000,555149.000
SalesRevenueNet,458429.000,312924.000,555149.000
SellingGeneralAndAdministrativeExpense,203182.000,223730.000,98364.000
ShareBasedCompensation,45800.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,20284783.000,20290000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,20290000.000
WeightedAverageNumberOfSharesOutstandingBasic,20284783.000,20290000.000,
