,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdditionsToNoncurrentAssets,25914.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-1455.000,,,,,,,,
CostsAndExpensesRelatedParty,,,,0.000,,,,,,,
Depreciation,183.000,184.000,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,-10383.000,,,0.000,0.000,,,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,4248.000,,,0.000,0.000,,,0.000,0.000
EarningsPerShareBasic,0.000,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,0.000,-0.020,-0.000,0.000,-0.010,0.000,0.000,0.000,-0.000,-0.000
GeneralAndAdministrativeExpense,,3306.000,19945.000,4175.000,,0.000,0.000,,,0.000,
IncomeTaxExpenseBenefit,,3300.000,0.000,,,,,,,,
IncomeTaxesPaidNet,,,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,1200.000,,,,,,
InterestPaid,,,0.000,,,,,,,,
LeaseAndRentalExpense,,1350.000,,,,,,,,,
NetCashProvidedByUsedInContinuingOperations,,,-23166.000,,-25780.000,,,,,,
NetCashProvidedByUsedInDiscontinuedOperations,,,21711.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,0.000,,25780.000,,,,10700.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,0.000,,25780.000,,,,10700.000,,
NetCashProvidedByUsedInOperatingActivities,,,-1455.000,,-25780.000,,,,-10700.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1455.000,,-25780.000,,,,-10700.000,,
NetIncomeLoss,,,-32783.000,,-26980.000,-33722.000,,,,,
OperatingExpenses,14830.000,38207.000,38918.000,10675.000,26980.000,33722.000,13135.000,13553.000,10700.000,26147.000,8553.000
OperatingIncomeLoss,,-17412.000,-38918.000,-10675.000,-26980.000,-33722.000,-13135.000,-13553.000,-10700.000,-26147.000,-8553.000
ProfessionalFees,5379.000,13027.000,18973.000,6500.000,26980.000,33722.000,13135.000,13553.000,10700.000,26147.000,8553.000
ProfitLoss,16914.000,-20712.000,-32783.000,-10675.000,-26980.000,-33722.000,-13135.000,-13553.000,-10700.000,-26147.000,-8553.000
Revenues,40744.000,20795.000,,,,,,,,,
SalesRevenueNet,40744.000,20795.000,,,,,,,,,
SellingExpense,7016.000,20340.000,,,,,,,,,
ShareBasedCompensation,,,20000.000,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,6000000.000,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,35000000.000,,,,,,,,,,
