,2012-03-31
AccretionExpense,143890.000
AdjustmentOfWarrantsGrantedForServices,37500.000
AmortizationOfDebtDiscountPremium,326562.000
AmortizationOfFinancingCostsAndDiscounts,483453.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-161190.000
DirectOperatingCosts,95582.000
EarningsPerShareBasicAndDiluted,-0.020
ExplorationExpenseMining,19998.000
GainsLossesOnExtinguishmentOfDebt,-1258100.000
GeneralAndAdministrativeExpense,1038205.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-104182.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,-45500.000
IncreaseDecreaseInInterestPayableNet,236881.000
IncreaseDecreaseInPrepaidExpense,42500.000
InterestExpense,236881.000
IssuanceOfStockAndWarrantsForServicesOrClaims,14800.000
NetCashProvidedByUsedInFinancingActivities,1261000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1261000.000
NetCashProvidedByUsedInInvestingActivities,-621429.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-621429.000
NetCashProvidedByUsedInOperatingActivities,-800761.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-800761.000
NetIncomeLoss,-3295209.000
NonoperatingIncomeExpense,-1978434.000
OperatingExpenses,1316775.000
OperatingIncomeLoss,-1316775.000
OtherCostOfOperatingRevenue,162990.000
PaymentsForDeposits,30560.000
PaymentsToAcquireOilAndGasProperty,65894.000
PaymentsToAcquirePropertyPlantAndEquipment,524975.000
ProceedsFromIssuanceOfDebt,1261000.000
ShareBasedCompensation,706397.000
