,2011-09-30,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,-50000.000,,,,997000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,1041000.000,,,,
AllocatedShareBasedCompensationExpense,,,,-50000.000,56000.000,-39000.000,10000.000,39000.000
AmortizationOfFinancingCosts,,,,,,,,-29000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-494000.000,,,,325000.000
ComprehensiveIncomeNetOfTax,,-904000.000,-2174000.000,88000.000,-2973000.000,-1216000.000,-255000.000,-1306000.000
ConversionOfStockAmountConverted1,,,,8352000.000,,,,
CostOfServicesMaintenanceCosts,,,,2500.000,,,,
DeferredRevenueRevenueRecognized1,,,,10000.000,,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,,0.083,,,,
Depreciation,,,,5000.000,,,,7000.000
EarningsPerShareBasic,,,,0.010,-0.230,-0.040,,-0.080
EarningsPerShareBasicAndDiluted,-0.070,,-0.110,,,,,
EarningsPerShareDiluted,,,,0.050,-0.230,-0.040,,-0.080
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,-2000.000,,,,-9000.000
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,,,,6000.000
FairValueOptionChangesInFairValueGainLoss1,,,,,,,,362000.000
GainLossOnInvestments,,,-1138000.000,614000.000,-2757000.000,-118000.000,513000.000,-308000.000
GeneralAndAdministrativeExpense,566000.000,246000.000,169000.000,,,,,
IncomeLossFromContinuingOperations,,,,,-3507000.000,-724000.000,,
IncomeLossFromContinuingOperationsPerBasicShare,,-0.060,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,-0.060,,,,,,
IncreaseDecreaseInAccountsPayable,,,,56000.000,,,,
IncreaseDecreaseInAccountsPayableTrade,,,,,,,,-54000.000
IncreaseDecreaseInDeferredRevenue,,,,10000.000,,,,
IncreaseDecreaseInOtherAccountsPayable,,,,18000.000,,,,93000.000
IncreaseDecreaseInOtherReceivables,,,,15000.000,,,,8000.000
InvestmentIncomeNonoperating,,-366000.000,,,,,,
MarketableSecuritiesGainLoss,,,,67000.000,,,,
MarketingExpense,,212000.000,195000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,1349000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,1349000.000
NetCashProvidedByUsedInInvestingActivities,,,,-13000.000,,,,-3000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,-13000.000,,,,-3000.000
NetCashProvidedByUsedInOperatingActivities,,,,-479000.000,,,,-1012000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,-479000.000,,,,-1012000.000
NetIncomeLoss,-822000.000,-893000.000,-1614000.000,111000.000,,,,-1394000.000
NetIncomeLossAttributableToNoncontrollingInterest,110000.000,,,,,,,
NonoperatingIncomeExpense,-146000.000,,,,,,,
OperatingExpenses,,527000.000,476000.000,503000.000,750000.000,606000.000,727000.000,1086000.000
OperatingIncomeLoss,,-527000.000,-476000.000,-503000.000,-750000.000,-606000.000,-727000.000,-1086000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,-11000.000,40000.000,-90000.000,7000.000,35000.000,50000.000,-5000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,600000.000,-67000.000,-527000.000,527000.000,91000.000,-93000.000
OtherGeneralAndAdministrativeExpense,,,,326000.000,599000.000,434000.000,500000.000,879000.000
OtherNonoperatingIncomeExpense,,0.000,0.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,13000.000,,,,3000.000
ProceedsFromOtherDebt,,,,,,,,1149000.000
ProfitLoss,,,,503000.000,,,,
RecognitionOfDeferredRevenue,,,,,,,,10.000
ResearchAndDevelopmentExpense,,69000.000,112000.000,177000.000,151000.000,172000.000,227000.000,207000.000
SaleOfStockPercentageOfOwnershipAfterTransaction,,,,0.075,,,,
ShareBasedCompensation,,,,-50000.000,,,,39000.000
StockIssuedDuringPeriodSharesPurchaseOfAssets,,,,,,,,2000000.000
StockIssuedDuringPeriodValueOther,,,,,,,,400000.000
TechnologyServicesCosts,,,,100000.000,,,,100.000
UnrealizedGainLossOnDerivatives,,,,614000.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,15313798.000,,15492659.000,15313798.000,16584354000.000,,17525359.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,15313798.000,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,15313798.000,,15313793.000,15313798.000,16584354000.000,,17525359.000
