,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
GainLossOnInvestments,-2941229000.000,303691000.000,4058750000.000,-112752000.000,-1164225000.000,832106000.000
IncreaseDecreaseInOperatingCapital,,,-3630312000.000,533005000.000,1518893000.000,-558370000.000
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,-3242007000.000,26973000.000,,,,
NetInvestmentIncome,158212000.000,150581000.000,198159000.000,245994000.000,259048000.000,263746000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,3551319000.000,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,3727450000.000,,,,
RealizedInvestmentGainsLosses,168290000.000,127560000.000,268040000.000,274104000.000,222943000.000,167262000.000
TrusteeFees,,50000.000,,,,
UnrealizedGainLossOnInvestments,-3109519000.000,176131000.000,3790710000.000,-386856000.000,-1387168000.000,664844000.000
