,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,540045.000,,262525.000,
AmortizationOfIntangibleAssets,,30000.000,36000.000,
BusinessCombinationAcquisitionRelatedCosts,,-77272.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,1034625.000,962562.000,774577.000,-836992.000
CostOfGoodsAndServicesSold,1161038.000,2287764.000,1046692.000,1222712.000
CostsAndExpensesRelatedParty,,,114726.000,
Depreciation,15297.000,40512.000,73733.000,
DepreciationAndAmortization,,70512.000,109733.000,68941.000
EarningsPerShareBasicAndDiluted,-0.070,-0.070,-0.060,-0.030
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,
FairValueAssumptionsExpectedDividendRate,,0.000,0.000,
FairValueAssumptionsExpectedVolatilityRate,,0.840,0.461,0.422
FairValueAssumptionsRiskFreeInterestRate,,0.004,0.001,0.001
GrossProfit,1113497.000,1103418.000,1264123.000,1582920.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-3336888.000,-2155765.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,-3336888.000,-2155765.000
IncomeTaxExpenseBenefit,,,0.000,0.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,886435.000,894089.000,
IncomeTaxesPaid,800.000,800.000,800.000,800.000
IncreaseDecreaseInAccountsPayable,,,,67875.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,275956.000,447857.000,-347522.000,11369.000
IncreaseDecreaseInAccountsReceivable,330553.000,-173329.000,-225200.000,-73706.000
IncreaseDecreaseInCustomerDeposits,12600.000,1290.000,-6300.000,960.000
IncreaseDecreaseInDeferredLeasingFees,10249.000,25068.000,-8633.000,-12495.000
IncreaseDecreaseInDerivativeLiabilities,,6142.000,57247.000,-63389.000
IncreaseDecreaseInPrepaidExpense,9800.000,-1441.000,-50250.000,-16104.000
InterestExpense,2712.000,,21338.000,-11573.000
InterestPaid,,,0.000,11603.000
MarketableSecuritiesRealizedGainLoss,,,,13676.000
MarketableSecuritiesUnrealizedGainLoss,,,0.000,
NetCashProvidedByUsedInFinancingActivities,2459466.000,1488275.000,3304164.000,970925.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2459466.000,1488275.000,3304164.000,970925.000
NetCashProvidedByUsedInInvestingActivities,-72877.000,-83045.000,-5649.000,24300.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-72877.000,-83045.000,-5649.000,24300.000
NetCashProvidedByUsedInOperatingActivities,-1351964.000,-2367792.000,-2523938.000,-1832217.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1351964.000,-2367792.000,-2523938.000,-1832217.000
NetIncomeLoss,-1752558.000,-2833430.000,-2892198.000,-1581022.000
NetIncomeLossAttributableToNoncontrollingInterest,,,-444690.000,574743.000
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,,-144000.000,0.000,
NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,,,50000.000,
NonoperatingIncomeExpense,-2712.000,495446.000,-78585.000,38140.000
OperatingExpenses,2863343.000,4432294.000,4522426.000,
OperatingIncomeLoss,-1749846.000,-3328876.000,-3258303.000,-2193905.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,-5500.000
PaymentsToAcquirePropertyPlantAndEquipment,72877.000,83045.000,5649.000,-12024.000
ProceedsFromConvertibleDebt,300000.000,,,
ProceedsFromIssuanceOfCommonStock,2200000.000,1485000.000,550000.000,0.000
ProceedsFromIssuanceOrSaleOfEquity,,,2744502.000,599963.000
ProceedsFromLinesOfCredit,,,,364610.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,,36324.000
ProceedsFromStockOptionsExercised,,3275.000,9662.000,6352.000
ProfitLoss,,,,-1581022.000
ProvisionForDoubtfulAccounts,-108000.000,-105900.000,8600.000,3700.000
RealizedGainLossOnMarketableSecuritiesAndCostMethodInvestmentsExcludingOtherThanTemporaryImpairmentsAndOtherInvestments,,,,5500.000
RepaymentsOfRelatedPartyDebt,40534.000,,,
ResearchAndDevelopmentExpense,,,42969.000,
Revenues,2274535.000,3391182.000,2310815.000,2805632.000
SalesRevenueNet,2274535.000,3391182.000,2310815.000,2805632.000
SellingGeneralAndAdministrativeExpense,2863343.000,4432294.000,4522426.000,3776825.000
ShareBasedCompensation,540045.000,220267.000,262525.000,233731.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,0.004,0.001,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,0.840,0.461,
