,2011-03-19,2011-06-11,2011-09-03,2012-03-24,2012-06-16,2012-09-08,2013-03-23,2013-06-15,2013-09-07,2014-03-22,2014-06-14,2014-09-06,2015-03-21,2015-06-13,2015-09-05,2016-03-19,2016-06-11
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2.300,4700000.000,4800000.000,1900000.000,3500000.000,3500000.000,4500000.000,6000000.000,4700000.000,6100000.000,5900000.000,5200000.000,6700000.000,4300000.000,4200000.000,4500000.000,6600000.000
AssetImpairmentCharges,2000000.000,17000000.000,9000000.000,,,,,,,,,,,17.000,1000000.000,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,74000000.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,
BusinessExitCosts,1000000.000,2000000.000,0.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,103000000.000,,,-99000000.000,,,-14000000.000,,,161000000.000,,,97000000.000,,,197000000.000,
CommonStockDividendsPerShareDeclared,0.000,0.500,0.000,0.285,0.285,0.000,0.335,0.335,0.000,0.370,0.370,0.000,0.000,0.820,0.000,0.460,0.460
ComprehensiveIncomeNetOfTax,317000000.000,391000000.000,389000000.000,480000000.000,313000000.000,461000000.000,349000000.000,300000000.000,121000000.000,362000000.000,313000000.000,434000000.000,281000000.000,349000000.000,316000000.000,330000000.000,373000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,3000000.000,0.000,7000000.000,-1000000.000,-3000000.000,-15000000.000,0.000,0.000,1000000.000,-2000000.000,1000000.000,4000000.000,4000000.000,-3000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,483000000.000,313000000.000,468000000.000,348000000.000,297000000.000,106000000.000,362000000.000,313000000.000,435000000.000,279000000.000,350000000.000,320000000.000,334000000.000,370000000.000
CostOfGoodsSold,1691000000.000,2045000000.000,2360000000.000,1904000000.000,2339000000.000,2543000000.000,1766000000.000,2164000000.000,2490000000.000,1851000000.000,2330000000.000,2462000000.000,1797000000.000,2248000000.000,2429000000.000,1732000000.000,2146000000.000
CostOfGoodsSoldDirectLabor,461000000.000,548000000.000,600000000.000,513000000.000,623000000.000,650000000.000,490000000.000,590000000.000,621000000.000,493000000.000,620000000.000,642000000.000,493000000.000,602000000.000,625000000.000,486000000.000,603000000.000
CostOfGoodsSoldDirectMaterials,662000000.000,792000000.000,970000000.000,767000000.000,916000000.000,1029000000.000,680000000.000,805000000.000,996000000.000,725000000.000,886000000.000,951000000.000,688000000.000,841000000.000,933000000.000,649000000.000,764000000.000
CostOfGoodsSoldOverhead,568000000.000,705000000.000,790000000.000,624000000.000,800000000.000,864000000.000,596000000.000,769000000.000,873000000.000,633000000.000,824000000.000,869000000.000,616000000.000,805000000.000,871000000.000,597000000.000,779000000.000
CostsAndExpenses,2024000000.000,2397000000.000,2786000000.000,2098000000.000,2695000000.000,2898000000.000,2048000000.000,2514000000.000,3116000000.000,2153000000.000,2725000000.000,2804000000.000,2116000000.000,2734000000.000,2824000000.000,2055000000.000,2517000000.000
DeferredIncomeTaxExpenseBenefit,-60000000.000,,,-4000000.000,,,-6000000.000,,,-11000000.000,,,-29000000.000,,,-25000000.000,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,,-15000000.000,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,,,,-76000000.000,,,-2000000.000,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,-10000000.000,,,,,,,,,,
DepreciationDepletionAndAmortization,123000000.000,,,138000000.000,,,130000000.000,,,140000000.000,,,139000000.000,,,136000000.000,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,0.000,,,-4000000.000,3000000.000,0.000,-13000000.000,1000000.000,-10000000.000,10000000.000,23000000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,2000000.000,2000000.000,,-1000000.000,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,-5000000.000,16000000.000,,2000000.000,,,5000000.000,-5000000.000,0.000,13000000.000,-1000000.000,8000000.000,-5000000.000,-26000000.000
DisposalGroupIncludingDiscontinuedOperationForeignCurrencyTranslationGainsLosses,,,,,,,,,,,,,,68000000.000,,,
EarningsPerShareBasic,0.560,0.670,0.820,0.990,0.710,1.020,0.740,0.620,0.340,0.890,0.750,0.910,0.830,0.540,0.970,0.940,0.820
EarningsPerShareDiluted,0.540,0.650,0.800,0.960,0.690,1.000,0.720,0.610,0.330,0.870,0.730,0.890,0.810,0.530,0.950,0.930,0.810
EffectOfExchangeRateOnCashAndCashEquivalents,12000000.000,,,7000000.000,,,-3000000.000,,,-4000000.000,,,23000000.000,,,-18000000.000,
EffectiveIncomeTaxRateContinuingOperations,0.252,0.164,0.146,0.241,0.237,0.251,0.264,0.227,0.572,0.259,0.249,0.227,0.234,0.304,0.253,0.250,0.258
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,8000000.000,,,28000000.000,,,11000000.000,,,13000000.000,,,19000000.000,,,11000000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,-8000000.000,,,-28000000.000,,,-11000000.000,,,13000000.000,,,19000000.000,,,11000000.000,
FairValueLevel1ToLevel2TransfersAmount,,,,0.000,,,,,,,,,,,,,
FairValueLevel2ToLevel1TransfersAmount,,,,0.000,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-3000000.000,2000000.000,3000000.000,-8000000.000,,,,,,,,,,,,,
FranchiseCosts,30000000.000,33000000.000,41000000.000,26000000.000,26000000.000,32000000.000,30000000.000,34000000.000,44000000.000,33000000.000,34000000.000,42000000.000,34000000.000,47000000.000,65000000.000,48000000.000,50000000.000
FranchiseRevenue,374000000.000,385000000.000,420000000.000,399000000.000,406000000.000,427000000.000,436000000.000,430000000.000,445000000.000,432000000.000,446000000.000,463000000.000,443000000.000,446000000.000,459000000.000,454000000.000,454000000.000
GainLossOnDispositionOfAssets,2000000.000,-5000000.000,-66000000.000,26000000.000,13000000.000,2000000.000,17000000.000,32000000.000,38000000.000,3000000.000,4000000.000,20000000.000,10000000.000,-68000000.000,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,68000000.000,-2000000.000,7000000.000,53000000.000
GeneralAndAdministrativeExpense,255000000.000,308000000.000,310000000.000,272000000.000,346000000.000,332000000.000,273000000.000,333000000.000,327000000.000,271000000.000,352000000.000,323000000.000,295000000.000,353000000.000,328000000.000,286000000.000,365000000.000
ImpairmentOfLongLivedAssetsHeldForUse,,22000000.000,100000000.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,608000000.000,435000000.000,639000000.000,456000000.000,358000000.000,319000000.000,538000000.000,450000000.000,522000000.000,472000000.000,338000000.000,571000000.000,527000000.000,451000000.000
IncomeLossFromEquityMethodInvestments,-16000000.000,11000000.000,13000000.000,13000000.000,9000000.000,16000000.000,7000000.000,-3000000.000,13000000.000,13000000.000,9000000.000,9000000.000,9000000.000,7000000.000,15000000.000,16000000.000,10000000.000
IncomeTaxExpenseBenefit,91000000.000,62000000.000,67000000.000,147000000.000,102000000.000,161000000.000,120000000.000,82000000.000,182000000.000,139000000.000,112000000.000,119000000.000,111000000.000,102000000.000,145000000.000,132000000.000,116000000.000
IncreaseDecreaseInAccountsAndNotesReceivable,11000000.000,,,-29000000.000,,,-9000000.000,,,-23000000.000,,,-3000000.000,,,-33000000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-14000000.000,,,-124000000.000,,,-81000000.000,,,-20000000.000,,,113000000.000,,,66000000.000,
IncreaseDecreaseInAccruedIncomeTaxesPayable,85000000.000,,,70000000.000,,,18000000.000,,,53000000.000,,,51000000.000,,,95000000.000,
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments,26000000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,34000000.000,,,-27000000.000,,,-26000000.000,,,-33000000.000,,,-21000000.000,,,-17000000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-25000000.000,,,15000000.000,,,8000000.000,,,2000000.000,,,27000000.000,,,0.000,
IncreaseDecreaseInRestrictedCash,,,,-300000000.000,,,0.000,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,13.000,13000000.000,12000000.000,13000000.000,12000000.000,12000000.000,10000000.000,10000000.000,10000000.000,9000000.000,9000000.000,9000000.000,8000000.000,8000000.000,8000000.000,6000000.000,7000000.000
InterestIncomeExpenseNet,-43000000.000,-35000000.000,-32000000.000,-37000000.000,-38000000.000,-32000000.000,-31000000.000,-32000000.000,-31000000.000,-33000000.000,-29000000.000,-28000000.000,-34000000.000,-33000000.000,-32000000.000,-37000000.000,-40000000.000
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-21000000.000,,,-20000000.000,,,18000000.000,,,,,,,,,,
MinorityInterestDecreaseFromRedemptions,,,,,,,15000000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-261000000.000,,,-188000000.000,,,-259000000.000,,,-237000000.000,,,-246000000.000,,,-243000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-261000000.000,,,-188000000.000,,,-259000000.000,,,-237000000.000,,,-246000000.000,,,-243000000.000,
NetCashProvidedByUsedInInvestingActivities,-156000000.000,,,-402000000.000,,,-153000000.000,,,-168000000.000,,,-196000000.000,,,-201000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-156000000.000,,,-402000000.000,,,-153000000.000,,,-168000000.000,,,-196000000.000,,,-201000000.000,
NetCashProvidedByUsedInOperatingActivities,508000000.000,,,484000000.000,,,401000000.000,,,570000000.000,,,516000000.000,,,659000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,508000000.000,,,484000000.000,,,401000000.000,,,570000000.000,,,516000000.000,,,659000000.000,
NetIncomeLoss,264000000.000,316000000.000,383000000.000,458000000.000,331000000.000,471000000.000,337000000.000,281000000.000,152000000.000,399000000.000,334000000.000,404000000.000,362000000.000,235000000.000,421000000.000,391000000.000,339000000.000
NetIncomeLossAttributableToNoncontrollingInterest,3000000.000,6000000.000,6000000.000,3000000.000,2000000.000,7000000.000,-1000000.000,-5000000.000,-15000000.000,0.000,4000000.000,-1000000.000,-1000000.000,1000000.000,5000000.000,4000000.000,-4000000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,,-1000000.000,,,,,,,
OperatingIncomeLoss,401000000.000,419000000.000,488000000.000,645000000.000,473000000.000,671000000.000,487000000.000,390000000.000,350000000.000,571000000.000,479000000.000,550000000.000,506000000.000,371000000.000,603000000.000,564000000.000,491000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,5000000.000,5000000.000,6000000.000,9000000.000,,,,,,,,,,,,,
