,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdministrativeFeesAmountPaid,439898.000,,,
AdministrativeFeesExpense,,321493.000,213165.000,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,-5196088.000,6187386.000,,
IncentiveFeeExpense,,204558.000,,
IncomeTaxExpenseBenefit,,,0.000,
InterestAndDividendIncomeOperating,26446.000,11844.000,,
InvestmentIncomeInterest,,,4189.000,1919.000
InvestmentIncomeNet,,,-1254562.000,
ManagementFeeExpense,,573233.000,348740.000,252125.000
NetIncomeLoss,-2117431.000,-966521.000,-1937108.000,-1190109.000
NetInvestmentIncome,,,,-978434.000
OperatingExpenses,,,1258751.000,980353.000
OtherExpenses,140243.000,113321.000,84431.000,
PartnersCapitalAccountRedemptions,,,11316878.000,
PartnersCapitalAccountUnitsRedeemed,,,8530.061,
PaymentForAdministrativeFees,,321493.000,213165.000,
ProfessionalFees,339786.000,274661.000,195331.000,247739.000
RealizedInvestmentGainsLosses,,,-126930.000,820282.000
SellingExpense,680883.000,621911.000,417084.000,318457.000
TradingActivityGainsAndLossesNet,411788.000,1130812.000,,
TradingGainsLosses,-2541394.000,12941496.000,-682546.000,-211675.000
UnrealizedGainLossOnInvestments,,,-555616.000,-1031957.000
