,2012-03-31,2013-12-31
AccountsPayableCurrentAndNoncurrent,10680.000,9486.000
AccruedFeesAndOtherRevenueReceivable,100094.000,181180.000
AccruedLiabilities,22948.000,
AccruedLiabilitiesCurrentAndNoncurrent,27031.000,40053.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,11420740.000
AllowanceForDoubtfulAccountsReceivable,,45295.000
Assets,3528244.000,3303991.000
BuildingsAndImprovementsGross,,11370105.000
CapitalLeasedAssetsGross,,210138.000
CashAndCashEquivalentsAtCarryingValue,531521.000,207473.000
DeferredRevenue,41917.000,46441.000
DividendsPayableCurrentAndNoncurrent,193769.000,193769.000
DueToRelatedPartiesCurrentAndNoncurrent,,27595.000
GeneralPartnersCapitalAccount,-108264.000,-109817.000
Land,,2729790.000
Liabilities,416537.000,343768.000
LiabilitiesAndPartnersCapital,3528244.000,
LiabilitiesAndStockholdersEquity,3528244.000,3303991.000
LimitedPartnersCapitalAccount,3025870.000,2872009.000
LimitedPartnersCapitalAccountUnitsOutstanding,,30693.000
MinorityInterest,194101.000,
MinorityInterestOwnershipPercentageByNoncontrollingOwners,,0.700
OtherAssets,46430.000,26045.000
OtherLiabilities,120192.000,26424.000
PartnersCapital,2917606.000,2762192.000
PartnersCapitalAttributableToNoncontrollingInterest,,198031.000
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,,2960223.000
PrepaidAdvertising,10327.000,0.000
PropertyPlantAndEquipmentGross,,14310033.000
PropertyPlantAndEquipmentNet,2839872.000,2889293.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3111707.000,2960223.000
