,2012-03-31,2013-03-31,2014-03-31,2015-03-31
AmortizationOfAcquisitionCosts,,54949.000,54949.000,
AssetManagementCosts,35000.000,25250.000,24585.000,18574.000
CashAndCashEquivalentsPeriodIncreaseDecrease,28907.000,173655.000,-50238.000,-46460.000
EquityMethodInvestmentRealizedGainLossOnDisposal,,359383.000,-18215.000,36580.000
GainLossOnSaleOfProperties,392308.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,25000.000,25000.000,
IncomeTaxesPaid,,800.000,,
IncomeTaxesPaidNet,800.000,,800.000,800.000
IncreaseDecreaseInAccruedLiabilities,,446.000,-446.000,0.000
IncreaseDecreaseInDueToRelatedParties,-217821.000,-101181.000,13217.000,33491.000
IncreaseDecreaseInOtherOperatingAssets,-68871.000,-5133.000,-13837.000,55675.000
IncreaseDecreaseInPrepaidExpense,,-8692.000,-8692.000,0.000
InvestmentIncomeInterest,34.000,27.000,88.000,64.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,0.010,0.010,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.990,0.990,
NetCashProvidedByUsedInFinancingActivities,,,,-20868.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,-20868.000
NetCashProvidedByUsedInInvestingActivities,417874.000,392373.000,-24804.000,36580.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,417874.000,392373.000,-24804.000,36580.000
NetCashProvidedByUsedInOperatingActivities,-388967.000,-218718.000,-25434.000,-62172.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-388967.000,-218718.000,-25434.000,-62172.000
NetIncomeLoss,290033.000,279475.000,-109788.000,-3408.000
NetIncomeLossAllocatedToGeneralPartners,2900.000,2795.000,-1098.000,-34.000
NetIncomeLossAllocatedToLimitedPartners,287133.000,276680.000,-108690.000,-3374.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,28.710,27.770,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-10.940,-0.340
OperatingExpenses,126776.000,114151.000,101294.000,51003.000
OperatingIncomeLoss,-102309.000,-79935.000,-91661.000,-40052.000
OtherAssetImpairmentCharges,,25705.000,4792.000,1033.000
OtherCostAndExpenseOperating,20971.000,21615.000,13582.000,2514.000
PartnersCapitalAccountContributions,26654.000,,,
PartnersCapitalAccountPublicSaleOfUnits,,10000000.000,10000000.000,
PartnersCapitalAccountReturnOfCapital,,,,-20868.000
PartnersCapitalAccountSaleOfUnits,,10000.000,10000.000,
PartnersCapitalAccountUnitsAcquisitions,,5.000,4.000,
PartnersCapitalAccountUnitsSaleOfUnits,,10000.000,10000.000,
PaymentsForAdvanceToAffiliate,31294.000,12256.000,6589.000,0.000
PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,-417874.000,,,
ProceedsFromSaleOfEquityMethodInvestments,,392373.000,-18215.000,36580.000
ProfessionalAndContractServicesExpense,,,10720.000,8282.000
ProfessionalFees,39511.000,29325.000,41026.000,20600.000
ProvisionForDoubtfulAccounts,31294.000,12256.000,6589.000,0.000
RealEstateInvestmentPartnershipRevenue,,,,9951.000
RevenueFromRelatedParties,5211.000,13458.000,637.000,1000.000
Revenues,24467.000,34216.000,9633.000,10951.000
SalesRevenueNet,24467.000,34216.000,9633.000,10951.000
SellingExpense,,,18217.000,
WeightedAverageLimitedPartnershipUnitsOutstanding,10000.000,9962.000,9939.000,9939.000
