,2011-12-31,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-409262000.000,490264000.000
ComprehensiveIncomeNetOfTax,178828000.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,153783000.000
DividendsCommonStockCash,,307400000.000
DividendsPreferredStock,12006000.000,13205000.000
DividendsPreferredStockCash,,13205000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,27901000.000
FinancingReceivableSignificantPurchases,,1680940000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,38359000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,153822000.000
IncomeTaxExpenseBenefit,,39000.000
IncreaseDecreaseInAccountsReceivableRelatedParties,-2000.000,-2143000.000
InterestAndFeeIncomeLoansAndLeasesHeldInPortfolio,145315000.000,134491000.000
InterestAndFeeIncomeLoansCommercialAndResidentialRealEstate,112997000.000,110132000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,184880000.000,160350000.000
InterestIncomeExpenseNet,147351000.000,136447000.000
LoanPortfolioExpense,6958000.000,6218000.000
LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans,,3900000.000
LoansAndLeasesReceivableImpairedTroubledDebtInterestIncome,,1200000.000
NetCashProvidedByUsedInFinancingActivities,-512006000.000,-13205000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-512006000.000,-13205000.000
NetCashProvidedByUsedInInvestingActivities,-39793000.000,367707000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-39793000.000,367707000.000
NetCashProvidedByUsedInOperatingActivities,142537000.000,135762000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,142537000.000,135762000.000
NetIncomeLoss,178828000.000,153783000.000
NetIncomeLossAvailableToCommonStockholdersBasic,166822000.000,140578000.000
NoninterestExpense,7664000.000,7787000.000
NoninterestIncome,1612000.000,1259000.000
OtherNoncashIncomeExpense,1240000.000,-3739000.000
OtherNoninterestExpense,706000.000,827000.000
PaymentsOfDividendsCommonStock,149899000.000,0.000
PaymentsOfDividendsPreferredStockAndPreferenceStock,12006000.000,13205000.000
PaymentsToAcquireLoansAndLeasesHeldForInvestment,2232647000.000,1658687000.000
ProceedsFromCollectionOfLoansReceivable,2192854000.000,2026394000.000
ProvisionForLoanAndLeaseLosses,-37529000.000,-23903000.000
RentalIncomeNonoperating,70000.000,72000.000
