,2011-01-31,2011-04-30,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableAndAccruedLiabilitiesCurrent,101428000.000,104229000.000,101489000.000,100441000.000,108592000.000,102958000.000,112347000.000,125400000.000,129001000.000,136648000.000,154847000.000,154871000.000,164218000.000,152156000.000,153799000.000,148180000.000,154255000.000,147452000.000,147342000.000,147839000.000,150298000.000,192379000.000,175969000.000,184968000.000,192769000.000
AccountsPayableOtherCurrent,,,,,,36153000.000,,,,36073000.000,,,,40105000.000,,,,42230000.000,,,,46866000.000,,,
AccountsPayableTradeCurrent,,,,,,16353000.000,,,,34488000.000,,,,22108000.000,,,,15287000.000,,,,30087000.000,,,
AccountsReceivableGrossCurrent,,,,,,141886000.000,,,,185397000.000,,,,200569000.000,,,,218684000.000,,,,270390000.000,,,
AccountsReceivableNetCurrent,136972000.000,117534000.000,136284000.000,151903000.000,129335000.000,138966000.000,149554000.000,198805000.000,164155000.000,182714000.000,187615000.000,222104000.000,192610000.000,196985000.000,204810000.000,235477000.000,217003000.000,215696000.000,231403000.000,281227000.000,263292000.000,266270000.000,294358000.000,340438000.000,302071000.000
AccruedEmployeeBenefitsCurrent,,,,,,16791000.000,,,,21978000.000,,,,25721000.000,,,,25647000.000,,,,33382000.000,,,
AccruedIncomeTaxesCurrent,1846000.000,10243000.000,22262000.000,3350000.000,8638000.000,3082000.000,23671000.000,6083000.000,8034000.000,4741000.000,21576000.000,5539000.000,11207000.000,8284000.000,25906000.000,5858000.000,5660000.000,8279000.000,30444000.000,12629000.000,17169000.000,5625000.000,6583000.000,7624000.000,6421000.000
AccruedIncomeTaxesNoncurrent,25098000.000,25127000.000,24707000.000,24796000.000,25481000.000,22531000.000,23525000.000,24434000.000,26185000.000,23091000.000,23399000.000,24165000.000,25378000.000,23771000.000,24227000.000,25499000.000,26982000.000,21157000.000,22395000.000,23696000.000,25675000.000,25641000.000,26867000.000,27470000.000,26772000.000
AccruedInsuranceCurrent,,,,,,5686000.000,,,,6048000.000,,,,5703000.000,,,,5796000.000,,,,5753000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,323430000.000,,,,372106000.000,,,,385234000.000,,,,415353000.000,,,,415537000.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,-34933000.000,-27871000.000,-29980000.000,-34487000.000,-45420000.000,-30862000.000,-30125000.000,-20405000.000,-18992000.000,-42960000.000,-65800000.000,-65988000.000,-68510000.000,-75173000.000,-99420000.000,-83791000.000,-109194000.000,-127969000.000,-119549000.000,-114268000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-29574000.000,-20168000.000,-27339000.000,-35912000.000,-27011000.000,-38043000.000,-30705000.000,-32270000.000,-37078000.000,-47161000.000,-32680000.000,-31718000.000,-21829000.000,-20060000.000,-43936000.000,-66525000.000,-66594000.000,-68793000.000,-74740000.000,-103071000.000,-83791000.000,-109194000.000,-127969000.000,-119549000.000,-114268000.000
AdditionalPaidInCapital,,,,317765000.000,,,,,,,,,393225000.000,,410629000.000,416958000.000,422194000.000,,413423000.000,394002000.000,393351000.000,,416125000.000,429957000.000,444745000.000
AdditionalPaidInCapitalCommonStock,,,,,326575000.000,326187000.000,332021000.000,353111000.000,361585000.000,368769000.000,373177000.000,384947000.000,,404542000.000,,,,407808000.000,,,,392445000.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,2920000.000,,,,2683000.000,,,,3584000.000,,,,2988000.000,,,,4120000.000,,,
Assets,1188411000.000,1191312000.000,1225884000.000,1139658000.000,1204763000.000,1155066000.000,1214526000.000,1253946000.000,1298682000.000,1334481000.000,1397388000.000,1438493000.000,1476672000.000,1506804000.000,1536586000.000,1952071000.000,2002977000.000,1799952000.000,1855764000.000,1604364000.000,1624135000.000,1649820000.000,1770396000.000,1841241000.000,1811686000.000
AssetsCurrent,392353000.000,353366000.000,384271000.000,328212000.000,383375000.000,322293000.000,327069000.000,311905000.000,353162000.000,306452000.000,320955000.000,332929000.000,385754000.000,412291000.000,457766000.000,888425000.000,954459000.000,734582000.000,785656000.000,506858000.000,464505000.000,499306000.000,630711000.000,659252000.000,593609000.000
AssetsHeldForSaleCurrent,,,,14640000.000,10505000.000,3926000.000,3026000.000,4185000.000,1929000.000,1929000.000,1929000.000,1503000.000,1345000.000,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,1345000.000,564000.000,,,,,,,,,,
AvailableForSaleSecurities,,,,,,,,,,,,,,,,,,,21893000.000,17465000.000,,,,,
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,,,,,,,,,,,21100000.000,21100000.000,21100000.000,21100000.000,,,
BankOverdrafts,,,,,,,,,,16291000.000,,17034000.000,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,,,,,,,,,,,,,,,,,,,10000000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,,,,,,,,,,,,,,,,,,,,,,,,,92000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,,,9750000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,,,,,,,,,,,,,,,,,,10000000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,324000.000,,,,297000.000,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,198000.000,,,,229000.000,,,,1407000.000,,,,1312000.000,,,,1124000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,3000.000,,,,0.000,,,,0.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,6000.000,,,,37000.000,,,,3000.000,,,,909000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,126000.000,,,,62000.000,,,,1312000.000,,,,37000.000,,,,1093000.000,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,
