,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,-7701.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,856177.000,,
ConcentrationRiskPercentage1,,,,0.100,0.100
CostOfGoodsSold,416005.000,342562.000,513712.000,413326.000,288004.000
DepreciationDepletionAndAmortization,,,24855.000,,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.020,-0.010,-0.010
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,59980.000,68340.000,9400.000
EntityWideRevenueMajorCustomerPercentage,,,,0.160,0.140
GrossProfit,125700.000,132349.000,40443.000,48155.000,131058.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,105936.000,,
IncreaseDecreaseInAccountsReceivable,,,-15544.000,,
IncreaseDecreaseInInventories,,,-11632.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,57550.000,,
IncreaseDecreaseInRestrictedCash,,,-100000.000,,
InterestExpense,2356.000,2266.000,736793.000,190720.000,335448.000
InterestExpenseDebt,,,691094.000,,
InterestPaid,,,2065.000,,
InventoryWriteDown,,,-35695.000,,
InvestmentIncomeNonoperating,437.000,9.000,9.000,1559.000,82.000
NetCashProvidedByUsedInFinancingActivities,,,2338505.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,2338505.000,,
NetCashProvidedByUsedInInvestingActivities,,,-3265.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3265.000,,
NetCashProvidedByUsedInOperatingActivities,,,-1479063.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1479063.000,,
NetIncomeLoss,-1397424.000,-1294937.000,-1849348.000,-1302977.000,-1079576.000
OperatingExpenses,1521205.000,1425029.000,1707533.000,1497584.000,884668.000
OperatingIncomeLoss,-1395505.000,-1292680.000,-1667090.000,-1449429.000,-753610.000
OtherNoncashExpense,,,734728.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,3265.000,,
ProductWarrantyAccrualPayments,,,,-1280.000,0.000
ProductWarrantyAccrualWarrantiesIssued,,,,2348.000,2193.000
RepaymentsOfLongTermCapitalLeaseObligations,,,1495.000,,
ResearchAndDevelopmentExpense,87933.000,161127.000,87361.000,122374.000,63565.000
Revenues,541705.000,474911.000,554155.000,461481.000,419062.000
SalesRevenueNet,541705.000,474911.000,554155.000,461481.000,419062.000
SellingGeneralAndAdministrativeExpense,1433272.000,1263902.000,1620172.000,1375210.000,821103.000
ShareBasedCompensation,,,76696.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,100112960.000,100112960.000
