,2011-09-30
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,1344000.000
ComprehensiveIncomeNetOfTax,5403000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2792000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,8195000.000
CostOfGoodsSold,1914000.000
CostOfRevenue,13559000.000
CostOfServices,11645000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,268000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,-110000.000
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,0.000
EarningsPerShareBasic,0.160
EarningsPerShareDiluted,0.160
ForeignCurrencyTransactionGainLossBeforeTax,-61000.000
GeneralAndAdministrativeExpense,3827000.000
GrossProfit,12064000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9416000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,7962000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.160
IncomeLossFromContinuingOperationsPerDilutedShare,0.160
IncomeTaxExpenseBenefit,1454000.000
InterestExpense,777000.000
InvestmentIncomeInterest,673000.000
NetIncomeLoss,8081000.000
NetIncomeLossAttributableToNoncontrollingInterest,39000.000
OperatingExpenses,2544000.000
OperatingIncomeLoss,9520000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,75000.000
OtherOperatingIncomeExpenseNet,44000.000
ProfitLoss,8120000.000
Revenues,25623000.000
SalesRevenueGoodsNet,1915000.000
SalesRevenueNet,25623000.000
SalesRevenueServicesNet,23708000.000
SellingAndMarketingExpense,44000.000
WeightedAverageNumberOfDilutedSharesOutstanding,49504442.000
WeightedAverageNumberOfSharesOutstandingBasic,49009512.000
