,2011-06-30,2011-09-30,2011-12-31,2012-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,189369.000,,,
ComprehensiveIncomeNetOfTax,-422458.000,-617813.000,-204493.000,-737057.000
CostOfGoodsSold,1550299.000,3624726.000,7937092.000,2650873.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.020
EffectOfExchangeRateOnCashAndCashEquivalents,-7170.000,,,
FeesAndCommissions,5982.000,2605.000,2773.000,4292.000
ForeignCurrencyTransactionGainLossBeforeTax,-7715.000,-518180.000,63485.000,97454.000
GeneralAndAdministrativeExpense,176287.000,187851.000,296770.000,155148.000
GrossProfit,152777.000,848503.000,1322198.000,-102049.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-414488.000,-591349.000,-159395.000,-762605.000
IncomeTaxExpenseBenefit,800.000,5.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-36810.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,1019521.000,,,
IncreaseDecreaseInAccountsReceivable,-806919.000,,,
IncreaseDecreaseInInventories,1185564.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-7761.000,,,
InterestExpense,4099.000,2150.000,4943.000,2486.000
NetCashProvidedByUsedInOperatingActivities,196539.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,196539.000,,,
NetIncomeLoss,-415288.000,-591354.000,-159395.000,-741399.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-7170.000,-26459.000,-45098.000,4342.000
SalariesAndWages,247686.000,223176.000,240029.000,196110.000
SalesRevenueGoodsNet,1703076.000,4473229.000,9259290.000,2548824.000
SellingAndMarketingExpense,137460.000,511100.000,1006109.000,408558.000
