,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,,,,416000000.000,425000000.000,373000000.000,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,162000000.000,129000000.000,141000000.000,164000000.000,161000000.000,154000000.000,139000000.000,160000000.000,139000000.000,203000000.000,179000000.000,159000000.000,152000000.000,159000000.000,162000000.000,181000000.000,198000000.000
AccountsReceivableGrossCurrent,,,,419000000.000,426000000.000,374000000.000,310000000.000,329000000.000,372000000.000,306000000.000,278000000.000,299000000.000,474000000.000,455000000.000,392000000.000,368000000.000,407000000.000,396000000.000,423000000.000,430000000.000
AccountsReceivableNetCurrent,,,,416000000.000,425000000.000,373000000.000,308000000.000,327000000.000,370000000.000,304000000.000,277000000.000,298000000.000,472000000.000,453000000.000,391000000.000,367000000.000,405000000.000,394000000.000,421000000.000,428000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,,,,,,37000000.000,21000000.000,19000000.000,9000000.000,11000000.000,8000000.000,9000000.000,10000000.000,10000000.000,7000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,50000000.000,56000000.000,57000000.000,44000000.000,40000000.000,39000000.000,42000000.000,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,20000000.000,8000000.000,14000000.000,28000000.000,26000000.000,27000000.000,31000000.000,32000000.000,23000000.000,26000000.000,29000000.000,43000000.000,49000000.000,54000000.000,57000000.000,1000000.000,3000000.000
AccruedLiabilitiesCurrent,,,,178000000.000,180000000.000,149000000.000,146000000.000,116000000.000,138000000.000,142000000.000,147000000.000,95000000.000,156000000.000,141000000.000,180000000.000,130000000.000,156000000.000,148000000.000,174000000.000,143000000.000
AccruedMarketingCostsCurrent,,,,,,,18000000.000,16000000.000,17000000.000,20000000.000,19000000.000,18000000.000,21000000.000,26000000.000,28000000.000,19000000.000,23000000.000,24000000.000,25000000.000,19000000.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,,,,,,43000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,210000000.000,254000000.000,295000000.000,319000000.000,356000000.000,396000000.000,421000000.000,449000000.000,484000000.000,530000000.000,557000000.000,559000000.000,608000000.000,647000000.000,698000000.000,721000000.000,768000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,220000000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-185000000.000,-245000000.000,-243000000.000,-284000000.000,-286000000.000,-296000000.000,-325000000.000,-396000000.000,-443000000.000,-432000000.000,-531000000.000,-596000000.000,-555000000.000,-553000000.000,-525000000.000,-495000000.000,-480000000.000
AdditionalPaidInCapitalCommonStock,,,,1435000000.000,1441000000.000,1446000000.000,1448000000.000,1454000000.000,1462000000.000,1471000000.000,1476000000.000,1483000000.000,1490000000.000,1495000000.000,1500000000.000,1504000000.000,1510000000.000,1518000000.000,1524000000.000,1536000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,3000000.000,1000000.000,1000000.000,2000000.000,2000000.000,2000000.000,2000000.000,1000000.000,1000000.000,2000000.000,2000000.000,1000000.000,1000000.000,2000000.000,2000000.000,2000000.000,2000000.000
AssetRetirementObligation,,102300000.000,108000000.000,111000000.000,103000000.000,106000000.000,96000000.000,98000000.000,100000000.000,95000000.000,90000000.000,86000000.000,88000000.000,82000000.000,81000000.000,87000000.000,78000000.000,82000000.000,76000000.000,79000000.000
AssetRetirementObligationCurrent,,1900000.000,,,,,,,,,5000000.000,5000000.000,6000000.000,6000000.000,4000000.000,6000000.000,3000000.000,4000000.000,3000000.000,5000000.000
AssetRetirementObligationsNoncurrent,,100400000.000,,105000000.000,96000000.000,99000000.000,90000000.000,92000000.000,94000000.000,89000000.000,85000000.000,81000000.000,82000000.000,76000000.000,77000000.000,81000000.000,75000000.000,78000000.000,73000000.000,74000000.000
Assets,,,,6015000000.000,5847000000.000,5785000000.000,5699000000.000,5606000000.000,5566000000.000,5347000000.000,5065000000.000,5436000000.000,5592000000.000,5296000000.000,5072000000.000,4907000000.000,4893000000.000,4925000000.000,4950000000.000,4922000000.000
AssetsCurrent,,,,2710000000.000,2654000000.000,2704000000.000,2653000000.000,2567000000.000,2580000000.000,2508000000.000,2381000000.000,2840000000.000,1532000000.000,1385000000.000,1301000000.000,1174000000.000,1204000000.000,1202000000.000,1253000000.000,1245000000.000
AssetsNet,,,,6015000000.000,,,,,,,,,,,,,,,,
