,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,2894.000,,6249.000,,8142.000,,,,9000.000
AmortizationOfDebtDiscountPremium,,15742.000,,115898.000,,68396.000,,,,70000.000
AmortizationOfFinancingCosts,,,,0.000,,213384.000,,,,214000.000
AssetImpairmentCharges,,,,0.000,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,0.000,,,,,,
CashAcquiredFromAcquisition,,,,,,,,,,0.000
CashPeriodIncreaseDecrease,,15866.000,,-58659.000,,-1293118.000,,,,63000.000
DebtConversionOriginalDebtAmount1,,,,0.000,,,,,,
DebtInstrumentPeriodicPaymentPrincipal,,,,,,693750.000,,,,
Depreciation,,7241.000,,7175.000,,170123.000,,,,216000.000
DepreciationNonproduction,,,,,,170000.000,,,,216000.000
DirectOperatingCosts,,,,,1066143.000,1444683.000,1483000.000,1476000.000,1201317.000,1329000.000
EarningsPerShareBasicAndDiluted,-0.020,-0.010,-0.010,-0.010,-0.020,-0.010,-0.060,-0.020,-0.030,-0.020
FairValueAssumptionsExpectedDividendRate,,,,0.000,,-0.000,,,,-0.000
FairValueAssumptionsExpectedVolatilityRate,,,,1.740,,1.740,,,,
FairValueAssumptionsRiskFreeInterestRate,,,,0.010,,0.010,,,,0.014
ForeignCurrencyTransactionGainLossBeforeTax,9780.000,-4880.000,-3449.000,5009.000,-8600.000,299.000,1000.000,12000.000,7701.000,16000.000
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,357000.000
GainOnDerivativeInstrumentsPretax,,,,,,1158020.000,779000.000,1205000.000,,357000.000
GainsLossesOnExtinguishmentOfDebt,,,5987.000,0.000,7084.000,,,0.000,,
GeneralAndAdministrativeExpense,141773.000,140697.000,82301.000,100344.000,1016803.000,951753.000,843000.000,775000.000,735247.000,710000.000
GoodwillImpairmentLoss,,,,,,,2596000.000,0.000,,
IncomeTaxesPaid,,,,0.000,,0.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,15600.000,,35612.000,,-697264.000,,,,195000.000
IncreaseDecreaseInAccountsReceivable,,,,,,106196.000,,,,38000.000
IncreaseDecreaseInDeferredRevenue,,,,,,423437.000,,,,120000.000
IncreaseDecreaseInDepositOtherAssets,,,,0.000,,9534.000,,,,47000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,,40329.000,,98375.000,,43436.000,,,,228000.000
IncreaseDecreaseInInterestPayableNet,,132391.000,,143788.000,,264291.000,,,,671000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,-93000.000
IncreaseDecreaseInPrepaidExpense,,,,25000.000,,-37802.000,,,,-30000.000
InterestExpense,231010.000,151164.000,158969.000,273272.000,645776.000,853202.000,821000.000,911000.000,949798.000,908000.000
InterestPaid,,,,0.000,,503203.000,,,,88000.000
InvestmentIncomeAmortizationOfPremium,,,,0.000,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,0.000,,,,,,
LaborAndRelatedExpense,96088.000,92021.000,93137.000,163764.000,2022148.000,2498806.000,2608000.000,2618000.000,2739194.000,2841000.000
LossOnDerivativeInstrumentsPretax,,,,,-1060786.000,,,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,,,,,39839.000,,,,
NetCashProvidedByUsedInFinancingActivities,,190431.000,,77865.000,,-434025.000,,,,-374000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,190431.000,,77865.000,,-434025.000,,,,-374000.000
NetCashProvidedByUsedInInvestingActivities,,,,0.000,,9623.000,,,,-47000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,0.000,,9623.000,,,,-47000.000
NetCashProvidedByUsedInOperatingActivities,,-174565.000,,-136524.000,,-868716.000,,,,484000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-174565.000,,-136524.000,,-868716.000,,,,484000.000
NetIncomeLoss,-624326.000,-562010.000,-331869.000,-532371.000,-1528594.000,-779877.000,-3836000.000,-1212000.000,-2211123.000,-1433000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,-1617887.000,129630.000,-30000.000,-54000.000,111370.000,127000.000
NonoperatingIncomeExpense,-386465.000,-329292.000,-168405.000,-268263.000,426935.000,341210.000,-19000.000,337000.000,-726210.000,-509000.000
NotesIssued1,,,,0.000,,,,,,
OperatingExpenses,237861.000,232718.000,175438.000,264108.000,5256461.000,6106872.000,8769000.000,6401000.000,6541128.000,6045000.000
OperatingIncomeLoss,-237861.000,-232718.000,-175438.000,-264108.000,-1955529.000,-991457.000,-3847000.000,-1495000.000,-1481543.000,-797000.000
OtherFinancialServicesCosts,,,,,,,,,,25000.000
OtherIncome,,,,,13441.000,36093.000,22000.000,31000.000,38907.000,26000.000
OtherNonoperatingExpense,165235.000,173248.000,,0.000,0.000,,,,,
PaymentsForLegalSettlements,,,,,,,,,,34500.000
PaymentsOfDebtIssuanceCosts,,,,0.000,,,,,,
PaymentsToAcquireOtherInvestments,,,,0.000,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,0.000,,93996.000,,,,44000.000
PaymentsToAcquireRestrictedCertificatesOfDeposit,,,,0.000,,,,,,
PaymentsToDevelopSoftware,,,,0.000,,,,,,
ProceedsFromContributedCapital,,,,,,-129630.000,,,,3000.000
ProceedsFromIssuanceOfCommonStock,,50000.000,,87000.000,,100000.000,,,,0.000
ProceedsFromMinorityShareholders,,,,,,40000.000,,,,3000.000
ProceedsFromNotesPayable,,162500.000,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,-3000.000
ProceedsFromRepaymentsOfNotesPayable,,,,,,,,,,975000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,205134.000,,,,
ProfitLoss,,,,-532371.000,89293.000,-650247.000,-3866000.000,-1158000.000,-2207753.000,-1306000.000
ProvisionForDoubtfulAccounts,,,,,,,,,,19000.000
RepaymentsOfLongTermCapitalLeaseObligations,,,,,,12121.000,,,,24000.000
RepaymentsOfNotesPayable,,22069.000,,9135.000,,384599.000,,,,157000.000
RepaymentsOfRelatedPartyDebt,,,,0.000,,,,,,
Revenues,,,,,3314373.000,5151508.000,4944000.000,4937000.000,5098492.000,5274000.000
SalesRevenueNet,,,,,3300932.000,5115415.000,4922000.000,4906000.000,5059585.000,5248000.000
ShareBasedCompensation,,,,,,,,,,1000.000
StockIssued1,,,,0.000,,,,,,
StockIssuedDuringPeriodSharesRestrictedStockAwardGross,,,,125000.000,,,,,,
StockIssuedDuringPeriodSharesShareBasedCompensationGross,,,,,,,,,,800000.000
StockIssuedDuringPeriodValueOther,,173248.000,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensationGross,,,,,,,,,,40000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,43179312.000,49433341.000,62055148.000,67016712.000,68563787.000,68744914.000,-136019022.000,68881216.000
