,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfIntangibleAssets,70000000.000,68000000.000,65000000.000,64000000.000,53000000.000,62000000.000,60000000.000,60000000.000,60000000.000,59000000.000,58000000.000,57000000.000,57000000.000,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,30000000.000,,,,0.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-117000000.000,,,,-71000000.000,,,,-1318000000.000,,,,-642000000.000,,,,21000000.000
CommonStockDividendsPerShareCashPaid,0.360,0.000,0.380,0.380,0.420,0.420,0.420,0.420,0.485,0.485,0.485,0.485,0.550,0.550,0.550,0.550,0.650,0.650
CommonStockDividendsPerShareDeclared,0.380,0.380,0.380,0.420,0.420,0.420,0.420,0.490,0.480,0.485,0.485,0.550,0.550,0.550,0.550,0.650,0.650,0.650
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,666000000.000,216000000.000,322000000.000,732000000.000,500000000.000,509000000.000,1431000000.000,24000000.000,-60000000.000,-110000000.000,660000000.000,187000000.000,316000000.000,640000000.000,387000000.000,537000000.000,168000000.000,700000000.000
CostOfGoodsAndServicesSold,2855000000.000,2502000000.000,2619000000.000,2148000000.000,1285000000.000,2158000000.000,2219000000.000,2182000000.000,2114000000.000,1970000000.000,2024000000.000,1953000000.000,1941000000.000,1896000000.000,1967000000.000,2027000000.000,2006000000.000,2004000000.000
Depreciation,,76000000.000,,,,68000000.000,,,,59000000.000,,,,58000000.000,,,,61000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,17000000.000,-65000000.000,,,,0.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,16000000.000,-101000000.000,-4000000.000,57000000.000,234000000.000,72000000.000,1724000000.000,10000000.000,-1000000.000,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,17000000.000,4000000.000,-5000000.000,11000000.000,127000000.000,27000000.000,726000000.000,-14000000.000,10000000.000,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,10000000.000,149000000.000,132000000.000,657000000.000,1831000000.000,586000000.000,212000000.000,0.000,0.000,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,-4000000.000,,,,-1000000.000,,,,16000000.000,,,,0.000,,,,
EarningsPerShareBasic,1.130,0.780,1.040,1.010,0.930,1.120,3.690,1.350,1.170,1.220,1.310,1.400,1.230,1.290,1.470,1.510,1.460,1.550
EarningsPerShareDiluted,1.120,0.780,1.030,1.010,0.920,1.110,3.660,1.340,1.170,1.210,1.300,1.390,1.230,1.290,1.460,1.500,1.450,1.540
EffectOfExchangeRateOnCashAndCashEquivalents,,-44000000.000,,,,10000000.000,,,,-305000000.000,,,,92000000.000,,,,65000000.000
EffectiveIncomeTaxRateContinuingOperations,,0.290,,0.354,,,,0.300,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,0.064,,,,0.000,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,7000000.000,,,,,,,,16000000.000,,,,13000000.000,,,,0.000
GainLossOnInvestments,,5000000.000,,,,0.000,,,,-1000000.000,,,,2000000.000,,,,2000000.000
GainLossOnSaleOfPropertyPlantEquipment,,2000000.000,,,,0.000,,,,,,,,-1000000.000,,,,0.000
GoodwillAndIntangibleAssetImpairment,2000000.000,,,2000000.000,,0.000,,3000000.000,,,,2000000.000,,,,,,
GoodwillImpairmentLoss,1000000.000,,,0.000,,,,0.000,,,,0.000,,,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,1000000.000,,,2000000.000,,,,3000000.000,,,,2000000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,739000000.000,646000000.000,654000000.000,628000000.000,419000000.000,612000000.000,706000000.000,724000000.000,657000000.000,664000000.000,696000000.000,725000000.000,634000000.000,668000000.000,751000000.000,763000000.000,726000000.000,749000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,525000000.000,459000000.000,464000000.000,406000000.000,301000000.000,428000000.000,494000000.000,507000000.000,461000000.000,458000000.000,480000000.000,511000000.000,450000000.000,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,1.130,1.020,1.030,0.910,0.690,1.010,1.220,1.290,1.180,1.220,1.310,1.400,1.230,,,,,
