,2011-06-30,2011-09-30
AccountsAndOtherReceivablesNetCurrent,,125000.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,10895.000
Assets,3414163.000,2464342.000
CashAndCashEquivalentsAtCarryingValue,3414163.000,2339342.000
DueToRelatedPartiesCurrent,29120.000,4902112.000
DueToRelatedPartiesNoncurrent,4843040.000,0.000
GeneralPartnersCapitalAccount,175970.000,175226.000
LiabilitiesAndStockholdersEquity,3414163.000,2464342.000
LiabilitiesCurrent,2975480.000,6950345.000
LimitedPartnersCapitalAccount,-4580327.000,-4661229.000
LimitedPartnersCapitalAccountUnitsAuthorized,40000.000,40000.000
PartnersCapital,-4404357.000,-4486003.000
