,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
BusinessCombinationAcquisitionRelatedCosts,,,135000.000,,,,135000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-167569.000,,,,172652.000
DebtInstrumentRedemptionPricePercentage,,,,,,,1.000
EarningsPerShareBasicAndDiluted,-0.020,-0.020,-0.030,-0.010,-0.010,-0.050,-0.040
GeneralAndAdministrativeExpense,72011.000,74816.000,164801.000,83910.000,88141.000,202716.000,267306.000
IncreaseDecreaseInAccountsPayable,,,35934.000,,,,241595.000
IncreaseDecreaseInPrepaidExpense,,,1251.000,,,,38569.000
InterestIncomeExpenseNet,17127.000,22574.000,46096.000,56291.000,71155.000,81328.000,135094.000
InterestIncomeOther,,,,,,,464719.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,-4490712.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,-4490712.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,4777644.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,4777644.000
NetCashProvidedByUsedInOperatingActivities,,,-167569.000,,,,-114280.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-167569.000,,,,-114280.000
NetIncomeLoss,-92384.000,-89742.000,-156205.000,-65119.000,-54486.000,-158888.000,-182212.000
OperatingIncomeLoss,-109511.000,-112316.000,-202301.000,-121410.000,-125641.000,-240216.000,-317306.000
OtherGeneralAndAdministrativeExpense,37500.000,37500.000,37500.000,37500.000,37500.000,37500.000,50000.000
OtherUnderwritingExpense,,,,,,,12500.000
PaymentsForProceedsFromInvestments,,,,,,,302628.000
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,,,,,,,5063331.000
PaymentsForUnderwritingExpense,,,926786.000,,,,
ProceedsFromNotesPayable,,,,,,,572619.000
SaleOfStockConsiderationReceivedOnTransaction,,,5585000.000,,,,
SaleOfStockNumberOfSharesIssuedInTransaction,,,558500.000,,,,2875000.000
StockIssuedDuringPeriodValueNewIssues,,,115000000.000,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4498966.000,4498966.000,4498966.000,4498966.000,4506885.000,-9005816.000,4454370.000
