,2011-12-31,2012-12-31
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,5443.000,
AllocatedShareBasedCompensationExpense,516500.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,322183.000,-551375.000
CostOfGoodsSold,43252.000,86170.000
DebtInstrumentConvertibleInterestExpense,82364.000,
Depreciation,,76927.000
DepreciationDepletionAndAmortization,29264.000,
EarningsPerShareBasic,-0.000,-0.002
EarningsPerShareDiluted,-0.000,-0.002
GainsLossesOnExtinguishmentOfDebt,,-251495.000
GeneralAndAdministrativeExpense,642504.000,899282.000
GrossProfit,-8252.000,-23061.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1235944.000,-1109863.000
IncreaseDecreaseInAccountsPayable,,630911.000
IncreaseDecreaseInAccruedLiabilities,281322.000,
IncreaseDecreaseInCustomerAdvancesAndDeposits,-15000.000,
IncreaseDecreaseInInventories,,-37403.000
InterestAndDebtExpense,,369498.000
InterestExpense,238738.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,516500.000,
NetCashProvidedByUsedInFinancingActivities,972018.000,193371.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,972018.000,193371.000
NetCashProvidedByUsedInInvestingActivities,-308341.000,-123340.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-308341.000,-123340.000
NetCashProvidedByUsedInOperatingActivities,-341494.000,-621406.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-341494.000,-621406.000
NetIncomeLoss,-1235944.000,-1109863.000
OperatingExpenses,1241369.000,968799.000
OperatingIncomeLoss,-1249621.000,-991860.000
OtherNonoperatingIncomeExpense,,251495.000
OtherOperatingIncome,252415.000,
PaymentsForRepurchaseOfCommonStock,-51199.000,11881.000
PaymentsToAcquirePropertyPlantAndEquipment,-308341.000,123340.000
ProceedsFromRepaymentsOfNotesPayable,1023217.000,288515.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,-83263.000
ProfitLoss,-1235943.000,-1109863.000
SalesRevenueGoodsNet,35000.000,63109.000
StockIssuedDuringPeriodValueNewIssues,1086000.000,
StockholdersEquityOther,82364.000,69517.000
WeightedAverageNumberOfDilutedSharesOutstanding,423647114.000,475562586.000
WeightedAverageNumberOfSharesOutstandingBasic,423647114.000,475562586.000
