,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,0.000,211043.000,211063.000,211063.000,210161.000,421205.000,631749.000,629946.000,629946.000,838323.000,1264126.000,1261605.000,1261605.000,1256814.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,0.000,5.060,5.060,5.060,5.060,5.060,4.790,4.790,4.790,4.860,4.500,4.500,4.500,4.500
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,5.950,7.450,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,633129.000,633129.000,1275299.000,1275299.000,1269085.000,1264716.000,1911872.000,1910069.000,1910069.000,1905073.000,2561169.000,2557335.000,2555472.000,2549881.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,5.060,5.060,4.650,4.650,4.650,4.650,4.220,4.220,4.220,4.220,3.810,3.810,3.810,3.810
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,,,,0.000,,,,181456.000,,,,0.000,,,
SharePrice,,,,,,,,3.360,3.210,3.430,,3.340,3.610,3.040,1.550,1.250,0.880,0.950
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,0.000,504393.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000
StandardizedMeasureOfDiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves,,,,,,,157603000.000,,,,151802000.000,,,,133628000.000,,,
StockholdersEquity,72702000.000,,58627000.000,64957000.000,61604000.000,57328000.000,54799000.000,50615000.000,43068000.000,42570000.000,43545000.000,44523000.000,41656000.000,50975000.000,20584000.000,12343000.000,10335000.000,8430000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,72702000.000,,58627000.000,64957000.000,61604000.000,57328000.000,54799000.000,50615000.000,43068000.000,42570000.000,43545000.000,44523000.000,41656000.000,50975000.000,20584000.000,12343000.000,10335000.000,8430000.000
UnprovedOilAndGasPropertySuccessfulEffortMethod,4091000.000,,3482000.000,3821000.000,3306000.000,2822000.000,2337000.000,2237000.000,1716000.000,1930000.000,2404000.000,2527000.000,2517000.000,2327000.000,1991000.000,1887000.000,1912000.000,1906000.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,,,,,,,,,0.000,0.000,,,,
ValueAddedTaxReceivableCurrent,778000.000,,389000.000,0.000,0.000,0.000,1136000.000,1401000.000,1356000.000,1180000.000,1847000.000,826000.000,554000.000,0.000,895000.000,30000.000,0.000,0.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,,50262000.000,,,,,,,,,,,,,,,
