,2011-06-26,2011-09-25,2011-12-25,2012-03-25,2012-06-24,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-31,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26
AccountsPayableCurrent,16724000.000,18373000.000,16744000.000,19949000.000,16104000.000,13982000.000,17950000.000,17857000.000,16934000.000,23535000.000,16597000.000,,16200000.000,19055000.000,20503000.000,17245000.000,17214000.000,19877000.000,18593000.000,15209000.000,14818000.000
AccountsReceivableNetCurrent,47156000.000,44998000.000,35143000.000,40823000.000,23544000.000,21438000.000,23998000.000,23855000.000,27148000.000,21680000.000,23383000.000,,18218000.000,23971000.000,27021000.000,15781000.000,21287000.000,15860000.000,11611000.000,8046000.000,11664000.000
AccruedLiabilitiesCurrent,8486000.000,7759000.000,10185000.000,6777000.000,7806000.000,6350000.000,8950000.000,5757000.000,8653000.000,6066000.000,9773000.000,,9237000.000,6406000.000,9824000.000,12809000.000,7481000.000,4239000.000,5288000.000,7438000.000,7560000.000
AccruedSalariesCurrent,14272000.000,12431000.000,10976000.000,12812000.000,11449000.000,9656000.000,9066000.000,10687000.000,10158000.000,9251000.000,8448000.000,,9910000.000,9312000.000,8538000.000,9575000.000,9688000.000,9388000.000,9896000.000,9809000.000,8908000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,775190000.000,,,,705831000.000,,,,714258000.000,,,,707723000.000,,,,714371000.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,-282000.000,-129000.000,-69000.000,-416000.000,-230000.000,-148000.000,-566000.000,,-442000.000,-543000.000,-525000.000,-183000.000,,-4309000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,373000.000,190000.000,-244000.000,15000.000,-282000.000,-129000.000,-69000.000,416000.000,-230000.000,-148000.000,-714000.000,,-590000.000,-543000.000,-1068000.000,-726000.000,-2176000.000,-4309000.000,-4169000.000,-3482000.000,-3510000.000
AdditionalPaidInCapitalCommonStock,420664000.000,419984000.000,420392000.000,420959000.000,429959000.000,430448000.000,430536000.000,430828000.000,431433000.000,431909000.000,432260000.000,,432906000.000,433308000.000,450995000.000,451388000.000,451767000.000,452165000.000,452528000.000,452830000.000,453161000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,656000.000,,,,497000.000,,,,623000.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,390000.000,44000.000,89000.000,220000.000,467000.000,656000.000,290000.000,,671000.000,,552000.000,492000.000,514000.000,623000.000,563000.000,342000.000,455000.000
Assets,403724000.000,401005000.000,378948000.000,375463000.000,354520000.000,336288000.000,342719000.000,327155000.000,312268000.000,306675000.000,287532000.000,,274992000.000,275165000.000,316154000.000,270271000.000,256350000.000,241512000.000,236871000.000,225767000.000,217820000.000
AssetsCurrent,167321000.000,170558000.000,160262000.000,158330000.000,140763000.000,128806000.000,138510000.000,125528000.000,120069000.000,116165000.000,110699000.000,,115516000.000,119070000.000,160107000.000,113453000.000,106442000.000,102722000.000,103007000.000,98273000.000,97032000.000
AssetsFairValueDisclosure,,,,,,,,,,,40157000.000,,40190000.000,,,,,,,,
