,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AssetRetirementObligationAccretionExpense,4451.000,1676.000,11680.000,1926.000,1960.000,4279.000,353.000,180.000,184.000,188.000,
AssetRetirementObligationLiabilitiesSettled,,,,,,,84777.000,,,,9849.000
CostsAndExpenses,259964.000,-4044095.000,163140.000,294783.000,209297.000,28474.000,-10632.000,71206.000,39392.000,85134.000,27156.000
DepreciationDepletionAndAmortization,72371.000,90455.000,58169.000,56940.000,41055.000,15016.000,11565.000,8378.000,3142.000,7423.000,1398.000
GainLossOnSaleOfOilAndGasProperty,,4262418.000,,,,,90583.000,-216.000,-10.000,0.000,9849.000
GeneralAndAdministrativeExpense,74414.000,46372.000,50998.000,44138.000,57730.000,-12820.000,49405.000,43463.000,24286.000,42965.000,34332.000
ImpairmentOfOilAndGasProperties,,,,178344.000,79355.000,,0.000,0.000,0.000,10076.000,297.000
IncomeLossAttributableToParent,,,-33894.000,-233174.000,-153254.000,28612.000,58807.000,-33996.000,-37909.000,-74128.000,-18157.000
IncreaseDecreaseInAccountsPayable,,,333.000,,,,145.000,,,,-20891.000
IncreaseDecreaseInAccountsReceivable,,,-18.000,,,,-6.000,,,,
IncreaseDecreaseInDueFromAffiliatesCurrent,,,-33443.000,,,,-29054.000,,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,,,,,,,,,,18436.000
InterestIncomeDomesticDeposits,22.000,22.000,4.000,,,,,,,,
LeaseOperatingExpense,78720.000,60907.000,35763.000,7098.000,24180.000,17623.000,14609.000,15956.000,11908.000,23761.000,355.000
NetCashProvidedByUsedInContinuingOperations,,,40354.000,,,,5151.000,,,,-28761.000
NetCashProvidedByUsedInFinancingActivities,,,-29395.000,,,,-14460.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-29395.000,,,,-14460.000,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,10306.000,,,,5.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,10306.000,,,,5.000
NetCashProvidedByUsedInOperatingActivities,,,69749.000,,,,9305.000,,,,-28766.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,69749.000,,,,9305.000,,,,-28766.000
NetIncomeLoss,,4338164.000,,,,,,,,,
NetIncomeLossAllocatedToGeneralPartners,,,,-13823.000,-17773.000,,12870.000,-4520.000,-33674.000,,-18157.000
NetIncomeLossAllocatedToLimitedPartners,,,,-219351.000,-135481.000,,45937.000,-29476.000,-4235.000,,
NetIncomeLossPerOutstandingGeneralPartnershipUnit,530.450,14625.300,,-284.310,-365.550,,264.710,-92.970,,,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,,,,,,,-692.600,,-373.450
NetIncomeLossPerOutstandingLimitedPartnershipUnit,107.240,3926.330,-36.840,-237.450,-146.660,21.990,49.730,-31.910,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,-4.590,,
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,,,,,84777.000,,,,9849.000
NonoperatingIncomeExpense,22.000,22.000,4.000,320.000,,,,,,,
OilAndGasSalesRevenue,384798.000,294047.000,129242.000,61289.000,56043.000,,,,1483.000,,8999.000
OperatingIncomeLoss,124834.000,4338142.000,-33898.000,-233494.000,-153254.000,28612.000,58807.000,-33996.000,-37909.000,-74128.000,-18157.000
OtherNonoperatingIncome,,,,320.000,,,,,,,
PartnersCapitalAccountDistributions,,,-29395.000,,,,-14460.000,,,,
PartnersCapitalAccountUnitsAcquisitions,,,,,,,,,0.423,,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,,,,,,9712.000,,,,
ProductionBarrelsOfOilEquivalents,,,,,,,6.000,,,,
ProductionTaxExpense,30008.000,18913.000,6530.000,6337.000,5017.000,4376.000,4019.000,3013.000,-138.000,721.000,623.000
ProfitLoss,124856.000,,,,,,,,,,
Revenues,,,,,,,48175.000,37210.000,,,
SalesRevenueNet,,,,,,,48175.000,37210.000,,,
