,2011-06-25,2011-09-24,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,400000.000,,,,600000.000,,,,400000.000,
AllocatedShareBasedCompensationExpense,,,,700000.000,1200000.000,,,,,,,,,,600000.000,,,,,,,500000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,,214983000.000,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,3700000.000,3600000.000,,,,1688529.000,,,,2517636.000,3178424.000,,,4394607.000,4631556.000,4639959.000,-8914699.000,5806900.000,5645543.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,-0.030,-0.140,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,-0.030,-0.140,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,-1124000.000,-3986000.000,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,1018000.000,13128000.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,565000.000,,,,,,-6300000.000,,,,-21500000.000,,,,600000.000,,,,-3800000.000,
ComprehensiveIncomeNetOfTax,,,,,,4544000.000,751000.000,,-3600000.000,-1100000.000,4500000.000,-9300000.000,-9400000.000,3900000.000,-1500000.000,-20000000.000,-6600000.000,-6500000.000,-5200000.000,-7000000.000,,
ContractsRevenue,,,,,,,200000.000,,100000.000,,,,,,,,,,,,,
CostOfServices,549000.000,344000.000,,,,7088000.000,4094000.000,,10700000.000,11400000.000,19300000.000,9700000.000,1700000.000,1600000.000,300000.000,0.000,,,,,,
DeferredRevenueRevenueRecognized,,,,,,600000.000,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,17000.000,,,,,,500000.000,,,,400000.000,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,2000000.000,,,,,,,,,,,,,,,,,,,,
