,2011-06-30,2011-09-30,2012-03-31,2012-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-23000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,344000.000
AmortizationOfAcquiredIntangibleAssets,994000.000,956000.000,886000.000,753000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,6277000.000
BusinessCombinationIntegrationRelatedCosts,,,,740000.000
CapitalLeaseObligationsIncurred,,,7616000.000,
CashAcquiredFromAcquisition,,,460000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-8758000.000,
ComprehensiveIncomeNetOfTax,,,-798000.000,-2168000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,54000.000,-114000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-852000.000,-2282000.000
CurrentStateAndLocalTaxExpenseBenefit,,,,0.000
Depreciation,,,,8879000.000
DepreciationDepletionAndAmortization,,,8907000.000,9632000.000
EarningsPerShareBasic,,0.020,,
EarningsPerShareBasicAndDiluted,-0.170,,-0.080,-0.010
EarningsPerShareDiluted,,0.020,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,-8000.000,
GainLossOnDispositionOfAssets,,,-1160000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,10851000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5552000.000,358000.000,-3159000.000,-536000.000
IncomeLossFromEquityMethodInvestments,,,-69000.000,
IncomeTaxExpenseBenefit,23000.000,-304000.000,-57000.000,
IncreaseDecreaseInAccountsPayable,,,-509000.000,
IncreaseDecreaseInAccountsReceivable,,,-1352000.000,
IncreaseDecreaseInAccruedLiabilities,,,2092000.000,
IncreaseDecreaseInDeferredRevenue,,,762000.000,
IncreaseDecreaseInDeposits,,,345000.000,
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments1,,,,36000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-975000.000,
IncreaseDecreaseInRestrictedCash,,,1928000.000,
InterestExpense,4530000.000,810000.000,970000.000,1025000.000
InvestmentIncomeInterest,11000.000,45000.000,76000.000,77000.000
NetCashProvidedByUsedInFinancingActivities,,,590000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,590000.000,
NetCashProvidedByUsedInInvestingActivities,,,-22271000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-22271000.000,
NetCashProvidedByUsedInOperatingActivities,,,12931000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,12931000.000,
NetIncomeLoss,-5568000.000,651000.000,-3048000.000,-422000.000
NetIncomeLossAttributableToNoncontrollingInterest,-7000.000,11000.000,-54000.000,-114000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,114000.000
OperatingExpenses,62319000.000,66750000.000,61264000.000,70090000.000
OperatingIncomeLoss,-760000.000,1309000.000,-2131000.000,719000.000
OperatingLeasesRentExpenseNet,,,,4076000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,,,-7000.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,,2257000.000,
OtherComprehensiveIncomeLossNetOfTax,,,,-1746000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,2250000.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,-7000.000,2000.000
OtherIncome,-273000.000,-186000.000,-134000.000,
OtherNonoperatingIncomeExpense,,,,-307000.000
OtherOperatingIncomeExpenseNet,,,,-307000.000
PaymentsToAcquireAdditionalInterestInSubsidiaries,,,400000.000,
PaymentsToAcquireAvailableForSaleSecurities,,,7317000.000,
PaymentsToAcquireEquityMethodInvestments,,,8700000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,15509000.000,
ProceedsFromIssuanceOfDebt,,,6271000.000,
ProceedsFromSaleOfAvailableForSaleSecurities,,,6712000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,4066000.000,
ProceedsFromStockOptionsExercised,,,449000.000,
ProfitLoss,-5575000.000,662000.000,-3102000.000,-536000.000
RepaymentsOfDebtAndCapitalLeaseObligations,,,6130000.000,
ResearchAndDevelopmentExpense,1010000.000,1083000.000,934000.000,1058000.000
Revenues,61559000.000,68059000.000,59133000.000,70809000.000
SalesRevenueNet,61832000.000,68245000.000,59267000.000,70809000.000
SellingGeneralAndAdministrativeExpense,14723000.000,15803000.000,15536000.000,19274000.000
ShareBasedCompensation,,,1202000.000,1460000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,42479718.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,39806999.000
WeightedAverageNumberOfSharesOutstandingBasic,,38904375.000,,
