,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsAndNotesReceivableNet,855037.000,4502.000,4502.000,4502.000,4502.000,4502.000,4502.000,4502.000,0.000,0.000,0.000,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,58675.000,109157.000,47097.000,32612.000,15434.000,12883.000,19789.000,20728.000,3055.000,2191.000,10458.000,13859.000,5247.000,576.000,1451.000
AllowanceForDoubtfulAccountsReceivable,259120.000,379563.000,531498.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
Assets,15824980.000,16714742.000,16662483.000,17576508.000,10589342.000,10639434.000,6207069.000,6257102.000,6279874.000,6370587.000,6442462.000,6501948.000,6509029.000,6581379.000,9044379.000
CashAndCashEquivalentsAtCarryingValue,683491.000,10253408.000,10305477.000,13158848.000,6263300.000,6343130.000,1844841.000,1894920.000,2006480.000,2010053.000,2131037.000,2209276.000,2142813.000,2091295.000,2122440.000
DeferredCostsLeasingAccumulatedAmortization,207260.000,1672.000,2057.000,0.000,0.000,0.000,0.000,,,,,,,,
DeferredCostsLeasingNet,1208477.000,1671.000,1286.000,0.000,0.000,0.000,0.000,,,,,,,,
DeferredRevenue,84783.000,1934.000,11481.000,0.000,0.000,0.000,0.000,,,,,,,,
DueFromJointVentures,109091.000,171537.000,133068.000,115221.000,110046.000,34379.000,101229.000,143652.000,32953.000,145101.000,130053.000,81904.000,804.000,70913.000,37870.000
DueToRelatedPartiesCurrentAndNoncurrent,7974.000,8372.000,6890.000,30405.000,5576.000,7037.000,5839.000,1894.000,4749.000,4728.000,4981.000,7889.000,6746.000,5980.000,5655.000
EquityMethodInvestments,,4259782.000,4225161.000,4218391.000,4202900.000,4253331.000,4249404.000,4208108.000,4238070.000,4213062.000,4181372.000,4210768.000,4365412.000,4414813.000,6879711.000
FiniteLivedIntangibleAssetAcquiredInPlaceLeases,41906.000,34049.000,26191.000,0.000,0.000,0.000,0.000,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,222687.000,232965.000,243244.000,0.000,0.000,0.000,0.000,,,,,,,,
FiniteLivedIntangibleAssetsNet,54816.000,44538.000,34259.000,0.000,0.000,0.000,0.000,,,,,,,,
InvestmentBuildingAndBuildingImprovements,5978401.000,,,,,,,,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,4336376.000,,,,,,,,,,,,,,
Land,2470930.000,557401.000,557401.000,0.000,0.000,0.000,0.000,,,,,,,,
Liabilities,151432.000,119463.000,65468.000,63017.000,21010.000,19920.000,25628.000,22622.000,7804.000,6919.000,15439.000,21748.000,11993.000,6556.000,7106.000
LiabilitiesAndStockholdersEquity,15824980.000,16714742.000,16662483.000,17576508.000,10589342.000,10639434.000,6207069.000,6257102.000,6279874.000,6370587.000,6442462.000,6501948.000,6509029.000,6581379.000,9044379.000
OtherAssets,86455.000,83934.000,80736.000,79546.000,8594.000,4092.000,7093.000,5920.000,2371.000,2371.000,0.000,,,4358.000,4358.000
PartnersCapital,15673548.000,16595279.000,16597015.000,17513491.000,10568332.000,10619514.000,6181441.000,6234480.000,6272070.000,6363668.000,6427023.000,6480200.000,6497036.000,6574823.000,9037273.000
RealEstateAccumulatedDepreciation,,,,,,,2402983.000,,,,2270909.000,,,,0.000
RealEstateGrossAtCarryingValue,,,,,,,10343659.000,,,,9966011.000,,,,0.000
RealEstateInvestmentPropertyAccumulatedDepreciation,1532706.000,340827.000,350345.000,0.000,0.000,0.000,0.000,,,,,,,,
RealEstateInvestmentPropertyNet,8504147.000,1905859.000,1886062.000,0.000,0.000,0.000,0.000,,,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,15673548.000,16595279.000,16597015.000,17513491.000,10568332.000,10619514.000,6181441.000,6234480.000,6272070.000,6363668.000,6427023.000,6480200.000,6497036.000,6574823.000,9037273.000
