,2011-10-02,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28
AccountsPayableCurrent,11637000.000,12233000.000,11123000.000,11022000.000,11954000.000,11382000.000,11026000.000,10318000.000,10403000.000,9191000.000,10758000.000,10432000.000,10375000.000,9192000.000,9989000.000
AccountsReceivableNetCurrent,16291000.000,17064000.000,18512000.000,17231000.000,15833000.000,14754000.000,16018000.000,15225000.000,15100000.000,14982000.000,16945000.000,17375000.000,16975000.000,17476000.000,17515000.000
AccruedEnvironmentalLossContingenciesCurrent,,,,,,,,,,,,,706000.000,,
AccruedLiabilitiesCurrent,6571000.000,5701000.000,7327000.000,7048000.000,6097000.000,5061000.000,4664000.000,4372000.000,4833000.000,4192000.000,5451000.000,5389000.000,6703000.000,4374000.000,5524000.000
AccruedSalesCommissionCurrentAndNoncurrent,,,,,,,,,,,,,771000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,17663000.000,18117000.000,18322000.000,18557000.000,19905000.000,20066000.000,20223000.000,20416000.000,20529000.000,20701000.000,20911000.000,19969000.000,20140000.000,20288000.000,20488000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,187459000.000,,,,152070000.000,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,871000.000,,,,587000.000,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-140386000.000,-175738000.000,-173834000.000,-171669000.000,-186588000.000,-184614000.000,-182582000.000,-180167000.000,-151483000.000,-149798000.000,-147804000.000,-146270000.000,-116882000.000,-115547000.000,-113697000.000
AdditionalPaidInCapitalCommonStock,140161000.000,141018000.000,141284000.000,141587000.000,141725000.000,141924000.000,142169000.000,142259000.000,142598000.000,142838000.000,142956000.000,150390000.000,150641000.000,150254000.000,150576000.000
Assets,84608000.000,98220000.000,100147000.000,99762000.000,98815000.000,95607000.000,93442000.000,87976000.000,81969000.000,82398000.000,84917000.000,81516000.000,78700000.000,77265000.000,83215000.000
