,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,,207000.000,46000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,767000.000,1112000.000,,718000.000,-438000.000,254000.000,202000.000,72000.000,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,173000.000,209000.000,,317000.000,136000.000,121000.000,69000.000,72000.000,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,560000.000,1491000.000,,1035000.000,288000.000,135000.000,231000.000,404000.000,649000.000,19000.000
AmortizationOfFinancingCosts,,,206000.000,,,,207000.000,,,,8000.000,,
AssetManagementCosts,0.000,0.000,,,,,,,,,,,
CashFlowHedgeGainLossReclassifiedToInterestExpenseNet,,,,,,,78000.000,,,,,,
CashPeriodIncreaseDecrease,,,199000.000,,,,-155000.000,,,,450000.000,,
ComprehensiveIncomeNetOfTax,,,-410000.000,-861000.000,-1233000.000,-1024000.000,-875000.000,447000.000,-67000.000,-442000.000,-89000.000,-562000.000,-245000.000
DerivativeGainLossOnDerivativeNet,,,,,,,76000.000,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,85000.000,85000.000,178000.000,366000.000,240000.000,100000.000,74000.000,128000.000,0.000,0.000,0.000
DerivativeLossOnDerivative,,,,,,,,,,,,0.000,0.000
GainLossOnDerivativeInstrumentsNetPretax,,,,-96000.000,-15000.000,,,,,,,,
GainLossOnInvestments,,,-87000.000,,,,-165000.000,,,,0.000,,
GainLossOnSaleOfPropertyPlantEquipment,41000.000,-18000.000,47000.000,22000.000,53000.000,18000.000,-17000.000,120000.000,329000.000,-5000.000,70000.000,11000.000,35000.000
GeneralAndAdministrativeExpense,411000.000,229000.000,196000.000,336000.000,104000.000,179000.000,117000.000,121000.000,65000.000,194000.000,96000.000,113000.000,71000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,33000.000,,,,40000.000,,,,-30000.000,,
