,2011-09-30,2012-03-31
AmortizationOfDeferredLoanOriginationFeesNet,,-52000.000
AmortizationOfIntangibleAssets,137000.000,122000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,110000.000,664000.000
BankOwnedLifeInsuranceIncome,189000.000,184000.000
BusinessCombinationAcquisitionRelatedCosts,143000.000,
BusinessCombinationBargainPurchaseGainRecognizedAmount,-48000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,27078000.000
Communication,,106000.000
ComprehensiveIncomeNetOfTax,,-2465000.000
Depreciation,,327000.000
DividendsCommonStockCash,,115000.000
DividendsPreferredStockCash,,122000.000
EarningsPerShareBasic,0.010,-0.200
EarningsPerShareDiluted,0.010,-0.200
FederalDepositInsuranceCorporationPremiumExpense,421000.000,418000.000
FeesAndCommissionsDepositorAccounts,1084000.000,1055000.000
FeesAndCommissionsMortgageBanking,350000.000,317000.000
FeesAndCommissionsOther,70000.000,86000.000
ForeclosedRealEstateExpense,309000.000,469000.000
GainLossOnSaleOfOtherAssets,41000.000,-138000.000
GainsLossesOnSalesOfOtherRealEstate,,-138000.000
ImpairmentOfRealEstate,1308000.000,1000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,401000.000,-3812000.000
IncomeTaxExpenseBenefit,28000.000,-1672000.000
IncreaseDecreaseInAccruedInterestReceivableNet,,-195000.000
IncreaseDecreaseInDeposits,,-3514000.000
IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,,141000.000
IncreaseDecreaseInLoansHeldForSale,,2520000.000
IncreaseDecreaseInOtherOperatingAssets,,-8059000.000
IncreaseDecreaseInOtherOperatingLiabilities,,-725000.000
InformationTechnologyAndDataProcessing,293000.000,255000.000
InterestAndDividendIncomeOperating,11246000.000,10469000.000
InterestAndFeeIncomeLoansAndLeases,10233000.000,9646000.000
InterestExpense,2554000.000,2016000.000
InterestExpenseBorrowings,757000.000,669000.000
InterestExpenseDeposits,1701000.000,1236000.000
InterestExpenseSubordinatedNotesAndDebentures,83000.000,103000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,7342000.000,2153000.000
InterestIncomeExpenseNet,8692000.000,8453000.000
InterestIncomeSecuritiesTaxExempt,72000.000,38000.000
InterestIncomeSecuritiesTaxable,893000.000,736000.000
LaborAndRelatedExpense,3736000.000,3846000.000
MarketingAndAdvertisingExpense,114000.000,68000.000
NetCashProvidedByUsedInFinancingActivities,,-3506000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-3506000.000
NetCashProvidedByUsedInInvestingActivities,,29199000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,29199000.000
NetCashProvidedByUsedInOperatingActivities,,1385000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,1385000.000
NetIncomeLoss,373000.000,-2140000.000
NetIncomeLossAvailableToCommonStockholdersBasic,126000.000,-2262000.000
NoninterestExpense,8931000.000,8684000.000
NoninterestIncome,1990000.000,2719000.000
NoninterestIncomeOtherOperatingIncome,194000.000,551000.000
OccupancyNet,866000.000,908000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsAndTax,,135000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesBeforeReclassificationAdjustmentsTax,,52000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,-325000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,-664000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeTax,,-256000.000
OtherInterestAndDividendIncome,48000.000,49000.000
OtherNoninterestExpense,1034000.000,906000.000
PaymentsForProceedsFromLoansAndLeases,,378000.000
PaymentsOfDividendsCommonStock,,115000.000
PaymentsOfDividendsPreferredStockAndPreferenceStock,,122000.000
PaymentsToAcquireAvailableForSaleSecurities,,8311000.000
PaymentsToAcquireHeldToMaturitySecurities,,13038000.000
PaymentsToAcquirePropertyPlantAndEquipment,,110000.000
PreferredStockDividendsAndOtherAdjustments,247000.000,122000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,4115000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,,8337000.000
ProceedsFromSaleOfAvailableForSaleSecurities,,35520000.000
ProceedsFromSaleOfForeclosedAssets,,3064000.000
ProfessionalFees,237000.000,275000.000
ProvisionForLoanLossesExpensed,1350000.000,6300000.000
RepurchaseAgreementsInterestExpenseAmount,13000.000,8000.000
SuppliesExpense,,60000.000
TransferOfOtherRealEstate,,7971000.000
