,2012-09-30,2013-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,-131.000,1244.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000
ExplorationExpenseMining,7688.000,
GeneralAndAdministrativeExpense,10193.000,21588.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-36089.000,-41996.000
IncreaseDecreaseInAccountsPayable,3872.000,-5736.000
IncreaseDecreaseInPrepaidExpense,350.000,-291.000
NetCashProvidedByUsedInFinancingActivities,39480.000,37795.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,39480.000,37795.000
NetCashProvidedByUsedInOperatingActivities,-39611.000,-36551.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-39611.000,-36551.000
NetIncomeLoss,-36089.000,-41996.000
OperatingExpenses,36089.000,41996.000
ProceedsFromIssuanceOfCommonStock,37500.000,34500.000
ProceedsFromLoans,1980.000,3295.000
ProfessionalFees,18208.000,20408.000
WeightedAverageNumberOfSharesOutstandingBasic,50918033.000,53363699.000
