,2013-01-31,2014-01-31,2015-01-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-40527.000,1071.000,18508.000
CostsAndExpenses,49465.000,42780.000,195353.000
DeferredIncomeTaxExpenseBenefit,,15243.000,
DepreciationDepletionAndAmortization,,,6.000
DepreciationNonproduction,,,6.000
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350
FairValueAssumptionsExpectedDividendRate,,,0.000
FairValueAssumptionsExpectedVolatilityRate,,,4.550
FairValueAssumptionsRiskFreeInterestRate,,,0.002
ForeignCurrencyTransactionGainLossBeforeTax,12.000,203.000,293.000
GeneralAndAdministrativeExpense,,,64060.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,-15243.000,-62023.000
IncomeTaxReconciliationDeductions,,,62023.000
IncomeTaxesPaid,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,7058.000,6532.000,15851.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-650.000,650.000,-600.000
InterestExpense,,771.000,-4316.000
InterestPaid,0.000,0.000,0.000
MarketingAndAdvertisingExpense,,10000.000,
NetCashProvidedByUsedInFinancingActivities,2530.000,37440.000,182594.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2530.000,37440.000,182594.000
NetCashProvidedByUsedInInvestingActivities,,,-2134.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-2134.000
NetCashProvidedByUsedInOperatingActivities,-43057.000,-36369.000,-161952.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-43057.000,-36369.000,-161952.000
NetIncomeLoss,-49465.000,-43551.000,-199376.000
OperatingExpenses,,,4023.000
OtherCostAndExpenseOperating,,,10500.000
PaymentsToAcquirePropertyPlantAndEquipment,,,2134.000
ProceedsFromIssuanceOfCommonStock,2530.000,,150000.000
ProceedsFromRepaymentsOfRelatedPartyDebt,,,6929.000
ProceedsFromShortTermDebt,,37440.000,25665.000
ProfessionalFees,36658.000,23943.000,
ShareBasedCompensation,,,22167.000
StockIssuedDuringPeriodValueNewIssues,,,150000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,47044030.000,47097800.000,62892166.000
