,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,13806.000,12043.000,16865.000,10320.000,11374.000,9890.000,18580.000,12719.000,10435.000,2794.000,2629.000,8897.000,8611.000,2225.000
AccountsReceivableGrossCurrent,,53295.000,,125.000,,375.000,,,,,,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent,14598.000,11767.000,15966.000,13834.000,12526.000,5326.000,7283.000,9258.000,8577.000,6750.000,9280.000,11797.000,10492.000,135.000
AdvanceRent,1116.000,116.000,,149491.000,100218.000,29650.000,,109570.000,73312.000,36656.000,,107660.000,72034.000,777.000
Assets,15169289.000,15196006.000,15221889.000,15423776.000,14239927.000,13700097.000,10476732.000,10545981.000,10507733.000,10447766.000,10412164.000,7469201.000,7431732.000,7209051.000
AssetsCurrent,1936069.000,1957612.000,1983495.000,3309219.000,2122970.000,5301946.000,2073252.000,2136266.000,2097646.000,2037679.000,2002077.000,2094662.000,2057193.000,6800811.000
AssetsHeldForSaleAtCarryingValue,,,,,,,,,,0.000,0.000,,,
AssetsHeldForSaleCurrent,,,,1124048.000,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,1936069.000,1904317.000,1983495.000,2185046.000,2122970.000,5301571.000,2070810.000,2134482.000,2096528.000,2037233.000,1999497.000,2092777.000,2056011.000,6800672.000
DueToRelatedPartiesCurrent,10942.000,4980.000,5566.000,11888.000,11497.000,20779.000,17079.000,19090.000,16924.000,6499.000,9621.000,10010.000,9654.000,6665.000
GeneralPartnersCapitalAccount,15904.000,16287.000,16451.000,16475.000,16720.000,16716.000,16710.000,16337.000,16368.000,16334.000,16290.000,16052.000,16053.000,15739.000
GeneralPartnersContributedCapital,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
GeneralPartnersCumulativeCashDistributions,4745451.000,4745451.000,4745451.000,4745451.000,5135451.000,5135451.000,5335451.000,5335451.000,5335451.000,5335451.000,5335451.000,5335451.000,5335451.000,5335451.000
GeneralPartnersCumulativeNetIncome,4760855.000,4761238.000,4761402.000,4761426.000,5151671.000,5151667.000,5351661.000,5351288.000,5351319.000,5351285.000,5351241.000,5351003.000,5351004.000,5350690.000
InventoryRealEstateLandAndLandDevelopmentCosts,13233220.000,13238394.000,13238394.000,12114557.000,12116957.000,8398151.000,8403480.000,8409715.000,8410087.000,8410087.000,8410087.000,5374539.000,5374539.000,408240.000
LiabilitiesAndStockholdersEquity,15169289.000,15196006.000,15221889.000,15423776.000,14239927.000,13700097.000,10476732.000,10545981.000,10507733.000,10447766.000,10412164.000,7469201.000,7431732.000,7209051.000
LiabilitiesCurrent,40462.000,28906.000,38397.000,239417.000,135615.000,65645.000,42942.000,150637.000,109248.000,52699.000,21530.000,138364.000,100791.000,9802.000
LiabilitiesOfAssetsHeldForSale,,,,53884.000,,,,,,,,,,
LimitedPartnersCapitalAccount,15112923.000,15150813.000,15167041.000,15167884.000,14087592.000,13617736.000,10417080.000,10379007.000,10382117.000,10378733.000,10374344.000,7314785.000,7314888.000,7183510.000
LimitedPartnersCapitalAccountUnitsAuthorized,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000,30001.000
LimitedPartnersCapitalAccountUnitsIssued,,,,,,,,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000,30000.000
LimitedPartnersCapitalAccountUnitsOutstanding,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000,29593.000
LimitedPartnersContributedCapital,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000,25873403.000
LimitedPartnersCumulativeCashDistributions,38674493.000,38674493.000,38674493.000,38676031.000,40479111.000,40479111.000,43479111.000,43480217.000,43480223.000,43480223.000,43480223.000,43480223.000,43480223.000,43480223.000
LimitedPartnersCumulativeNetIncome,27914013.000,27951903.000,27968131.000,27970512.000,28693300.000,28223444.000,28022788.000,27985821.000,27988937.000,27985553.000,27981164.000,24921605.000,24921708.000,24790330.000
LimitedPartnersOfferingCosts,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000,3768113.000
OtherAssetsCurrent,,,,,,,2442.000,1784.000,1118.000,446.000,2580.000,1885.000,1182.000,139.000
PartnersCapital,15128827.000,15167100.000,15183492.000,15184359.000,14104312.000,13634452.000,10433790.000,10395344.000,10398485.000,10395067.000,10390634.000,7330837.000,7330941.000,7199249.000
RealEstateFederalIncomeTaxBasis,,,,,,,8400000.000,,,,8400000.000,,,
