,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,14000000.000,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,20000000.000,,,,27000000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,,22000000.000,,,,31000000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,1700000.000,,,,200000.000,200000.000,200000.000,,200000.000,200000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,2793000000.000,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,727000000.000,397000000.000,,748000000.000,674000000.000,538000000.000,918000000.000,671000000.000,667000000.000,725000000.000,722000000.000,582000000.000,812000000.000,575000000.000,700000000.000,589000000.000,767000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,10000000.000,12000000.000,-10000000.000,5000000.000,12000000.000,-11000000.000,6000000.000,6000000.000,16000000.000,-21000000.000,11000000.000,14000000.000,11000000.000,8000000.000,-6000000.000,-3000000.000,-18000000.000,8000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,696000000.000,739000000.000,387000000.000,685000000.000,760000000.000,663000000.000,544000000.000,924000000.000,687000000.000,646000000.000,736000000.000,736000000.000,593000000.000,820000000.000,569000000.000,697000000.000,571000000.000,775000000.000
CostsAndExpenses,5164000000.000,5370000000.000,5814000000.000,6249000000.000,5738000000.000,5813000000.000,6348000000.000,6756000000.000,6338000000.000,6350000000.000,6655000000.000,7261000000.000,6628000000.000,6685000000.000,7152000000.000,7667000000.000,6756000000.000,7052000000.000
DeferredIncomeTaxesAndTaxCredits,91000000.000,,,,58000000.000,,,,95000000.000,,,,84000000.000,,,,44000000.000,
DepreciationAndAmortization,611000000.000,616000000.000,554000000.000,568000000.000,595000000.000,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,598000000.000,618000000.000,,678000000.000,731000000.000,708000000.000,711000000.000,714000000.000,729000000.000,755000000.000,745000000.000,730000000.000,721000000.000
EarningsPerShareBasic,,,,,1.080,1.090,0.910,1.540,1.210,1.190,1.290,1.530,1.100,1.600,1.220,1.540,1.450,1.480
EarningsPerShareDiluted,,,,,1.070,1.090,0.900,1.520,1.200,1.180,1.280,1.510,1.090,1.590,1.210,1.510,1.440,1.470
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,-187000000.000,,,,-316000000.000,,,,,
EquityMethodInvestmentDividendsOrDistributions,45000000.000,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,24000000.000,,,,28000000.000,,,,24000000.000,,,,22000000.000,,,,31000000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,28000000.000,,,,24000000.000,,,,22000000.000,,,,31000000.000,
FiniteLivedIntangibleAssetsUsefulLife,15.000,,,,,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,8000000.000,,,,13000000.000,,,,6000000.000,,,,6000000.000,,,,-31000000.000,
GainLossOnSaleOfInvestments,26000000.000,,,,,,,,7000000.000,,,,2000000.000,,,,,
GeneralAndAdministrativeExpense,340000000.000,406000000.000,408000000.000,422000000.000,417000000.000,468000000.000,447000000.000,483000000.000,469000000.000,510000000.000,473000000.000,550000000.000,454000000.000,517000000.000,571000000.000,571000000.000,514000000.000,600000000.000
GoodwillTranslationAdjustments,,,,,12000000.000,,,,6000000.000,,,,12000000.000,,,,-52000000.000,
GoodwillTranslationAndPurchaseAccountingAdjustments,11000000.000,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,1106000000.000,807000000.000,,1157000000.000,1141000000.000,920000000.000,1224000000.000,1085000000.000,1075000000.000,1101000000.000,1227000000.000,1065000000.000,1241000000.000,1026000000.000,1116000000.000,1171000000.000,1204000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1032000000.000,,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,25000000.000,,,,33000000.000,,,,32000000.000,,,,44000000.000,,,,33000000.000,
IncomeTaxExpenseBenefit,349000000.000,397000000.000,286000000.000,316000000.000,416000000.000,425000000.000,348000000.000,276000000.000,387000000.000,414000000.000,391000000.000,411000000.000,496000000.000,431000000.000,411000000.000,335000000.000,441000000.000,454000000.000
IncomeTaxesPaid,77000000.000,,,,113000000.000,,,,94000000.000,,,,84000000.000,,,,49000000.000,
IncreaseDecreaseInAccountsAndNotesReceivable,-87000000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-142000000.000,,,,-77000000.000,,,,-167000000.000,,,,-397000000.000,,,,-358000000.000,
IncreaseDecreaseInAccountsReceivable,,,,,-312000000.000,,,,-51000000.000,,,,-98000000.000,,,,-151000000.000,
IncreaseDecreaseInDeferredLiabilities,-5000000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,,,16000000.000,,,,41000000.000,,,,43000000.000,,,,3000000.000,
IncreaseDecreaseInInventories,65000000.000,,,,5000000.000,,,,10000000.000,,,,36000000.000,,,,37000000.000,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,1000000.000,,,,16000000.000,,,,18000000.000,,,,-84000000.000,
IncreaseDecreaseInOtherOperatingLiabilities,-18000000.000,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-53000000.000,,,,-161000000.000,,,,-43000000.000,,,,-303000000.000,,,,-293000000.000,
InterestAndDebtExpense,172000000.000,203000000.000,194000000.000,194000000.000,204000000.000,214000000.000,204000000.000,220000000.000,217000000.000,219000000.000,182000000.000,222000000.000,232000000.000,230000000.000,215000000.000,221000000.000,245000000.000,234000000.000
InterestPaid,,,,,255000000.000,,,,325000000.000,,,,328000000.000,,,,318000000.000,
InterestPaidNet,164000000.000,,,,,,,,,,,,,,,,,
InvestmentIncomeInterest,7000000.000,9000000.000,9000000.000,9000000.000,12000000.000,11000000.000,17000000.000,19000000.000,22000000.000,19000000.000,15000000.000,16000000.000,13000000.000,12000000.000,18000000.000,25000000.000,22000000.000,24000000.000
NetCashProvidedByUsedInContinuingOperations,,,,,3653000000.000,,,,-223000000.000,,,,834000000.000,,,,-351000000.000,
NetCashProvidedByUsedInFinancingActivities,2028000000.000,,,,2676000000.000,,,,-754000000.000,,,,267000000.000,,,,-1271000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2028000000.000,,,,2676000000.000,,,,-754000000.000,,,,267000000.000,,,,-1271000000.000,
NetCashProvidedByUsedInInvestingActivities,-544000000.000,,,,-786000000.000,,,,-818000000.000,,,,-707000000.000,,,,-716000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-544000000.000,,,,-786000000.000,,,,-818000000.000,,,,-707000000.000,,,,-716000000.000,
NetCashProvidedByUsedInOperatingActivities,1309000000.000,,,,1763000000.000,,,,1536000000.000,,,,1590000000.000,,,,1636000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1309000000.000,,,,1763000000.000,,,,1536000000.000,,,,1590000000.000,,,,1636000000.000,
NetIncomeLoss,674000000.000,701000000.000,,,,,,,,,,,,,,,,
NetIncomeLossAttributableToNoncontrollingInterest,9000000.000,,,,,,,,,,,,8000000.000,4000000.000,4000000.000,,,3000000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,8000000.000,5000000.000,,10000000.000,5000000.000,7000000.000,6000000.000,8000000.000,1000000.000,11000000.000,6000000.000,,,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,516000000.000,,731000000.000,711000000.000,565000000.000,942000000.000,690000000.000,660000000.000,699000000.000,810000000.000,561000000.000,806000000.000,611000000.000,778000000.000,730000000.000,747000000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,,731000000.000,711000000.000,565000000.000,942000000.000,690000000.000,660000000.000,699000000.000,810000000.000,561000000.000,806000000.000,611000000.000,778000000.000,730000000.000,747000000.000
