,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30
CapitalExpendituresIncurredButNotYetPaid,,,458000.000,,
CostOfRealEstateRevenue,1373000.000,1532000.000,1382000.000,1716000.000,1361000.000
CostsAndExpenses,2810000.000,3026000.000,2926000.000,3380000.000,3227000.000
DepreciationAndAmortization,975000.000,962000.000,983000.000,1034000.000,1085000.000
DepreciationDepletionAndAmortization,,,983000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-719000.000,,
IncreaseDecreaseInAccountsReceivable,,,5000.000,,
IncreaseDecreaseInDeferredLeasingFees,,,298000.000,,
IncreaseDecreaseInDeferredRentReceivables,,,-4000.000,,
IncreaseDecreaseInDueToRelatedParties,,,1000000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-50000.000,,
IncreaseDecreaseInSecurityDeposits,,,-37000.000,,
InterestExpense,104000.000,110000.000,137000.000,157000.000,178000.000
InterestPaid,,,137000.000,,
NetCashProvidedByUsedInContinuingOperations,,,-154000.000,,
NetCashProvidedByUsedInFinancingActivities,,,301000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,301000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-488000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-488000.000,,
NetCashProvidedByUsedInOperatingActivities,,,33000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,33000.000,,
NetIncomeLoss,,-125000.000,57000.000,432000.000,571000.000
OperatingIncomeLoss,-120000.000,-125000.000,57000.000,432000.000,571000.000
PaymentsOfDividendsPreferredStockAndPreferenceStock,,,699000.000,899850.000,1099350.000
PaymentsToAcquireRealEstate,,,488000.000,,
PreferredStockDividendsPerShareCashPaid,,,,857.000,1047.000
ProfitLoss,-120000.000,,,,
RealEstateRevenueNet,2690000.000,2901000.000,2983000.000,3812000.000,3798000.000
RealEstateTaxesAndInsurance,358000.000,422000.000,424000.000,473000.000,603000.000
Revenues,2690000.000,2901000.000,2983000.000,3812000.000,3798000.000
SalesRevenueNet,2690000.000,2901000.000,2983000.000,3812000.000,3798000.000
