,2011-03-31,2011-06-30,2011-09-30
AmortizationOfDebtDiscountPremium,504316.000,535966.000,23921.000
AmortizationOfIntangibleAssets,5499.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-8056.000,,
DerivativeGainLossOnDerivativeNet,639937.000,1704285.000,-47793.000
EarningsPerShareBasic,0.000,0.000,0.000
EarningsPerShareDiluted,0.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,,156022.000,
GeneralAndAdministrativeExpense,201704.000,330332.000,191200.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-122833.000,867637.000,-416032.000
IncomeTaxExpenseBenefit,,5721.000,
IncreaseDecreaseInAccountsPayable,-1895.000,,
IncreaseDecreaseInAccruedLiabilities,9944.000,,
IncreaseDecreaseInDeposits,-27480.000,,
IncreaseDecreaseInDueToAffiliates,8589.000,,
IncreaseDecreaseInDueToRelatedParties,120000.000,,
IncreaseDecreaseInPrepaidExpense,-4387.000,,
InterestExpense,39379.000,36486.000,33568.000
InterestExpenseDebt,6000.000,,
InterestPaid,33181.000,,
InvestmentIncomeInterest,5915.000,2562.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,9500.000,,
ManagementFeesRevenue,,,100.000
NetCashProvidedByUsedInFinancingActivities,62540.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,62540.000,,
NetCashProvidedByUsedInOperatingActivities,-70596.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-70596.000,,
NetIncomeLoss,-122833.000,861916.000,-416032.000
NoninterestExpenseDirectorsFees,48000.000,48000.000,48000.000
OperatingCostsAndExpenses,,1625.000,30468.000
OperatingExpenses,648630.000,763906.000,716785.000
OperatingIncomeLoss,-252470.000,-457840.000,-337711.000
OtherCostAndExpenseOperating,175069.000,154058.000,164149.000
OtherGeneralAndAdministrativeExpense,81702.000,79982.000,124850.000
OtherNonoperatingIncome,-5912.000,,
OtherNonoperatingIncomeExpense,,7837.000,
OtherSalesRevenueNet,,2100.000,22122.000
ProceedsFromOtherDebt,75000.000,,
ProceedsFromRepaymentsOfBankOverdrafts,30245.000,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,140000.000,150000.000,150000.000
RepaymentsOfOtherDebt,42705.000,,
RevenueFromRelatedParties,396160.000,303966.000,356852.000
Revenues,396160.000,306066.000,379074.000
SalesRevenueNet,396160.000,306066.000,379074.000
SellingExpense,2104.000,-91.000,8118.000
ShareBasedCompensation,20000.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,351718.000,,
UnrealizedGainLossOnDerivatives,-639937.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,628236689.000,3890455249.000,1228105606.000
WeightedAverageNumberOfSharesOutstandingBasic,628236689.000,952265706.000,1228105606.000
