,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdministrativeFeesExpense,,,1342201.000,1420466.000,,
FloorBrokerageExchangeAndClearanceFees,11750193.000,11349994.000,10101692.000,6292054.000,,
GainLossOnSaleOfCommodityContracts,7298225.000,35243202.000,7387671.000,6751678.000,,
IncomeLossAttributableToParent,27627357.000,20879870.000,-7956027.000,-8685444.000,,
IncomeTaxExpenseBenefit,,,,,0.000,0.000
InterestIncomeOperating,,,,,3602.000,233243.000
InvestmentIncomeInterest,88938.000,146336.000,78603.000,34622.000,,
InvestmentIncomeNet,,,,,-11484171.000,-7624743.000
ManagementFeeExpense,,,3902950.000,2985158.000,2294402.000,1488211.000
NetIncomeLoss,,,,,-15583533.000,6374655.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,123.850,100.250,-43.180,-49.750,-129.880,
OperatingExpenses,20577259.000,20181645.000,19989866.000,15284432.000,11487773.000,7857986.000
OtherExpenses,178277.000,65653.000,83452.000,97486.000,,
PartnersCapitalAccountContributions,13654820.000,21273577.000,59560140.000,14734486.000,11519286.000,2599667.000
PartnersCapitalAccountRedemptions,133663121.000,49658008.000,70102559.000,62896985.000,66518580.000,37833810.000
PartnersCapitalAccountUnitsContributed,10354.952,14147.153,40735.206,10331.264,8138.788,
PartnersCapitalAccountUnitsRedeemed,102641.998,32440.672,47145.874,44156.101,48591.468,
PrincipalTransactionsRevenue,,,,,-4099362.000,13999398.000
ProfessionalFees,199123.000,108892.000,196709.000,349287.000,421428.000,422490.000
RealizedInvestmentGainsLosses,,,,,-2595140.000,14272175.000
SellingExpense,,,,,3682073.000,2389918.000
SubsidiaryOfLimitedLiabilityCompanyOrLimitedPartnershipOwnershipInterest,,0.984,0.854,0.917,,
TradingActivityGainsAndLossesNet,48115678.000,40915179.000,11955236.000,,,
TradingGainsLosses,,,,6564366.000,,
UnrealizedGainLossOnCommodityContracts,40817453.000,5671977.000,4567565.000,-187312.000,,
UnrealizedGainLossOnInvestments,,,,,-1504222.000,-272777.000
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,233716.187,200183.181,184840.310,162465.694,133134.773,
