,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
Depreciation,1112.000,785.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.820,-0.880,-0.790,-0.810,-0.820,-0.640,-0.880,-0.890,-0.830,-0.910,-0.910,-0.930,-0.930,-0.950,-0.900,-1.010,-1.090,-0.990
GeneralAndAdministrativeExpense,209501.000,226501.000,193460.000,182363.000,195055.000,200385.000,208096.000,210010.000,188095.000,209629.000,205765.000,208395.000,205547.000,208734.000,188501.000,218396.000,240001.000,207891.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-250625.000,-270038.000,-241352.000,-248980.000,-249707.000,-257767.000,-268368.000,-273002.000,-254307.000,-278810.000,-278117.000,-283767.000,-284439.000,-290895.000,-273953.000,-307449.000,-332835.000,-304843.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.820,-0.880,-0.790,-0.810,-0.820,-0.640,-0.880,-0.890,-0.830,-0.910,-0.910,-0.930,-0.930,-0.950,-0.900,-1.010,-1.090,-0.990
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,241352.000,,,,-268368.000,,,,-278117.000,,,,273953.000,,,
InterestExpense,40012.000,42752.000,47892.000,66617.000,54652.000,57382.000,60272.000,62992.000,66212.000,69181.000,72352.000,75372.000,78892.000,82161.000,85452.000,89053.000,92834.000,96952.000
InterestPaid,,,,,,,2000.000,,,,,,,,,,,
NetIncomeLoss,-250625.000,-270038.000,-241352.000,-248980.000,-249707.000,-257767.000,-268368.000,-273002.000,-254307.000,-278810.000,-278117.000,-283767.000,-284439.000,-290895.000,-273953.000,-307449.000,-332835.000,-304843.000
OperatingExpenses,210613.000,227286.000,193460.000,182363.000,195055.000,200385.000,208096.000,210010.000,188095.000,209629.000,205765.000,208395.000,205547.000,208734.000,188501.000,218396.000,240001.000,207891.000
OperatingIncomeLoss,-210613.000,-227286.000,-193460.000,-182363.000,-195055.000,-200385.000,-208096.000,-210010.000,-188095.000,-209629.000,-205765.000,-208395.000,-205547.000,-208734.000,-188501.000,-218396.000,-240001.000,-207891.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,305778.000,305778.000,305778.000,305778.000,305778.000,-611556.000,305778.000,305778.000,305778.000,-611556.000,305778.000,305778.000,305778.000,-611556.000,305778.000,305778.000,305778.000,-611556.000
