,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AssetManagementCosts,181534.000,164049.000,135619.000,128690.000,103854.000,95243.000,87658.000,69697.000,78984.000,72577.000,68912.000,62447.000,64347.000,58754.000,49447.000,46278.000,47174.000,43937.000,37524.000,18900.000,18861.000
CostsAndExpenses,1046523.000,925805.000,696264.000,641292.000,479850.000,447445.000,409435.000,441110.000,346207.000,361004.000,468475.000,350831.000,328213.000,255923.000,227960.000,216415.000,250817.000,236296.000,202512.000,123581.000,136692.000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,343664.000,1328832.000,,,,,,,,,,,,,,,,,,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,-21405.000,-28589.000,-11477.000,-9944.000,-6152.000,2384.000,2405.000,-21784.000,-3967.000,4349.000,-48649.000,-34523.000,-22686.000,19072.000,-10292.000,-8529.000,32636.000,-4359.000,3280.000,-54759.000,-538.000
GainLossOnSaleOfCommodityContracts,501004.000,1080701.000,-805366.000,-779555.000,-42784.000,-311621.000,127000.000,27314.000,-614617.000,128689.000,508439.000,859447.000,770040.000,-754013.000,-77130.000,397912.000,603742.000,-304076.000,55134.000,-366802.000,100702.000
IncentiveFeeExpense,,,,,,,,,,,85126.000,,74811.000,11931.000,0.000,12324.000,38235.000,26279.000,8994.000,0.000,804.000
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,-1145880.000,-265897.000,,385234.000,-176706.000,-324632.000,-714248.000,
InterestIncomeOperating,23290.000,89762.000,98940.000,29255.000,81215.000,53525.000,55729.000,9416.000,14609.000,6063.000,749.000,601.000,490.000,367.000,715.000,960.000,3914.000,4005.000,3388.000,3454.000,3551.000
InvestmentIncomeInterest,542.000,228.000,59.000,76.000,144.000,122.000,65.000,39.000,50.000,35.000,107.000,72.000,13.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,
InvestmentIncomeNet,,,,,,346.000,23401.000,,2734.000,2743.000,749.000,602.000,490.000,367.000,715.000,960.000,3914.000,4005.000,3388.000,3454.000,3551.000
NetIncomeLoss,-1850179.000,2959450.000,-1904495.000,-1186208.000,-412464.000,-907796.000,-626130.000,178887.000,-1679697.000,-223934.000,142544.000,786136.000,11806.000,-1772803.000,-265897.000,93597.000,385234.000,-176706.000,-324632.000,-714248.000,-64271.000
