,2011-06-30,2011-09-30,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,2800000.000,,1200000.000
DepreciationDepletionAndAmortization,20962000.000,20799000.000,,,,,
EarningsPerShareBasic,0.070,0.330,,,,,
EarningsPerShareDiluted,0.070,0.330,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,0.240,0.240,0.003,0.000,0.000
ForeignCurrencyTransactionGainLossBeforeTax,-2468000.000,28000.000,,,,,
GainLossOnDerivativeInstrumentsNetPretax,5130000.000,28498000.000,,,,,
GasGatheringTransportationMarketingAndProcessingCosts,4390000.000,4157000.000,,,,,
GeneralAndAdministrativeExpense,2584000.000,3508000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,13311000.000,37261000.000,,,,,
IncomeTaxExpenseBenefit,7722000.000,9372000.000,,,,,
InterestAndOtherIncome,8000.000,6000.000,,,,,
InterestExpense,1155000.000,3000000.000,,,,,
InterestExpenseRelatedParty,1171000.000,93000.000,,,,,
LeaseOperatingExpense,8980000.000,9066000.000,,,,,
NetIncomeLoss,,27889000.000,,,,,
OilAndGasRevenue,51255000.000,50292000.000,,,,,
ProfitLoss,5589000.000,,,,,,
Revenues,51263000.000,50298000.000,,,,,
SalesRevenueNet,51263000.000,50298000.000,,,,,
TaxesExcludingIncomeAndExciseTaxes,623000.000,679000.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,85008000.000,85016000.000,85375000.000,86296000.000,86584000.000
WeightedAverageNumberOfSharesOutstandingBasic,,,85008000.000,85016000.000,85375000.000,86296000.000,86584000.000
