,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,,,,,,,,,,23000000.000,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,8000000.000,,,,8000000.000,,,,-13000000.000,,,,-5000000.000,,,,-4000000.000,,,,1000000.000,,,,1000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,23000000.000,23000000.000,23000000.000,-46000000.000,25000000.000,25000000.000,27000000.000,-53000000.000,29000000.000,18000000.000,18000000.000,-40000000.000,24000000.000,24000000.000,17000000.000,-48000000.000,23000000.000,23000000.000,19000000.000,-43000000.000,20000000.000,3000000.000,2000000.000,-20000000.000,6000000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,263000000.000,,,115000000.000,8000000.000,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,3000000.000,,,,1000000.000,,,,3000000.000,,,,6000000.000,,,,4000000.000,,,,2000000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,2000000.000,,,,1000000.000,,,,1000000.000,,,,2000000.000,,,,3000000.000,,,,2000000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,,,,,209000000.000,,,,218000000.000,,,,206000000.000,,,,237000000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,,,,,2000000.000,,,,1000000.000,,,,2000000.000,,,,3000000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,37000000.000,26000000.000,,12000000.000,40000000.000,17000000.000,15000000.000,10000000.000,3000000.000,3000000.000,-6000000.000,2000000.000,,,,
BusinessCombinationIntegrationRelatedCosts,,,,,,,18000000.000,,32000000.000,37000000.000,26000000.000,33000000.000,12000000.000,40000000.000,17000000.000,15000000.000,10000000.000,3000000.000,3000000.000,-6000000.000,2000000.000,5000000.000,0.000,,
CapitalExpendituresIncurredButNotYetPaid,62000000.000,,,,327000000.000,,,,51000000.000,174000000.000,127000000.000,53000000.000,63000000.000,,,,40000000.000,,,,98000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-240000000.000,,,,-91000000.000,,,,-380000000.000,,,,933000000.000,,,,48000000.000,,,,141000000.000,,,,-460000000.000
CashFlowHedgeGainLossReclassifiedToEarningsNet,-87000000.000,-92000000.000,-91000000.000,-92000000.000,-28000000.000,-40000000.000,-27000000.000,-26000000.000,-5000000.000,-14000000.000,,,,,,,,,,,,,,,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,263000000.000,228000000.000,184000000.000,-553000000.000,114000000.000,78000000.000,66000000.000,-227000000.000,32000000.000,17000000.000,2000000.000,-66000000.000,-14000000.000,-13000000.000,-11000000.000,23000000.000,-14000000.000,-14000000.000,-13000000.000,23000000.000,-20000000.000,22000000.000,17000000.000,-35000000.000,-15000000.000
CommonStockDividendsPerShareCashPaid,,,,,,,0.090,,0.090,0.120,0.120,,0.120,0.140,0.140,,0.150,0.140,0.150,,0.150,0.030,0.030,,0.030
ComprehensiveIncomeNetOfTax,,,-159000000.000,,-210000000.000,163000000.000,-52000000.000,434000000.000,-314000000.000,148000000.000,114000000.000,-179000000.000,-47000000.000,-97000000.000,158000000.000,-79000000.000,-124000000.000,0.000,66000000.000,-6304000000.000,77000000.000,-268000000.000,456000000.000,-1001000000.000,-153000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,0.000,,1000000.000,8000000.000,9000000.000,2000000.000,1000000.000,7000000.000,18000000.000,8000000.000,-15000000.000,12000000.000,17000000.000,-6000000.000,-29000000.000,12000000.000,-17000000.000,-39000000.000,-52000000.000,-16000000.000,-2000000.000,-47000000.000,-39000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-329000000.000,563000000.000,,,-209000000.000,171000000.000,-43000000.000,436000000.000,-313000000.000,155000000.000,132000000.000,-171000000.000,-62000000.000,-85000000.000,175000000.000,-85000000.000,-153000000.000,12000000.000,49000000.000,-6343000000.000,25000000.000,-284000000.000,454000000.000,-1048000000.000,-192000000.000
CostOfRevenue,1324000000.000,1608000000.000,2053000000.000,1690000000.000,1573000000.000,1319000000.000,1726000000.000,1469000000.000,1765000000.000,2059000000.000,2355000000.000,1942000000.000,2733000000.000,2817000000.000,3278000000.000,2951000000.000,3062000000.000,2434000000.000,3034000000.000,2225000000.000,2189000000.000,1756000000.000,2793000000.000,1817000000.000,2125000000.000
