,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,3500000.000,4200000.000,,3200000.000,4100000.000,4600000.000,4300000.000,4000000.000,5200000.000,6100000.000,6718000.000,6900000.000,6500000.000,6300000.000,7324000.000,
AmortizationOfIntangibleAssets,3300000.000,5379000.000,5275000.000,5199000.000,5898000.000,6172000.000,6156000.000,6018000.000,6055000.000,4869000.000,6957000.000,11325000.000,11316000.000,10144000.000,10032000.000,9742000.000,9710000.000,8464000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,170000.000,77000.000,182000.000,97000.000,-349000.000,10000.000,,,,,,,,473000.000,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialAssets,,,2200000.000,,,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,819000.000,,,,870000.000,,,,1011000.000,,,,287000.000,,,,2332000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-15705000.000,,,,-13956000.000,,,,44649000.000,,,,4500000.000,,,,-3039000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,114870000.000,,,,6000000.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,-1778000.000,,,,53000.000,,,,
ComprehensiveIncomeNetOfTax,18116000.000,23421000.000,7818000.000,21683000.000,32911000.000,13917000.000,20636000.000,19140000.000,18805000.000,35458000.000,15155000.000,25215000.000,18230000.000,18744000.000,24921000.000,30188000.000,21487000.000,23093000.000
CostOfServices,269244000.000,275919000.000,293356000.000,301555000.000,272761000.000,301686000.000,315891000.000,322218000.000,322215000.000,294170000.000,326789000.000,380719000.000,384585000.000,394258000.000,406002000.000,422281000.000,422689000.000,428384000.000
CostsAndExpensesRelatedParty,,,,,,,,,,,,,,300000.000,300000.000,300000.000,400000.000,300000.000
DepreciationDepletionAndAmortization,,7244000.000,,,,8959000.000,,,,8665000.000,,,,15427000.000,,,,14475000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,14412000.000,0.000,0.000,16428000.000,0.000,0.000,0.000,0.000,25703000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,619000.000,-152000.000,,,85000.000,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-104000.000,-283000.000,-60000.000,163000.000,-78000.000,36000.000,11000.000,-109000.000,210000.000,-69000.000,,,32000.000,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,14400000.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,2641000.000,152000.000,,,85000.000,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,,,,,,,3415000.000,0.000,,,0.000,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,-513000.000,-766000.000,-119000.000,431000.000,-209000.000,126000.000,3000.000,-1889000.000,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,6432000.000,-24000.000,0.000,38161000.000,0.000,0.000,0.000,1985000.000,12068000.000,0.000,,,0.000,,,,
EarningsPerShareBasic,0.330,0.460,0.140,0.380,0.600,0.260,0.380,0.410,0.390,0.760,0.270,0.470,0.370,0.330,0.490,0.560,0.450,0.430
EarningsPerShareDiluted,0.330,0.460,0.140,0.370,0.580,0.250,0.380,0.410,0.380,0.750,0.270,0.470,0.350,0.320,0.480,0.550,0.460,0.420
EffectOfExchangeRateOnCashAndCashEquivalents,,-279000.000,,,,-386000.000,,,,-703000.000,,,,-55000.000,,,,151000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,,1100000.000
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,368603000.000,368797000.000,398803000.000,411817000.000,372905000.000,,,,,,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,19680000.000,20396000.000,19120000.000,20354000.000,19805000.000,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,768000.000,,,,2088000.000,,,,1643000.000,,,,914000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,768000.000,,,,2088000.000,,,,1643000.000,,,,914000.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,,,512000.000,896000.000,,613000.000,0.000,0.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInOtherComprehensiveIncome,,,,,,,,,,,0.000,0.000,,0.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases,,,,,,,,,,,-17100000.000,0.000,,0.000,0.000,0.000,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,359000.000
GoodwillTranslationAdjustments,,-776000.000,,,,20000.000,,,,-1896000.000,,,,751000.000,,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,121717000.000,,,,,,,,,,,,,,,,
GrossProfit,119039000.000,113274000.000,124567000.000,130616000.000,119949000.000,137588000.000,152727000.000,155606000.000,151991000.000,135875000.000,158534000.000,191404000.000,192932000.000,187782000.000,202086000.000,207120000.000,198195000.000,198144000.000
IncomeLossFromContinuingOperations,,10610000.000,7822000.000,20209000.000,15714000.000,14048000.000,20699000.000,22013000.000,22253000.000,13023000.000,14335000.000,24891000.000,19173000.000,17348000.000,26013000.000,29775000.000,24060000.000,22382000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,30212000.000,18403000.000,13682000.000,33631000.000,27431000.000,23954000.000,35545000.000,37782000.000,36259000.000,22004000.000,24223000.000,41922000.000,33764000.000,28732000.000,42745000.000,47116000.000,38806000.000,35107000.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.200,0.150,0.380,0.290,0.260,0.380,0.410,0.430,0.250,0.280,0.470,0.370,0.330,0.490,0.560,0.450,0.430
IncomeLossFromContinuingOperationsPerDilutedShare,,0.200,0.140,0.370,0.290,0.260,0.380,0.410,0.410,0.250,0.270,0.470,0.360,0.320,0.480,0.550,0.460,0.420
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,-409000.000,-483000.000,-59000.000,268000.000,-131000.000,90000.000,-8000.000,-1780000.000,409000.000,-83000.000,34000.000,165000.000,53000.000,-9000.000,-7000.000,-32000.000,9000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.260,-0.010,0.000,0.310,0.000,0.000,0.000,-0.040,0.510,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.260,0.000,0.000,0.290,-0.010,0.000,0.000,-0.030,0.500,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,0.000
IncomeTaxCreditsAndAdjustments,,,,,,,,,,,,,,,,700000.000,,
IncomeTaxExpenseBenefit,12779000.000,7793000.000,5860000.000,13422000.000,11717000.000,9906000.000,14846000.000,15769000.000,14006000.000,8981000.000,9888000.000,17031000.000,14591000.000,11384000.000,16732000.000,17341000.000,14746000.000,12725000.000
IncomeTaxesPaidNet,,3861000.000,,,,21034000.000,,,,1142000.000,,,,3926000.000,,,,936000.000
IncreaseDecreaseInAccountsPayable,,-1089000.000,,,,-3006000.000,,,,205000.000,,,,-2290000.000,,,,712000.000
IncreaseDecreaseInAccountsReceivable,,26113000.000,,,,16476000.000,,,,14584000.000,,,,25362000.000,,,,10154000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,-12445000.000,,,,-539000.000,,,,3067000.000,,,,11226000.000
IncreaseDecreaseInAccruedSalaries,,7203000.000,,,,599000.000,,,,3160000.000,,,,22640000.000,,,,144000.000
IncreaseDecreaseInDeferredCompensation,,-4850000.000,,,,-20000.000,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,,,,,,,,,6056000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,-5082000.000,,,,4522000.000,,,,2868000.000,,,,7584000.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,,,,,,,,457000.000
IncreaseDecreaseInWorkersCompensationLiabilities,,,,,,,,,,-309000.000,,,,-699000.000,,,,-493000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,1031000.000,990000.000,949000.000,1004000.000,-1869000.000,871000.000,801000.000,755000.000,-1570000.000,690000.000,655000.000,650000.000,-1249000.000,497000.000,489000.000,493000.000,-924000.000,591000.000
InterestExpense,6317000.000,5331000.000,4198000.000,3257000.000,3077000.000,3328000.000,3103000.000,3101000.000,3198000.000,3067000.000,4736000.000,9543000.000,9098000.000,9025000.000,7959000.000,8294000.000,7049000.000,8501000.000
InterestPaidNet,,4673000.000,,,,3087000.000,,,,2695000.000,,,,7261000.000,,,,7492000.000
InvestmentIncomeInterest,33000.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,-43420000.000,,,,-5359000.000,,,,-81487000.000,,,,-31653000.000,,,,-40215000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-43420000.000,,,,-5359000.000,,,,-81487000.000,,,,-31653000.000,,,,-40215000.000
NetCashProvidedByUsedInInvestingActivities,,24419000.000,,,,-3890000.000,,,,106896000.000,,,,-1106000.000,,,,-6775000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,24419000.000,,,,-3890000.000,,,,106896000.000,,,,-1106000.000,,,,-6775000.000
NetCashProvidedByUsedInOperatingActivities,,3575000.000,,,,-4321000.000,,,,19943000.000,,,,37314000.000,,,,43800000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,3575000.000,,,,-4321000.000,,,,19943000.000,,,,37314000.000,,,,43800000.000
NetIncomeLoss,17433000.000,24613000.000,7339000.000,20150000.000,32410000.000,13917000.000,20789000.000,22005000.000,20473000.000,39135000.000,14252000.000,24925000.000,19338000.000,17401000.000,26004000.000,29768000.000,24028000.000,22391000.000
NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnDilutedEarningsPerShare,,,,,,,,,,,,,,,,,,0.020
OperatingIncomeLoss,36496000.000,23734000.000,32838000.000,36888000.000,30508000.000,27282000.000,38648000.000,40883000.000,39457000.000,25071000.000,32710000.000,51465000.000,42862000.000,37757000.000,50704000.000,55410000.000,45855000.000,43608000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,776000.000,-1259000.000,403000.000,1504000.000,480000.000,-44000.000,-160000.000,-2884000.000,,-3724000.000,828000.000,290000.000,,1343000.000,-1083000.000,420000.000,,702000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,-3677000.000,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-93000.000,67000.000,76000.000,29000.000,21000.000,44000.000,7000.000,19000.000,16000.000,47000.000,75000.000,0.000,0.000,0.000,0.000,0.000,0.000,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,56000.000,28000.000,75000.000,19000.000,-235000.000,9000.000,,,,,,,,,,,,
OtherNoncashIncome,,-502000.000,,,,-2029000.000,,,,-1930000.000,,,,-4308000.000,,,,
OtherNoncashIncomeExpense,,,,,,,,,,,,,,,,,,-2990000.000
OtherPaymentsToAcquireBusinesses,,,,,,,,,,0.000,,,,,,,,
PaymentsForOtherTaxes,,3611000.000,,,,3277000.000,,,,3991000.000,,,,3590000.000,,,,5782000.000
PaymentsForProceedsFromOtherInvestingActivities,,1689000.000,,,,-352000.000,,,,-12000.000,,,,-176000.000,,,,-17000.000
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,1645000.000,,,,0.000,,,,12136000.000
PaymentsOfDebtIssuanceCosts,,,,,,,,,,486000.000,,,,0.000,,,,2403000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,222000.000,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,2785000.000,,,,4020000.000,,,,8000000.000,,,,7282000.000,,,,6792000.000
ProceedsFromDivestitureOfBusinesses,,31000000.000,,,,,,,,,,,,,,,,
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,,28893000.000,,,,0.000,,,,114884000.000,,,,6000000.000,,,,0.000
ProceedsFromIssuanceOfLongTermDebt,,,,,,99500000.000,,,,0.000,,,,,,,,2000000.000
ProceedsFromIssuanceOrSaleOfEquity,,2443000.000,,,,2967000.000,,,,3555000.000,,,,4023000.000,,,,4106000.000
ProceedsFromPaymentsForOtherFinancingActivities,,-20000.000,,,,-1137000.000,,,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,2807000.000
RepaymentsOfLongTermDebt,,43000000.000,,,,105500000.000,,,,80563000.000,,,,33000000.000,,,,26000000.000
SalesRevenueServicesNet,388283000.000,389193000.000,417923000.000,432171000.000,392710000.000,439274000.000,468618000.000,477824000.000,474206000.000,430045000.000,485323000.000,572123000.000,577517000.000,582040000.000,608088000.000,629401000.000,620884000.000,626528000.000
SellingGeneralAndAdministrativeExpense,82543000.000,84161000.000,86454000.000,88529000.000,83543000.000,104134000.000,107923000.000,108705000.000,106479000.000,105935000.000,118867000.000,128614000.000,138754000.000,139881000.000,141350000.000,141968000.000,142630000.000,146072000.000
ShareBasedCompensation,,2724000.000,,,,3190000.000,,,,3954000.000,,,,6924000.000,,,,5570000.000
StockIssuedDuringPeriodSharesNewIssues,,,,,,,,,,,,,,,243644.000,175440.000,,307314.000
StockRepurchasedAndRetiredDuringPeriodShares,,,,,,,,2300000.000,,43000.000,,,,,97500.000,510411.000,,228831.000
StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,,68200000.000,,1600000.000,,,,,3600000.000,19000000.000,,10100000.000
