,2011-06-30,2011-09-30,2012-03-31
AmortizationOfDebtDiscountPremium,,,500000.000
AmortizationOfFinancingCosts,,,188000.000
AmortizationOfIntangibleAssets,,,58000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-17901000.000
ComprehensiveIncomeNetOfTax,,,-17805000.000
CostOfGoodsSold,9083000.000,10140000.000,-2264000.000
DepreciationDepletionAndAmortization,,,604000.000
DirectOperatingCostRoyaltyExpense,,,9312000.000
EarningsPerShareBasic,0.330,0.740,
EarningsPerShareBasicAndDiluted,,,-0.430
EarningsPerShareDiluted,0.250,0.640,
GainLossOnDerivativeInstrumentsNetPretax,-7000.000,75000.000,-1745000.000
GrossProfit,28055000.000,31246000.000,36276000.000
IncreaseDecreaseInAccountsPayable,,,2827000.000
IncreaseDecreaseInAccountsReceivable,,,-11035000.000
IncreaseDecreaseInInventories,,,550000.000
IncreaseDecreaseInOtherOperatingAssets,,,385000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,4118000.000
IncreaseDecreaseInRoyaltiesPayable,,,-19615000.000
InterestExpense,2068000.000,1671000.000,1440000.000
InterestPaidNet,,,724000.000
NetCashProvidedByUsedInFinancingActivities,,,-8393000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-8393000.000
NetCashProvidedByUsedInInvestingActivities,,,-496000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-496000.000
NetCashProvidedByUsedInOperatingActivities,,,-9012000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-9012000.000
NetIncomeLoss,12775000.000,30614000.000,-17805000.000
NonoperatingIncomeExpense,16923000.000,26732000.000,-16194000.000
OperatingCostsAndExpenses,32203000.000,27364000.000,37887000.000
OperatingIncomeLoss,-4148000.000,3882000.000,-1611000.000
OtherNoncashIncome,,,9312000.000
OtherNonoperatingIncomeExpense,2000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,496000.000
ProceedsFromLinesOfCredit,,,38000000.000
ProceedsFromStockOptionsExercised,,,643000.000
RepaymentsOfLinesOfCredit,,,47000000.000
RepaymentsOfLongTermCapitalLeaseObligations,,,36000.000
ResearchAndDevelopmentExpense,8850000.000,7720000.000,9491000.000
Revenues,37138000.000,41386000.000,34012000.000
SalesRevenueGoodsNet,37138000.000,41386000.000,34012000.000
SalesRevenueNet,37138000.000,41386000.000,34012000.000
SellingGeneralAndAdministrativeExpense,23353000.000,19644000.000,28396000.000
ShareBasedCompensation,,,1534000.000
WeightedAverageNumberOfDilutedSharesOutstanding,50172000.000,47898000.000,
WeightedAverageNumberOfSharesOutstandingBasic,38378000.000,41492000.000,
