,2011-09-30,2012-03-31,2012-09-30
AdjustmentForAmortization,,26779.000,
AmortizationOfDebtDiscountPremium,,37682.000,
AmortizationOfFinancingCosts,,16975.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-3937703.000,
ComprehensiveIncomeNetOfTax,-3720879.000,-3541083.000,-3771668.000
CostOfGoodsSold,,,165852.000
Depreciation,,18215.000,
EarningsPerShareBasicAndDiluted,-0.120,,-0.150
EffectOfExchangeRateOnCashAndCashEquivalents,,52713.000,
ForeignCurrencyTransactionGainLossRealized,,,118485.000
GainLossOnDerivativeInstrumentsNetPretax,-21920.000,-4000.000,0.000
GeneralAndAdministrativeExpense,2973191.000,3291274.000,3732689.000
GrossProfit,,,53195.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-3068231.000,-3146377.000,-3556137.000
IncomeTaxExpenseBenefit,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,895304.000,
IncreaseDecreaseInInventories,,177731.000,
IncreaseDecreaseInOtherAccruedLiabilities,,-217538.000,
InducedConversionOfConvertibleDebtExpense,4203.000,,0.000
InterestIncomeExpenseNonoperatingNet,-68917.000,148897.000,4872.000
InterestPaid,,393408.000,
NetCashProvidedByUsedInInvestingActivities,,-1594620.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-1594620.000,
NetCashProvidedByUsedInOperatingActivities,,-2343084.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-2343084.000,
NetIncomeLoss,-3068231.000,-3040259.000,-3369701.000
NetIncomeLossAttributableToNoncontrollingInterest,,-106118.000,-186436.000
NetIncomeLossAvailableToCommonStockholdersBasic,-3518000.000,-3692880.000,-3891793.000
NonoperatingIncomeExpense,-95040.000,144897.000,123357.000
OperatingIncomeLoss,-2973191.000,-3291274.000,-3679494.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,-202879.000,151797.000,120125.000
OtherPreferredStockDividendsAndAdjustments,,,0.000
PaymentsToAcquirePropertyPlantAndEquipment,,1594620.000,
PreferredStockDividendsIncomeStatementImpact,449769.000,652621.000,522092.000
ProfitLoss,,-3146377.000,-3556137.000
Revenues,,,219047.000
SalesRevenueNet,,,219047.000
ShareBasedCompensation,,364099.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,25712887.000
