,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
SegmentReportingInformationRevenue,3563000000.000,3871000000.000,4053000000.000,3922000000.000,3813000000.000,4052000000.000,4083000000.000,4060000000.000,3924000000.000,4172000000.000,,,,,,,,,,,,,,,,
SegmentReportingInformationRevenueFromExternalCustomers,3103000000.000,3347000000.000,3522000000.000,3406000000.000,3295000000.000,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,382000000.000,382000000.000,380000000.000,407000000.000,407000000.000,374000000.000,335000000.000,356000000.000,390000000.000,353000000.000,349000000.000,376000000.000,375000000.000,353000000.000,377000000.000,376000000.000,348000000.000,322000000.000,330000000.000,343000000.000,362000000.000,340000000.000,330000000.000,378000000.000,390000000.000,353000000.000
SeveranceCosts,,,14000000.000,,,,,,4000000.000,,,,,,,,,,,,,,,,,
ShareBasedCompensation,17000000.000,,,,15000000.000,,,,21000000.000,,,,15000000.000,,,,20000000.000,,,,30000000.000,,,,36000000.000,
StockholdersEquityOther,,,,,,,,,,,,,,,,,0.000,,,,,,,,2000000.000,
TreasuryStockValueAcquiredCostMethod,-68000000.000,,,,,,,,,,,,,,,,,,,,250000000.000,,,,,
VariableInterestEntityCarryingAmountOfCollateralizedAssets,316000000.000,,,,,,,,,,,,,,,,,,,,,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,1900000.000,1800000.000,1400000.000,-3400000.000,1300000.000,600000.000,800000.000,-1900000.000,800000.000,1500000.000,1900000.000,-2100000.000,1700000.000,2100000.000,2800000.000,-3600000.000,,2500000.000,3100000.000,,2500000.000,2700000.000,2800000.000,-5000000.000,2800000.000,2500000.000
WeightedAverageNumberOfDilutedSharesOutstanding,477600000.000,476000000.000,469700000.000,-951900000.000,463400000.000,464000000.000,464900000.000,-927900000.000,466500000.000,469400000.000,471200000.000,-937300000.000,466900000.000,468000000.000,463600000.000,-932900000.000,458500000.000,458000000.000,452700000.000,-913300000.000,448600000.000,446700000.000,445700000.000,-894500000.000,444100000.000,444400000.000
WeightedAverageNumberOfSharesIssuedBasic,,,,,-600000.000,400000.000,200000.000,-600000.000,800000.000,-200000.000,100000.000,2700000.000,100000.000,,2900000.000,,700000.000,3700000.000,3100000.000,-2000000.000,1400000.000,2300000.000,900000.000,-400000.000,,
WeightedAverageNumberOfSharesOutstandingBasic,475700000.000,474200000.000,468300000.000,-948500000.000,462100000.000,463400000.000,464100000.000,-926000000.000,465700000.000,467900000.000,469300000.000,-935200000.000,465200000.000,465900000.000,460800000.000,-929300000.000,458500000.000,455500000.000,449600000.000,-910900000.000,446100000.000,444000000.000,442900000.000,-889500000.000,441300000.000,441900000.000
