,2011-03-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,18000000.000,19800000.000,21700000.000,21600000.000,21900000.000,24000000.000,22000000.000,22000000.000,25000000.000,24000000.000,24000000.000,24000000.000,24000000.000,25000000.000,28000000.000,27000000.000,30000000.000,30000000.000,26000000.000,26000000.000,29000000.000,23000000.000,24000000.000,25000000.000
AmortizationOfAcquiredIntangibleAssets,,18900000.000,18700000.000,20400000.000,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,18700000.000,20500000.000,,21000000.000,23000000.000,28000000.000,49000000.000,46000000.000,46000000.000,46000000.000,50000000.000,45000000.000,47000000.000,48000000.000,51000000.000,67000000.000,101000000.000,88000000.000,99000000.000,101000000.000,95000000.000,96000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,10600000.000,9700000.000,10100000.000,9300000.000,-19100000.000,13000000.000,12000000.000,7000000.000,-23000000.000,1000000.000,0.000,0.000,-1000000.000,1000000.000,1000000.000,1000000.000,-2000000.000,2000000.000,2000000.000,2000000.000,-4000000.000,3000000.000,4000000.000,3000000.000
BusinessCombinationAcquisitionRelatedCosts,2500000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,-54700000.000,,,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,-1000000.000,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,81300000.000,,,,166000000.000,,,,852000000.000,,,,-396000000.000,,,,-1642000000.000,,,,-355000000.000,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,0.000,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,,0.215,0.215,0.215,,0.237,0.275,0.275,,0.302,0.302,0.302,,0.343,0.343,0.343,,0.387,0.387,0.387,,0.449,0.449,0.449
ComprehensiveIncomeNetOfTax,273700000.000,220100000.000,257100000.000,350000000.000,201800000.000,295000000.000,316000000.000,327000000.000,-573000000.000,363000000.000,285000000.000,286000000.000,234000000.000,242000000.000,240000000.000,314000000.000,326000000.000,338000000.000,297000000.000,399000000.000,300000000.000,309000000.000,270000000.000,416000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,1000000.000,0.000,0.000,3000000.000,1000000.000,0.000,1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,339000000.000,297000000.000,399000000.000,303000000.000,310000000.000,270000000.000,417000000.000
