,2011-09-30
ComprehensiveIncomeNetOfTax,2068589.000
EarningsPerShareBasicAndDiluted,0.100
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2492576.000
IncomeTaxExpenseBenefit,623143.000
NetIncomeLoss,1869433.000
NonoperatingIncomeExpense,-270760.000
OperatingExpenses,1250198.000
OperatingIncomeLoss,2763336.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,199156.000
OtherNonoperatingIncomeExpense,-270760.000
RevenueFromRelatedParties,276607.000
Revenues,4013534.000
SalesRevenueNet,4013534.000
