,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,,,,,,,,,,,,,,,,,160000000.000,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,,44000000.000,87000000.000,,,50000000.000,58000000.000,,
AmortizationOfIntangibleAssets,,,,,,,,,,,124000000.000,,,,126000000.000,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,25700000.000,34600000.000,34100000.000,-63900000.000,100000.000,7200000.000,7900000.000,-9300000.000,8100000.000,8400000.000,8200000.000,-18500000.000,100000.000,4100000.000,4100000.000,-6200000.000,1000000.000,3600000.000,3500000.000,-5400000.000,3600000.000,7800000.000,7700000.000,-12400000.000,7800000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,735000000.000,,,,798000000.000,,,,176000000.000,,,,-1323000000.000,,,,-963000000.000,,,,-680000000.000,,,,-1154000000.000
CommonStockDividendsPerShareDeclared,0.125,0.125,0.125,0.125,0.163,0.163,0.163,0.161,0.225,0.225,0.225,0.225,0.275,0.275,0.275,0.275,0.350,0.350,0.350,0.350,0.425,0.425,0.425,0.425,0.500
ComprehensiveIncomeNetOfTax,713000000.000,806000000.000,869000000.000,,776000000.000,965000000.000,1007000000.000,1118000000.000,955000000.000,1105000000.000,1258000000.000,1306000000.000,,,,,,,1185000000.000,,1165000000.000,946000000.000,1538000000.000,1721000000.000,961000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-1000000.000,-1000000.000,-1000000.000,,-1000000.000,-1000000.000,,,0.000,0.000,0.000,0.000,,,,,,,1000000.000,,1000000.000,0.000,1000000.000,0.000,1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,712000000.000,805000000.000,868000000.000,,777000000.000,966000000.000,1007000000.000,1118000000.000,955000000.000,1105000000.000,1258000000.000,1306000000.000,1139000000.000,1253000000.000,920000000.000,1264000000.000,1174000000.000,1281000000.000,1186000000.000,1457000000.000,1166000000.000,946000000.000,1539000000.000,1721000000.000,962000000.000
CostOfRevenue,21129000000.000,21534000000.000,21496000000.000,22380000000.000,25685000000.000,25265000000.000,24580000000.000,25097000000.000,25181000000.000,25412000000.000,25933000000.000,26452000000.000,26747000000.000,28278000000.000,28553000000.000,30422000000.000,30168000000.000,30767000000.000,31983000000.000,33844000000.000,36471000000.000,36710000000.000,37123000000.000,38365000000.000,37934000000.000
DeferredIncomeTaxExpenseBenefit,70000000.000,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationAndAmortization,374000000.000,,,,423000000.000,,,,502000000.000,,,,477000000.000,,,,490000000.000,,,,617000000.000,,,,619000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,-4000000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-2000000.000,-2000000.000,4000000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,-1000000.000,-1000000.000,,,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,181000000.000,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.520,0.600,0.650,0.820,0.600,0.760,0.800,0.890,0.780,0.910,1.030,1.050,0.960,1.070,0.820,1.130,1.080,1.130,1.110,1.340,1.040,0.860,1.440,1.590,0.920
EarningsPerShareDiluted,0.520,0.600,0.650,0.800,0.590,0.750,0.790,0.900,0.770,0.910,1.020,1.040,0.950,1.060,0.810,1.140,1.070,1.120,1.110,1.330,1.040,0.860,1.430,1.570,0.920
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,3000000.000,,,,1000000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,13000000.000,,,,37000000.000,,,,59000000.000,,,,27000000.000,,,,-11000000.000
FiniteLivedIntangibleAssetsAmortizationExpense,,,118000000.000,,,,121000000.000,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,-521000000.000,,,,0.000,,,-542000000.000,-101000000.000,,
GoodwillAcquiredDuringPeriod,,,,,,,,,,,,,1593000000.000,,,,,,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,-1000000.000,,,,,,,,,,,,
GoodwillTranslationAdjustments,,,,,,,,,,,,,5000000.000,,,,,,,,,,,,
GrossProfit,4751000000.000,5095000000.000,5178000000.000,5537000000.000,5113000000.000,5449000000.000,5647000000.000,6297000000.000,5582000000.000,5836000000.000,6035000000.000,6330000000.000,5942000000.000,6324000000.000,6468000000.000,6633000000.000,6164000000.000,6402000000.000,6661000000.000,7301000000.000,6744000000.000,7015000000.000,7492000000.000,7606000000.000,6580000000.000
IncomeLossFromContinuingOperations,714000000.000,817000000.000,868000000.000,1093000000.000,777000000.000,967000000.000,1011000000.000,1129000000.000,956000000.000,1122000000.000,1260000000.000,1262000000.000,,,,,,,,,,,1534000000.000,,957000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1177000000.000,1342000000.000,1429000000.000,1798000000.000,1272000000.000,1576000000.000,1680000000.000,1795000000.000,1573000000.000,1842000000.000,2039000000.000,2074000000.000,1866000000.000,2050000000.000,1572000000.000,2190000000.000,1998000000.000,2096000000.000,2070000000.000,2452000000.000,1893000000.000,1528000000.000,2463000000.000,2753000000.000,1534000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,713000000.000,816000000.000,867000000.000,1092000000.000,776000000.000,966000000.000,1011000000.000,1129000000.000,956000000.000,1122000000.000,1260000000.000,1262000000.000,,1246000000.000,948000000.000,,,,1237000000.000,,1147000000.000,924000000.000,1542000000.000,1707000000.000,962000000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.520,0.600,0.650,0.840,0.600,0.760,0.800,0.900,0.780,0.910,1.040,1.050,,1.070,0.820,,1.080,1.130,1.100,1.340,,,1.440,,0.930
IncomeLossFromContinuingOperationsPerDilutedShare,0.520,0.600,0.650,0.820,0.590,0.750,0.790,0.900,0.770,0.910,1.030,1.040,,1.060,0.810,,1.070,1.120,1.100,1.330,,,1.430,,0.920
IncomeLossFromDiscontinuedOperationsNetOfTax,-1000000.000,-1000000.000,,,-1000000.000,-1000000.000,-5000000.000,0.000,0.000,-1000000.000,-6000000.000,-1000000.000,,0.000,0.000,,,,10000000.000,,,,-1000000.000,,-9000000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.000,,,0.000,,,,0.000,0.000,-0.010,0.000,,0.000,0.000,,,,0.010,,,,0.000,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.000,,,0.000,,,,0.000,0.000,-0.010,0.000,,0.000,0.000,,,,0.010,,,,0.000,,-0.010
IncomeTaxExpenseBenefit,464000000.000,526000000.000,562000000.000,706000000.000,496000000.000,610000000.000,669000000.000,666000000.000,617000000.000,720000000.000,779000000.000,812000000.000,737000000.000,804000000.000,624000000.000,868000000.000,777000000.000,824000000.000,833000000.000,952000000.000,746000000.000,604000000.000,921000000.000,1046000000.000,572000000.000
IncomeTaxesPaid,169000000.000,,,,28000000.000,,,,116000000.000,,,,70000000.000,,,,64000000.000,,,,161000000.000,,,,57000000.000
IncreaseDecreaseInAccountsPayable,535000000.000,,,,1044000000.000,,,,-230000000.000,,,,339000000.000,,,,756000000.000,,,,798000000.000,,,,-539000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-26000000.000,,,,-14000000.000,,,,24000000.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,423000000.000,,,,70000000.000,,,,113000000.000,,,,139000000.000,,,,481000000.000,,,,1131000000.000,,,,-48000000.000
IncreaseDecreaseInAccruedLiabilities,156000000.000,,,,1250000000.000,,,,105000000.000,,,,362000000.000,,,,153000000.000,,,,741000000.000,,,,1848000000.000
IncreaseDecreaseInInventories,-514000000.000,,,,776000000.000,,,,-193000000.000,,,,64000000.000,,,,313000000.000,,,,-89000000.000,,,,-456000000.000
IncreaseDecreaseInOperatingAssets,52000000.000,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,,,,-70000000.000,,,,-269000000.000,,,,-106000000.000,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,189000000.000,,,,135000000.000,,,,39000000.000,,,,52000000.000,,,,52000000.000,,,,1000000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,,,,,-14000000.000,,,,-72000000.000,,,,23000000.000,,,,154000000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,30000000.000,,,,-286000000.000,,,,-238000000.000,,,,,,,,,,,,,,,,74000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,9000000.000,8000000.000,8000000.000,-17000000.000,7000000.000,8000000.000,7000000.000,-14000000.000,8000000.000,8000000.000,7000000.000,-15000000.000,8000000.000,8000000.000,7000000.000,-15000000.000,7000000.000,5000000.000,5000000.000,-11000000.000,5000000.000
InterestExpense,135000000.000,149000000.000,156000000.000,148000000.000,133000000.000,132000000.000,135000000.000,161000000.000,127000000.000,127000000.000,125000000.000,138000000.000,161000000.000,161000000.000,158000000.000,135000000.000,137000000.000,171000000.000,268000000.000,283000000.000,288000000.000,284000000.000,258000000.000,248000000.000,
InterestExpenseLongTermDebtAndCapitalSecurities,,,,,,,,,,,,,,,,,,,,,,,,,258000000.000
InterestIncomeDepositsWithFinancialInstitutions,,,,,,,,,,,,,,,,,,,,,,,,,6000000.000
InterestIncomeExpenseNet,-134000000.000,-148000000.000,-155000000.000,-147000000.000,-132000000.000,-132000000.000,-134000000.000,-159000000.000,-126000000.000,-126000000.000,-122000000.000,-135000000.000,-158000000.000,-158000000.000,-153000000.000,-131000000.000,-134000000.000,-166000000.000,-261000000.000,-277000000.000,-283000000.000,-280000000.000,-253000000.000,-242000000.000,-252000000.000
InterestPaid,150000000.000,,,,128000000.000,,,,104000000.000,,,,104000000.000,,,,87000000.000,,,,378000000.000,,,,328000000.000
InvestmentIncomeInterest,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,,1000000.000,,1000000.000,1000000.000,3000000.000,3000000.000,3000000.000,3000000.000,5000000.000,4000000.000,3000000.000,5000000.000,7000000.000,6000000.000,5000000.000,4000000.000,5000000.000,6000000.000,
LeaseAndRentalExpense,,,,,,,,,,,,,,,,,,579000000.000,585000000.000,,,,,,
LitigationSettlementGross,17500000.000,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-832000000.000,,,,-1545000000.000,,,,-897000000.000,,,,-935000000.000,,,,-2406000000.000,,,,-2460000000.000,,,,-4133000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-832000000.000,,,,-1545000000.000,,,,-897000000.000,,,,-935000000.000,,,,-2406000000.000,,,,-2460000000.000,,,,-4133000000.000
NetCashProvidedByUsedInInvestingActivities,-299000000.000,,,,-443000000.000,,,,-567000000.000,,,,-2560000000.000,,,,-544000000.000,,,,-633000000.000,,,,-554000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-299000000.000,,,,-443000000.000,,,,-567000000.000,,,,-2560000000.000,,,,-544000000.000,,,,-633000000.000,,,,-554000000.000
NetCashProvidedByUsedInOperatingActivities,1866000000.000,,,,2786000000.000,,,,1640000000.000,,,,2172000000.000,,,,1984000000.000,,,,2412000000.000,,,,3533000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1866000000.000,,,,2786000000.000,,,,1640000000.000,,,,2172000000.000,,,,1984000000.000,,,,2412000000.000,,,,3533000000.000
NetIncomeLoss,713000000.000,816000000.000,,,,,,,,,,,,,,,,,,,,,,,952000000.000
NetIncomeLossAttributableToNoncontrollingInterest,-1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,,,0.000,0.000,0.000,0.000,,,,,,,1000000.000,,1000000.000,0.000,1000000.000,0.000,1000000.000
