,2011-06-30,2011-09-30
Assets,587062.000,625422.000
AssetsCurrent,355307.000,397044.000
CashAndCashEquivalentsAtCarryingValue,186273.000,212298.000
DueFromRelatedPartiesCurrent,113677.000,119426.000
GeneralPartnersCapitalAccount,-45409.000,-41816.000
LiabilitiesAndStockholdersEquity,587062.000,625422.000
LimitedPartnersCapitalAccount,269008.000,297966.000
OilAndGasPropertyFullCostMethodDepletion,3758053.000,3761430.000
OilAndGasPropertyFullCostMethodGross,3989808.000,3989808.000
OilAndGasPropertyFullCostMethodNet,231755.000,228378.000
OilAndGasReclamationLiabilityNoncurrent,363463.000,369272.000
PartnersCapital,223599.000,256150.000
PrepaidTaxes,55357.000,65320.000
