,2011-06-30
CostOfRevenue,468000000.000
DepreciationDepletionAndAmortization,82000000.000
EarningsPerShareBasicAndDiluted,-0.570
GrossProfit,224000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-35000000.000
IncomeTaxExpenseBenefit,-1000000.000
InterestExpense,45000000.000
NetIncomeLoss,-34000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-35000000.000
OperatingIncomeLoss,14000000.000
OtherNonoperatingIncomeExpense,-5000000.000
PreferredStockDividendsAndOtherAdjustments,1000000.000
Revenues,692000000.000
SalesRevenueNet,692000000.000
SellingGeneralAndAdministrativeExpense,128000000.000
