,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27
AllocatedShareBasedCompensationExpense,,,,,,12600000.000,13000000.000,,16000000.000,14000000.000,15000000.000,15000000.000,15000000.000,12000000.000,15000000.000,15000000.000,14000000.000,14000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,8600000.000,9100000.000,,11000000.000,10000000.000,10000000.000,10000000.000,11000000.000,8000000.000,10000000.000,11000000.000,10000000.000,10000000.000
AmortizationOfIntangibleAssets,2100000.000,3400000.000,3800000.000,,4800000.000,5200000.000,6200000.000,,9000000.000,11000000.000,12000000.000,9000000.000,11000000.000,11000000.000,11000000.000,9000000.000,10000000.000,11000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1000000.000,1000000.000,1400000.000,-2200000.000,1200000.000,1200000.000,1500000.000,-2500000.000,1300000.000,200000.000,500000.000,-1600000.000,1000000.000,,1700000.000,,2400000.000,2300000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,2.410,,2.980,2.910,2.980,3.330,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,2.390,,2.960,2.890,2.960,3.310,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,351200000.000,,436000000.000,424000000.000,433000000.000,484000000.000,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,2255400000.000,,2367000000.000,2362000000.000,2357000000.000,2530000000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,17900000.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,156800000.000,,,,-505600000.000,,,,13000000.000,,,,12000000.000,,,,582000000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,1300000.000,-2300000.000,3300000.000,-1400000.000,1900000.000,3500000.000,2600000.000,-6000000.000,4000000.000,4000000.000,6000000.000,-9000000.000,6000000.000,,,,-4000000.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,0.000,,,,0.000,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,,,,,0.000,,,,,,,,-2000000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,1600000.000,,,,-2600000.000,,,,-2000000.000,,,,-1000000.000,,,,-5000000.000,
ComprehensiveIncomeNetOfTax,302500000.000,236400000.000,295500000.000,,293800000.000,383700000.000,339400000.000,301800000.000,432000000.000,530000000.000,458000000.000,486000000.000,515000000.000,353000000.000,323000000.000,-177000000.000,518000000.000,238000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,400000.000,600000.000,400000.000,-1500000.000,2000000.000,5000000.000,3000000.000,3000000.000,-2000000.000,-5000000.000,-3000000.000,-8000000.000,4000000.000,1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,16500000.000,-58300000.000,-11800000.000,,,,,,,,,,,,,,,
CostOfGoodsSold,1150300000.000,1240300000.000,1244100000.000,1314600000.000,1333800000.000,1310800000.000,1387000000.000,1648700000.000,1570000000.000,1557000000.000,1548000000.000,1642000000.000,1634000000.000,1659000000.000,1629000000.000,1830000000.000,1625000000.000,1572000000.000
CostsAndExpenses,1256800000.000,1354000000.000,1360200000.000,1431600000.000,1455400000.000,1433900000.000,1532900000.000,1826100000.000,1742000000.000,1731000000.000,1717000000.000,1825000000.000,1808000000.000,1832000000.000,1805000000.000,2021000000.000,1812000000.000,1771000000.000
DeferredIncomeTaxExpenseBenefit,14700000.000,,,,16400000.000,,,,9000000.000,,,,29000000.000,,,,44000000.000,
DepreciationDepletionAndAmortization,41300000.000,,,,45600000.000,,,,70000000.000,,,,79000000.000,,,,84000000.000,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,2100000.000,1500000.000,-300000.000,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,200000.000,0.000,-1000000.000,-200000.000,-200000.000,600000.000,500000.000,-1500000.000,13000000.000,-2000000.000,0.000,2000000.000,-1000000.000,0.000,1000000.000,1000000.000,1000000.000,-1000000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,300000.000,400000.000,200000.000,-3800000.000,-1800000.000,-1300000.000,-2200000.000,-100000.000,-1000000.000,-1000000.000,-1000000.000,1000000.000,0.000,-1000000.000,1000000.000,-19000000.000,-1000000.000,0.000
