,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsPayableAndAccruedLiabilitiesCurrent,6786.000,18627.000,5929.000,6786.000,2300.000,2300.000,3990.000,26269.000,115005.000,118331.000,123469.000,127491.000,117548.000,116873.000,117943.000,147371.000,130952.000,223765.000,186165.000,192117.000
AccountsPayableOtherCurrent,,,,,,,,,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000,21750.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,15055.000,36103.000,76031.000,126611.000,194437.000,192560.000,233182.000,236299.000,248799.000,205734.000,181674.000,215044.000,193794.000
AccountsReceivableNetCurrent,,,,,,,,,19000.000,2300.000,,2875.000,2475.000,,,,15191.000,7623.000,7623.000,1662.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,36485.000,,,,,,,,
AcquisitionCostsCumulative,,,,,,,,,,,,169529.000,,,,,,,,
AdditionalPaidInCapital,15200.000,45600.000,45600.000,45600.000,45600.000,45600.000,-84000.000,1605600.000,1605600.000,1626540.000,1626540.000,1637010.000,1652715.000,1652715.000,2119549.000,2373820.000,2614522.000,2997006.000,3091047.000,4405774.000
AllowanceForNotesAndLoansReceivableCurrent,,,,,,,,,,,,,1150.000,,,,1150.000,,,
Assets,950.000,30012.000,5447.000,298.000,9473.000,55.000,31.000,1568355.000,456014.000,417571.000,403848.000,395110.000,210428.000,233286.000,335825.000,243753.000,192927.000,103153.000,95918.000,122543.000
AssetsCurrent,950.000,30012.000,5447.000,298.000,9473.000,55.000,31.000,39397.000,55495.000,25791.000,20806.000,20806.000,45862.000,77459.000,186257.000,80698.000,68392.000,77266.000,72715.000,98199.000
Cash,950.000,30012.000,5447.000,298.000,9473.000,55.000,31.000,30997.000,12188.000,317.000,147.000,118.000,654.000,20015.000,116055.000,2602.000,12387.000,39584.000,42267.000,48788.000
