,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,-29272.000,,,
CostsAndExpenses,227568.000,155896.000,185293.000,,184296.000,,152077.000,162959.000,184741.000,178777.000,154828.000,240732.000
Depreciation,7222.000,7221.000,7222.000,,7222.000,,6533.000,7222.000,7562.000,7495.000,6830.000,6829.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,108887.000,118543.000,134605.000,,141231.000,,119405.000,128781.000,154629.000,137083.000,111947.000,133346.000
GeneralAndAdministrativeExpense,88713.000,8511.000,16233.000,,13793.000,,9045.000,6456.000,10808.000,10931.000,9786.000,11104.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-72173.000,-11634.000,-32224.000,,-56802.000,,-19050.000,-45476.000,-53078.000,-67983.000,-34843.000,-114040.000
IncomeLossFromEquityMethodInvestments,10489.000,10556.000,10488.000,21042.000,-1427.000,-10819.000,-234.000,-23.000,22646.000,10485.000,10525.000,10526.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,-17310.000,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,3342.000,,,
IncreaseDecreaseInOperatingCapital,,,-140871.000,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,-45383.000,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,-7917.000,,,
InterestAndOtherIncome,,,,,,,561.000,819.000,16001.000,1767.000,5541.000,-645.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,-570.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,-570.000,,,
NetCashProvidedByUsedInOperatingActivities,,,115869.000,,,,,,-28702.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,115869.000,,,,,,-28702.000,,,
NetIncomeLoss,-61684.000,-1078.000,-21736.000,,-58229.000,,-19284.000,-45499.000,-30432.000,-57498.000,-24318.000,-103514.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-5.980,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,-1.870,-4.410,-2.950,-5.750,-2.360,-9.870
OtherGeneralAndAdministrativeExpense,22746.000,21621.000,27233.000,,22050.000,,17094.000,20500.000,11742.000,23268.000,26265.000,89453.000
OtherSalesRevenueNet,1165.000,1183.000,966.000,,791.000,,,,,,,
PartnersCapitalAccountUnitsSoldInPublicOffering,,,,,,,,,10000.000,,,
ProceedsFromCollectionOfAdvanceToAffiliate,,,,,,,,,34256.000,,,
RealEstateRevenueNet,154230.000,143079.000,152103.000,,126703.000,,132466.000,116664.000,115662.000,109027.000,114444.000,127337.000
Revenues,155395.000,144262.000,153069.000,,127494.000,,133027.000,117484.000,131663.000,110794.000,119985.000,126692.000
SalesRevenueNet,155395.000,144262.000,153069.000,,127494.000,,133027.000,117484.000,131663.000,110794.000,119985.000,126692.000
StockRepurchasedDuringPeriodValue,,,,,,,,,-570.000,,,
WeightedAverageLimitedPartnershipUnitsOutstanding,10000.000,10000.000,10000.000,,10000.000,,10000.000,10000.000,10000.000,10000.000,10000.000,-20000.000
