,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,3074.000,,,,3349.000,,,,79863.000,,,,7674.000,,,,,,,,,
CashPeriodIncreaseDecrease,12406.000,,,,4908.000,,,,20709.000,,,,273224.000,,,,-266532.000,,,,-168455.000,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,1878645.000,-204653.000,-394409.000,,-505425.000,-438627.000,-310733.000,,-282622.000,-289560.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,1965700.000,,,,1965700.000,863300.000,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,1965700.000,,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,-143763.000,,528230.000,,,,,,,,,
DilutiveSecurities,,,,,,,,,,,,,16365000.000,8850000.000,8850000.000,-25215000.000,,0.000,,,,
Dividends,,,26826.000,,11695.000,23002.000,11307.000,,,,,,,,,,,,,,,
DividendsPreferredStockCash,27361.000,,-26826.000,,-11695.000,-11307.000,-11501.000,-11695.000,-17845.000,-17458.000,-17652.000,123755.000,17845.000,17458.000,17652.000,17845.000,17845.000,17652.000,17652.000,17845.000,-17845.000,-17458.000
DividendsPreferredStockStock,-27361.000,-26826.000,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010,-0.010,-0.000,-0.010,-0.030,0.000,-0.000,0.000,,,,,,,,,,,
ExtraordinaryItemGainOrLossNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,-382020.000,-311179.000,-327485.000,-140212.000,-299667.000,-315793.000
GainLossOnDispositionOfIntangibleAssets,,,,,,,,,,,,,-4104431.000,-2500000.000,,,,,,,,
GainLossOnSaleOfOtherAssets,,,,,,,,,,,,,,,,,6600000.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,973374.000,,,,,,,,15000.000,
GeneralAndAdministrativeExpense,389055.000,371930.000,411254.000,221883.000,307226.000,176613.000,166095.000,267829.000,171714.000,288230.000,88547.000,149848.000,140286.000,266531.000,438502.000,299112.000,291131.000,288457.000,305470.000,241519.000,290027.000,295295.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,4378345.000,2158647.000,-456909.000,-3008484.000,-364175.000,-293527.000,-309833.000,-122367.000,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,,0.020,0.010,-0.000,-0.030,-0.000,-0.000,-0.000,-0.010,0.000,-0.000
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,0.010,-0.010,-0.000,0.000,-0.000,-0.000,-0.000,-0.010,0.000,-0.000
IncomeTaxExpenseBenefit,,,,,,,,,,,,,1965700.000,863300.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,479713.000,,,,10978.000,,,,-24845.000,,,,-57936.000,,,,-13792.000,,,,16924.000,
IncreaseDecreaseInAccountsReceivableRelatedParties,,,,,,,,,,,,,-450000.000,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,155127.000,,,,156291.000,,,,119171.000,,,,13577.000,,,,50140.000,,,,-31293.000,
IncreaseDecreaseInAccruedSalaries,,,,,,,,,,,,,,,,,,,,,145250.000,
IncreaseDecreaseInNotesPayableRelatedParties,,,,,,,,,,,,,,,,,15500.000,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,20081.000,,,,14820.000,,,,18091.000,,,,-12099.000,,,,-26512.000,,,,8976.000,
InterestExpense,-5469.000,,,,,,,,,,,,,,,,,,,,,
InterestExpenseDebt,,-234471.000,-243766.000,,-249129.000,-106940.000,-210087.000,-200524.000,-43948.000,-86033.000,-76554.000,-25844.000,-30944.000,-9057.000,-18407.000,-4371.000,-4411.000,-4363.000,-4363.000,-4411.000,-4411.000,-4315.000
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,-2900.000,-1275.000
InterestPaidCapitalized,1203.000,,,,428.000,,,,1683.000,,,,48173.000,,,,,,,,,
MarketableSecuritiesUnrealizedGainLoss,,,,,,,,,,,,,-534000.000,-1500000.000,62500.000,,-141250.000,-145100.000,-900.000,,-800.000,8775.000
NetCashProvidedByUsedInFinancingActivities,168225.000,,,,140748.000,,,,81694.000,,,,-153601.000,,,,,,,,-13009.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,168225.000,,,,140748.000,,,,81694.000,,,,-153601.000,,,,,,,,-13009.000,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,640000.000,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,640000.000,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-155819.000,,,,-135840.000,,,,-60985.000,,,,-213175.000,,,,-266532.000,,,,-155446.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-155819.000,,,,-135840.000,,,,-60985.000,,,,-213175.000,,,,-266532.000,,,,-155446.000,
