,2011-03-19,2011-06-11,2011-09-03,2012-03-24,2012-06-16,2012-09-08,2013-03-23,2013-06-15,2013-09-07,2014-03-22,2014-06-14,2014-09-06,2015-03-21,2015-06-13,2015-09-05,2016-03-19,2016-06-11,2016-09-03,2017-03-25,2017-06-17
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,13000000.000,,,14000000.000,,,26000000.000,,,17000000.000,,,29000000.000,,,53000000.000,,,,
AllocatedShareBasedCompensationExpense,,,,50000000.000,69000000.000,69000000.000,77000000.000,72000000.000,70000000.000,69000000.000,68000000.000,66000000.000,76000000.000,69000000.000,65000000.000,72000000.000,56000000.000,69000000.000,77000000.000,75000000.000
AmortizationOfIntangibleAssets,25000000.000,40000000.000,38000000.000,25000000.000,30000000.000,27000000.000,23000000.000,27000000.000,25000000.000,21000000.000,22000000.000,22000000.000,16000000.000,19000000.000,18000000.000,14000000.000,17000000.000,18000000.000,13000000.000,16000000.000
AmountOfDilutiveSecuritiesESOPConvertiblePreferredStock,2000000.000,2000000.000,1000000.000,1000000.000,3000000.000,1000000.000,2000000.000,3000000.000,,1000000.000,2000000.000,3000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,2000000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,31300000.000,10100000.000,22100000.000,29600000.000,10200000.000,600000.000,2600000.000,,,200000.000,,,1600000.000,1600000.000,1500000.000,2900000.000,,,1.400,0.000
AssetImpairmentCharges,,,,,,,,,,,,23000000.000,65000000.000,,,,,,,
BusinessCombinationIntegrationRelatedCosts,,,,2000000.000,,,1000000.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2281000000.000,,,-582000000.000,,,418000000.000,,,464000000.000,,,276000000.000,,,-972000000.000,,,370000000.000,
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,,,,,,-3000000.000,,,,
CommonStockDividendsPerShareDeclared,0.480,0.515,0.515,0.515,0.537,0.537,0.537,0.568,0.568,0.568,0.655,0.655,0.655,0.703,0.703,0.703,0.752,0.752,0.752,0.805
ComprehensiveIncomeNetOfTax,1738000000.000,2666000000.000,1454000000.000,2892000000.000,-684000000.000,2452000000.000,955000000.000,1342000000.000,1281000000.000,403000000.000,2437000000.000,1343000000.000,324000000.000,2445000000.000,-880000000.000,681000000.000,2761000000.000,1976000000.000,1821000000.000,2347000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,29000000.000,64000000.000,8000000.000,2000000.000,11000000.000,11000000.000,9000000.000,14000000.000,9000000.000,10000000.000,10000000.000,10000000.000,10000000.000,13000000.000,10000000.000,14000000.000,8000000.000,12000000.000,10000000.000,15000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1767000000.000,2730000000.000,1462000000.000,2894000000.000,-673000000.000,2463000000.000,964000000.000,1356000000.000,1290000000.000,413000000.000,2447000000.000,1353000000.000,334000000.000,2458000000.000,-870000000.000,695000000.000,2769000000.000,1988000000.000,1831000000.000,2362000000.000
CostOfGoodsAndServicesSold,5447000000.000,7963000000.000,8452000000.000,5889000000.000,7915000000.000,7833000000.000,5834000000.000,7898000000.000,7946000000.000,5747000000.000,7778000000.000,7995000000.000,5442000000.000,7167000000.000,7395000000.000,5151000000.000,6830000000.000,7284000000.000,5286000000.000,7056000000.000
DeferredIncomeTaxesAndTaxCredits,-98000000.000,,,120000000.000,,,-23000000.000,,,62000000.000,,,-19000000.000,,,19000000.000,,,129000000.000,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,,,,,,,7000000.000,,,,
DepreciationDepletionAndAmortization,523000000.000,,,555000000.000,,,551000000.000,,,532000000.000,,,496000000.000,,,481000000.000,,,477000000.000,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,-2000000.000,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,21000000.000,,,,,,,,,,,,,,,,,,,
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,,,,,,,,,,,0.000,0.000,0.000,0.000,1000000.000,0.000,0.000,0.000,0.000,0.000
DividendsPreferredStockCash,,1000000.000,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.720,1.190,1.270,0.720,0.950,1.220,0.690,1.300,1.240,0.800,1.300,1.330,0.820,1.340,0.360,0.640,1.390,1.380,0.920,1.470
EarningsPerShareDiluted,0.710,1.170,1.250,0.710,0.940,1.210,0.690,1.280,1.230,0.790,1.290,1.320,0.810,1.330,0.360,0.640,1.380,1.370,0.910,1.460
EffectOfExchangeRateOnCashAndCashEquivalents,92000000.000,,,82000000.000,,,-172000000.000,,,-36000000.000,,,-104000000.000,,,-22000000.000,,,43000000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,24000000.000,,,35000000.000,,,36000000.000,,,47000000.000,,,38000000.000,,,75000000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,24000000.000,,,35000000.000,,,36000000.000,,,47000000.000,,,38000000.000,,,75000000.000,,,,
