,2011-04-03,2011-07-03,2011-10-02,2011-12-31,2012-04-01,2012-07-01,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-29,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2015-03-29,2015-06-28,2015-09-27,2016-07-03,2016-10-02
AmortizationOfIntangibleAssets,1376000000.000,1395000000.000,1397000000.000,1417000000.000,1420000000.000,1300000000.000,1300000000.000,1380000000.000,1300000000.000,1200000000.000,1100000000.000,1200000000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,290000000.000,280000000.000,342000000.000,-640000000.000,223000000.000,216000000.000,180000000.000,-442000000.000,97000000.000,44000000.000,43000000.000,-141000000.000,43000000.000,44000000.000,,,,,,
AssetImpairmentCharges,165000000.000,,,,650000000.000,,,,513000000.000,,,,137000000.000,,243000000.000,0.000,25000000.000,633000000.000,816000000.000,133000000.000
BusinessCombinationIntegrationRelatedCosts,179000000.000,201000000.000,187000000.000,163000000.000,100000000.000,108000000.000,87000000.000,110000000.000,39000000.000,33000000.000,38000000.000,34000000.000,18000000.000,15000000.000,19000000.000,13000000.000,42000000.000,48000000.000,139000000.000,74000000.000
BusinessExitCosts,,,,,,8000000.000,67000000.000,,14000000.000,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,,,2000000.000,21000000.000,,4000000.000,36000000.000,4000000.000,6000000.000,4000000.000,30000000.000,31000000.000,29000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1005000000.000,,,,-248000000.000,,,,-8255000000.000,,,,679000000.000,,,220000000.000,,,,
CommonStockDividendsPerShareCashPaid,0.200,0.200,0.200,,0.220,0.220,0.220,0.220,0.240,0.240,0.240,0.240,0.260,0.260,0.260,0.280,0.280,0.280,0.300,0.300
ComprehensiveIncomeNetOfTax,3602000000.000,3712000000.000,3480000000.000,,2301000000.000,867000000.000,3563000000.000,6015000000.000,2548000000.000,13785000000.000,2672000000.000,5653000000.000,2210000000.000,3150000000.000,2351000000.000,1134000000.000,2663000000.000,1481000000.000,2647000000.000,1997000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,16000000.000,12000000.000,7000000.000,,8000000.000,-10000000.000,5000000.000,18000000.000,12000000.000,18000000.000,-32000000.000,9000000.000,7000000.000,24000000.000,1000000.000,-10000000.000,8000000.000,2000000.000,21000000.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,3618000000.000,3724000000.000,3487000000.000,-1512000000.000,2309000000.000,857000000.000,3568000000.000,6033000000.000,2560000000.000,13803000000.000,2640000000.000,5662000000.000,2217000000.000,3174000000.000,2352000000.000,1124000000.000,2670000000.000,1483000000.000,2668000000.000,1997000000.000
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,3100000000.000,,,,,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,3693000000.000,3805000000.000,3679000000.000,3908000000.000,2974000000.000,2752000000.000,2665000000.000,2943000000.000,2652000000.000,2242000000.000,2287000000.000,2405000000.000,2045000000.000,,,,,,,
CostOfGoodsSold,,,,,,,,,,,,,,2462000000.000,2368000000.000,1838000000.000,2180000000.000,2219000000.000,3174000000.000,3085000000.000
DeferredIncomeTaxExpenseBenefit,-120000000.000,,,,-404000000.000,,,,927000000.000,,,,345000000.000,,,-41000000.000,,,,
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,,,,,,-361000000.000,45000000.000,,325000000.000,256000000.000,150000000.000,3787000000.000,59000000.000,47000000.000,127000000.000,365000000.000,118000000.000,23000000.000,85000000.000,155000000.000
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeNetGainLossBeforeTax,,,,,253000000.000,,,,,,,,,,,,,,,
