,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AcquisitionCosts,,,,,1051330.000,,
AdjustmentForAmortization,,,,,10051.000,4694.000,4694.000
AmortizationOfAcquisitionCosts,12322.000,10207.000,10212.000,,10051.000,,
AssetImpairmentCharges,,,,,738270.000,,
AssetManagementCosts,41682.000,41682.000,41682.000,-122509.000,41682.000,40894.000,39316.000
AssetManagementFees,,,,,0.000,,
BusinessCombinationAcquisitionRelatedCosts,,,,,391691.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-32882.000,,,,20455.000,,
DepreciationAndAmortization,,,,,275000.000,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,293999.000,
GeneralPartnersCapitalAccountDistributionAmount,,,,,-167000.000,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,,25000.000,,
IncomeLossFromEquityMethodInvestments,-260192.000,-177801.000,-177801.000,-54050.000,-167463.000,-167463.000,-167463.000
IncomeTaxesPaid,0.000,,,,,,
IncreaseDecreaseInDueToRelatedParties,11221.000,,,,57700.000,,
InterestExpense,,,,,215000.000,,
InvestmentIncomeInterest,507.000,124.000,308.000,219.000,218.000,218.000,218.000
NetCashProvidedByUsedInInvestingActivities,,,,,3377.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,3377.000,,
NetCashProvidedByUsedInOperatingActivities,-32882.000,,,,17078.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-32882.000,,,,17078.000,,
NetIncomeLoss,-778059.000,-354296.000,-286827.000,-110688.000,-956406.000,41455.000,-254682.000
NetIncomeLossAllocatedToGeneralPartners,-778.000,-354.000,-287.000,-111.000,-956.000,41.000,-255.000
NetIncomeLossAllocatedToLimitedPartners,-777281.000,-353942.000,-286540.000,-110577.000,-955450.000,41414.000,-254427.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,-19.000,,-64.000,3.000,-17.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-52.000,-24.000,,,,,
OperatingCostsAndExpenses,,,,,588000.000,,
OperatingExpenses,521416.000,178119.000,109334.000,63180.000,806021.000,85299.000,87437.000
OperatingIncomeLoss,-518374.000,-176619.000,-109334.000,-56857.000,-789161.000,-85299.000,-87437.000
OtherAssetImpairmentCharges,461442.000,0.000,0.000,,,,
OtherCostAndExpenseOperating,1497.000,3174.000,6287.000,9268.000,6084.000,674.000,3671.000
PartnersCapitalAccountPublicSaleOfUnits,,,,,15009365.000,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,-3377.000,,
ProceedsFromLimitedPartnershipInvestments,,,,,-3377.000,,
ProceedsFromSaleOfInterestInPartnershipUnit,,,,,294646.000,,
ProfessionalFees,4473.000,118850.000,48925.000,5910.000,,27485.000,37704.000
RevenueFromRelatedParties,3042.000,1500.000,0.000,6323.000,16860.000,,
Revenues,,,,,873000.000,,
SalesRevenueNet,,,,,873000.000,,
WeightedAverageLimitedPartnershipUnitsOutstanding,15019.000,15019.000,15019.000,-30038.000,15019.000,15019.000,15019.000
