,2012-03-31,2012-09-30,2013-03-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AmortizationOfDebtDiscountPremium,,,,-210000.000,70000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-2533.000,,222.000,,,,-7992.000,,,,-39.000,,,0.000
Depreciation,,,,,,,229.000,229.000,230.000,226.000,229.000,230.000,229.000,229.000
DepreciationAndAmortization,,,,,,,229.000,,,,229.000,,,229.000
EarningsPerShareBasic,,,,,,,,-0.220,0.000,,,,,
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.001,0.000,0.000,0.000,-0.200,,,,-0.100,-0.010,0.000,-0.010
ExplorationExpense,,10250.000,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,-256500.000,,,,,,,,,,
GeneralAndAdministrativeExpense,6961.000,11317.000,4067.000,6781.000,3315.000,3304.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,-26260.000,,,
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-17254.000,-54720.000,-206286.000,-860665.000,428020.000,-19261.000,-34163.000,-38613.000,-230.000,,,-3230.000,-241.000,-414663.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,0.200,,,,-0.100,-0.010,0.000,0.010
IncomeTaxExpenseBenefit,,,,,,,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
IncomeTaxesPaid,,,,,,,,,,,0.000,,0.000,0.000
IncreaseDecreaseInAccountsPayable,,,14508.000,3086.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,21415.000,,,,,,,,,,
IncreaseDecreaseInAccruedSalaries,,,192000.000,176000.000,,,,,,,,,,
IncreaseDecreaseInBookOverdrafts,,,,-5.000,,,,,,,,,,
IncreaseDecreaseInTradingLiabilities,,,,42531.000,-621750.000,105000.000,,,,,,,,
InterestExpense,,,,-21415.000,-21415.000,-21957.000,,,,,,,,
InterestPaid,,,,,,,,,,,0.000,,0.000,0.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,229500.000,,,,,,,,,,
LegalFees,,,,,,,13411.000,32000.000,0.000,7500.000,16406.000,3000.000,0.000,17600.000
NetCashProvidedByUsedInFinancingActivities,14721.000,,,3614.000,,,36273.000,,,,22992.000,,,19434.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,14721.000,,,3614.000,,,36273.000,,,,22992.000,,,19434.000
NetCashProvidedByUsedInInvestingActivities,,,,,,,-10331.000,,,,3000.000,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,-10331.000,,,,3000.000,,,0.000
NetCashProvidedByUsedInOperatingActivities,-17254.000,,222.000,-6699.000,,,-33934.000,,,,-26031.000,,,-19434.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-17254.000,,222.000,-6699.000,,,-33934.000,,,,-26031.000,,,-19434.000
NetIncomeLoss,-17254.000,-54720.000,-206286.000,-860665.000,428020.000,-19261.000,-34163.000,-38613.000,-230.000,-13367.000,-26260.000,-3230.000,-241.000,-414663.000
OfficersCompensation,,,,,,,9000.000,6000.000,0.000,0.000,0.000,0.000,0.000,4000.000
OperatingExpenses,17254.000,54720.000,206286.000,415281.000,102315.000,102304.000,34163.000,38613.000,230.000,13367.000,26260.000,3230.000,241.000,414663.000
OperatingIncomeLoss,-17254.000,-54720.000,-206286.000,-415281.000,-102315.000,-102304.000,-34163.000,-38613.000,-230.000,-13367.000,-26260.000,-3230.000,-241.000,-414663.000
OtherComprehensiveIncomeLossNetOfTax,,,,-858038.000,429121.000,-17667.000,,,,,,,,
OtherExpenses,,,,,,,1523.000,384.000,0.000,-1626.000,2389.000,0.000,12.000,2834.000
OtherNonoperatingIncomeExpense,,,,-445384.000,530335.000,83043.000,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,10331.000,,,,0.000,,,
ProceedsFromContributionsFromAffiliates,14721.000,,,,,,,,,,,,,
ProceedsFromMinorityShareholders,,,,,,,36273.000,,,,,,,
ProceedsFromRelatedPartyDebt,,,,3614.000,,,,,,,22992.000,,,19434.000
ProfessionalFees,10293.000,33153.000,10219.000,3000.000,3000.000,3000.000,,,,,,,,
ProfitLoss,,,,-860665.000,,,,,,,,,,-414663.000
SalariesAndWages,,,192000.000,176000.000,96000.000,96000.000,,,,,,,,
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,,,,229500.000,,,,,,,,,,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,,,,,,3000.000,,,395000.000
TemporaryEquityForeignCurrencyTranslationAdjustments,,,,-2626.000,1101.000,-1594.000,,,,,,,,
ValuationAllowancesAndReservesPeriodIncreaseDecrease,,,69000.000,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,298644500.000,459644500.000,341798008.000,400811342.000,524881342.000,524881342.000,173940.000,173940.000,173940.000,60359294.000,258384.000,373940.000,373940.000,65734449.000
