,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AssetRetirementObligationAccretionExpense,961.000,668.000,4713.000,2771.000,2867.000,2935.000,2939.000,3041.000,3146.000,3221.000,3225.000,3337.000,3453.000,3535.000,3539.000,3661.000,3789.000,3879.000,3927.000,4019.000,4159.000
AssetRetirementObligationLiabilitiesSettled,,,,,,0.000,,,,,,,,,,,,,,,
AssetRetirementObligationRevisionOfEstimate,,,,,,2935.000,,,,3221.000,,,,3535.000,,,,3879.000,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,8548.000,,,,13138.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-116599.000,,,,-16404.000,,,,2216824.000,,,,4049434.000,,,,-959594.000,,,
ContributionOfProperty,,,,,,,,,,,,,,69565.000,,,,,,,
CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,,,,,,,,,,,,,,87811.000,,,,111182.000,,,
DebtConversionOriginalDebtAmount1,,,,,,6000000.000,,,,,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,-14466.000,0.000,0.000,,,,,,,,,,,,,
Depletion,17576.000,68618.000,64923.000,61000.000,,,,,,,,,,,,,,,,,
DepletionOfOilAndGasProperties,,,,,,,,,,,,,,64855.000,84334.000,106764.000,3405.000,4680.000,4771.000,5918.000,589222.000
Depreciation,,25502.000,,,,16212.000,,,,25140.000,,,,26874.000,,,,23212.000,,,
DilutiveSecurities,,,,0.000,,0.000,0.000,0.000,,,,,,,,,,,,,
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther,,,,,,0.000,,0.000,,,,,,,,,,,,,
EarningsPerShareBasic,,,,-0.010,,-0.010,-0.010,-0.010,-0.030,-0.010,-0.010,-0.020,-0.020,-0.010,-0.020,-0.020,-0.010,,,,
EarningsPerShareBasicAndDiluted,0.010,0.110,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.030,-0.010,-0.010,-0.020,-0.020,-0.010,-0.020,-0.020,-0.010,-0.010,-0.010,-0.010,-0.040
EarningsPerShareDiluted,,,,-0.010,,-0.010,-0.010,-0.010,-0.030,-0.010,-0.010,-0.020,-0.020,-0.010,-0.020,-0.020,-0.010,,,,
ExplorationAndProductionRevenue,,,,,,,,,,,,,,20250.000,20250.000,20250.000,20250.000,20250.000,20250.000,20250.000,20250.000
GainLossOnDerivativeInstrumentsNetPretax,6711.000,64122.000,4322.000,11202.000,8367.000,155.000,2764.000,0.000,0.000,,,,,,,,,,,,
GainLossOnSaleOfOilAndGasProperty,,161029.000,0.000,0.000,-161029.000,,,,,,,,,,,,,,,,
GainLossOnSaleOfProperty,995911.000,,,0.000,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,43549.000,,,-1917.000,0.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,0.000,,,,,,0.000,0.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,,5563130.000,0.000,0.000,0.000,-29165.000,,,,,,,,,,,,,,,
GainsLossesOnRestructuringOfDebt,,,,,,,,,,5612270.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,375997.000,313136.000,323919.000,228723.000,459900.000,326092.000,307236.000,297200.000,318712.000,349599.000,362412.000,330792.000,267150.000,325229.000,312447.000,300959.000,302242.000,306913.000,296256.000,291572.000,285711.000
ImpairmentOfOilAndGasProperties,,,,,,,,,,92411.000,152317.000,386059.000,0.000,115470.000,429606.000,353785.000,0.000,,,,
IncomeTaxesPaid,,,,,,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-676060.000,,,,-92962.000,,,,-268228.000,,,,-415203.000,,,,-165900.000,,,
IncreaseDecreaseInAccountsReceivable,,-52112.000,,,,-15306.000,,,,-32731.000,,,,-37615.000,,,,-3929.000,,,
