,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,,,,,,2300000.000,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments,,,,,15700000.000,,,,,,,,,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,8400000.000,,,,8500000.000,,,,6400000.000,,,,2400000.000,,,,5500000.000,,,,13700000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,,,,,,,,,,,,,300000.000,,,,,,,,900000.000
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-249000000.000,,,,-401700000.000,,,,-378400000.000,,,,-610200000.000,,,,-315900000.000,,,,-358400000.000,,,,-243200000.000
AllocatedShareBasedCompensationExpense,,7000000.000,6400000.000,,8400000.000,11000000.000,9600000.000,8000000.000,8500000.000,19800000.000,5900000.000,700000.000,6400000.000,5600000.000,-22800000.000,200000.000,2400000.000,5000000.000,3500000.000,1600000.000,5500000.000,6200000.000,7900000.000,-1200000.000,12000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,,,,5300000.000,-21000000.000,,2200000.000,4700000.000,3200000.000,,5100000.000,,,,
AmortizationOfDebtDiscountPremium,2000000.000,,,,2200000.000,,,,2300000.000,,,,0.000,,,,,,,,,,,,
AmortizationOfDeferredHedgeGains,,,,,,,,,,,,,,,,,,,,,,100000.000,100000.000,,
AmortizationOfFinancingCosts,400000.000,,,,900000.000,,,,900000.000,,,,700000.000,,,,400000.000,,,,400000.000,,,,200000.000
