,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccruedProfessionalFeesCurrentAndNoncurrent,233014.000,527250.000,188956.000,276848.000,425934.000,212786.000,521516.000,653822.000
Assets,3986901505.000,4126312280.000,4457462920.000,4468951247.000,4320394145.000,4515761584.000,4737703928.000,4928952354.000
AssetsFairValueDisclosure,3703316885.000,3841342558.000,4155620585.000,4204509415.000,4174729737.000,4392017687.000,4399691318.000,4538200068.000
AssetsNet,3659264746.000,3814284906.000,4107606635.000,4160371085.000,4137647057.000,4355480521.000,4374235162.000,4533447153.000
Cash,176642.000,1210925.000,451175.000,650527.000,56033.000,51506.000,14266.000,718312.000
DerivativeAssets,36188.000,40470.000,52325.000,96680.000,97716.000,23909.000,25737.000,12658.000
FinancialInstrumentsSoldNotYetPurchasedAtFairValue,51616398.000,67605673.000,70464215.000,2168126.000,1060781.000,11464918.000,,500548.000
InvestmentOwnedAtCost,2225510545.000,2199286258.000,2180755294.000,2160776822.000,2138687993.000,2132135165.000,2144797727.000,2102230954.000
InvestmentOwnedForeignCurrencyContractReportingCurrencyAmountCurrentValue,596401.000,324877.000,657952.000,1013363.000,1073551.000,623653.000,1145137.000,658196.000
Investments,2298345548.000,2351069730.000,2461483274.000,2422950269.000,2377519860.000,2434602393.000,2421869788.000,2418831094.000
Liabilities,283584620.000,284969722.000,301842335.000,264441832.000,145664408.000,123743897.000,338012610.000,390752286.000
OtherAccruedLiabilitiesCurrentAndNoncurrent,6345.000,52516.000,878833.000,70513.000,141434.000,712337.000,49133.000,34419.000
OtherAssets,3500.000,140001.000,111116.000,271000.000,117230.000,117620.000,146694.000,144469.000
OtherPayablesToBrokerDealersAndClearingOrganizations,,,,5855.000,313.000,,469.000,2679.000
PayablesToBrokerDealersAndClearingOrganizations,866250.000,46250.000,866250.000,866250.000,866250.000,121250.000,107000.000,90000.000
SecuritiesFailedToDeliver,88652031.000,88956055.000,67606250.000,57225820.000,5365781.000,11389453.000,,
SecuritiesFailedToReceive,81729219.000,87342049.000,64961094.000,126147109.000,49364531.000,47138094.000,50997625.000,12953242.000
SecuritiesLoaned,111903456.000,71264089.000,82190741.000,50630753.000,35200563.000,33378967.000,257689505.000,327319984.000
SecuritiesSoldUnderAgreementsToRepurchase,,,,2166563.000,1061094.000,11415322.000,0.000,
SharesOutstanding,173541315.000,170685661.000,172621794.000,171958165.000,170332203.000,170821577.000,170585678.000,169187193.000
